attributeName	code	definition
primary_type	Lake	Lake
primary_type	Riverine Impoundment	Riverine impoundment
primary_type	Reservoir	Reservoir
ChemParameter	Nitrite as Nitrogen	Nitrogen, nitrite (NO2)
ChemParameter	Ammonia Nitrogen	Nitrogen, NH3 (milligramsPerLiter)
ChemParameter	Nitrate as Nitrogen	Nitrogen, nitrate (NO3)
ChemParameter	Organic Nitrogen	Nitrogen, organic (milligramsPerLiter)
ChemParameter	TKN	Nitrogen, total Kjeldahl (milligramsPerLiter)
ChemParameter	Turbidity	Turbidity (NTU)
ChemParameter	pH lab	pH (dimensionless)
ChemParameter	Hardness	Total hardness (microgramsPerLiter)
ChemParameter	Alkalinity	Total alkalinity (milligramsPerLiter)
ChemParameter	Chloride	Chloride (milligramsPerLiter)
ChemParameter	Chlorophyll-a Plankton	Chlorophyll a (microgramsPerLiter)
ChemParameter	Sulfate	Sulfate (milligramsPerLiter)
ChemParameter	Manganese	Manganese (milligramsPerLiter)
ChemParameter	Ammonia-NH3	Nitrogen, NH3 (milligramsPerLiter)
ChemParameter	Orthophosphate	Phosphorus, orthophosphate (milligramsPerLiter)
ChemParameter	Potassium	Potassium (microgramsPerLiter)
ChemParameter	Transparency (Water column) no tube	Secchi, no view (meter)
ChemParameter	Transparency (Water column) with tube	Secchi, view (meter)
ChemParameter	conductivity	Conductivity (microsiemensPerCentimeter)
ChemParameter	ANC acid neutralizing capacity	Acid neutralizing capacity (microequivalentsPerLiter)
