attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
LAKENAME			character	Name of lake	Name of lake	character		
LAKE_ID			character	Lake ID	Lake ID	character		
PHEQ		dimensionless	natural		pH, equilibriated	numeric		
DOC		milligramsPerLiter	natural		Carbon, dissolved organic	numeric		
CA		microequivalentsPerLiter	natural		Calcium	numeric		
CL		microequivalentsPerLiter	natural		Chloride	numeric		
ANC		microequivalentsPerLiter	integer		Acid neutralizing capacity	numeric		
ANCF			character	Acid neutralizing capacity flag	Acid neutralizing capacity flag	character		
CAF			character	Flag for CA	Flag for CA	character		
CHLA		microgramsPerLiter	natural		Chlorophyll a	numeric		
CLF			character	Flag For CL	Flag For CL	character		
COLOR		dimensionless	whole		color (PCU)	numeric		
COLORF			character	Flag for Color	Flag for Color	character		
COM_FLD			character	Field Sampling/Shipping Comments	Field Sampling/Shipping Comments	character		
COM_LAB			character	Lab Analysis Comments	Lab Analysis Comments	character		
COND		microsiemensPerCentimeter	natural		Conductance, specific	numeric		
CONDF			character	Flag For COND	Flag For COND	character		
DATE_COL	MM/DD/YYYY				Date Sample Collected	Date		
DEP_SAMP		meter	natural		Depth where Water Sample Taken	numeric		
DIC		milligramsPerLiter	natural		Carbon, dissolved inorganic	numeric		
DICF			character	Flag For DIC	Flag For DIC	character		
DOCF			character	Flag For DOC	Flag For DOC	character		
K		microequivalentsPerLiter	natural		Potassium	numeric		
KF			character	Flag for K	Flag for K	character		
LAT_DD		degree	real		Lake Latitude (decimal degrees)	numeric		
LON_DD		degree	real		Lake Longitude (decimal degrees)	numeric		
MG		microequivalentsPerLiter	natural		Magnesium	numeric		
MGF			character	Flag for MG	Flag for MG	character		
NA		microequivalentsPerLiter	natural		Sodium	numeric		
NAF			character	Flag for NA	Flag for NA	character		
NH4		microequivalentsPerLiter	whole		Nitrogen, NH4	numeric		
NH4F			character	Flag For NH4	Flag For NH4	character		
NO3		microequivalentsPerLiter	whole		Nitrogen, nitrate (NO3)	numeric		
NO3F			character	Flag For NO3	Flag For NO3	character		
NTL		microgramsPerLiter	natural		Nitrogen, total	numeric		
NTLF			character	Flag For NTL	Flag For NTL	character		
PHEQF			character	Air-equilibrated pH flag	Air-equilibrated pH flag	character		
PHSTVL		dimensionless	natural		pH, closed	numeric		
PHSTVLF			character	Closed System pH flag	Closed System pH flag	character		
PTL		microgramsPerLiter	whole		Phosphorus, total	numeric		
PTLF			character	Phosphorus, total flag	Phosphorus, total flag	character		
SECMEAN		meter	natural		Secchi depth	numeric		
SIO2		milligramsPerLiter	whole		Silica	numeric		
SIO2F			character	Flag For SIO2	Flag For SIO2	character		
SO4		microequivalentsPerLiter	natural		Sulfate	numeric		
SO4F			character	Sulfate flag	Sulfate flag	character		
TSS		milligramsPerLiter	whole		Solids, total suspended	numeric		
TSSF			character	Solids, total suspended flag	Solids, total suspended flag	character		
TURB		dimensionless	natural		Turbidity (NTU)	numeric		
TURBF			character	Turbidity flag	Turbidity flag	character		
