attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
SITE_ID			character	ID assigned to each site	ID assigned to each site	character		
YEAR	YYYY				Sample Year	Date		
VISIT_NO		dimensionless	real		Sequential visit number within year	numeric		
SITE_TYPE			character	Site type	Site type	factor		
LAKE_SAMP			character	Evaluation status	Evaluation status	character		
SAMPLED			character	Was lake sampled? (Yes/No)	Was lake sampled? (Yes/No)	factor		
DATE_COL	MM/DD/YYYY				Date of site visit	Date		
SAMPLE_CATEGORY			character	Sample type	Sample type	factor		
DATECHEM	MM/DD/YYYY				Date water chemistry sample collected	Date		
SAMPLED_CHEM			character	Site Sampled Code for Water Chemistry Data	Site Sampled Code for Water Chemistry Data	character		
INDXSAMP_CHEM			character	Index chemistry sample for site (YES/NO)	Index chemistry sample for site (YES/NO)	factor		
PH_FIELD		dimensionless	real		Field pH from Profile DO data (pH measured at first non-zero depth unless only depth was zero)	numeric		
PH_FIELD_DEPTH		meter	real		Depth at which Field pH was Measured (m)	numeric		
SAMPLE_DEPTH		meter	real		Depth of integrated sample (typically 2 m)	numeric		
SAMPLE_ID_CHEM			natural	Sample ID number	Sample ID number	character		
LAB_ID_CHEM			natural	Laboratory Sample Identification Number	Laboratory Sample Identification Number	character		
PH_LAB		dimensionless	real		pH measured at laboratory	numeric		
PHLAB_FLAG			character	Flag for PH_LAB	Flag for PH_LAB	character		
COND		microsiemensPerCentimeter	real		Conductivity (uS/cm at 25 C)	numeric		
COND_FLAG			character	Flag for COND	Flag for COND	character		
COND_RL_ALERT			character	COND Value Below Reporting Limit of 2.0 uS/cm at 25 C (Y/N)	COND Value Below Reporting Limit of 2.0 uS/cm at 25 C (Y/N)	factor		
ANC		microequivalentsPerLiter	real		Gran ANC (ueq/L)	numeric		
ANC_FLAG			character	Flag for ANC	Flag for ANC	character		
TURB		dimensionless	real		Turbidity (NTU)	numeric		
TURB_FLAG			character	Flag for TURB	Flag for TURB	character		
TURB_RL_ALERT			character	TURB Value Below Reporting Limit of 2.0 NTU (Y/N)	TURB Value Below Reporting Limit of 2.0 NTU (Y/N)	factor		
TOC		milligramsPerLiter	real		Total Organic Carbon (mg/L)	numeric		
TOC_FLAG			character	Flag for TOC	Flag for TOC	character		
TOC_RL_ALERT			character	TOC Value Below Reporting Limit of 0.20 mg/L (Y/N)	TOC Value Below Reporting Limit of 0.20 mg/L (Y/N)	factor		
DOC		milligramsPerLiter	real		Dissolved Organic Carbon (mg/L)	numeric		
DOC_FLAG			character	Flag for DOC	Flag for DOC	character		
DOC_RL_ALERT			character	DOC Value Below Reporting Limit of 0.20 mg/L (Y/N)	DOC Value Below Reporting Limit of 0.20 mg/L (Y/N)	factor		
NH4N_PPM		milligramsPerLiter	real		Ammonium (mg/L)	numeric		
NH4		microequivalentsPerLiter	real		Ammonium (ueq/L)	numeric		
NH4_FLAG			character	Flag for NH4	Flag for NH4	factor		
NH4_RL_ALERT			character	NH4 Value Below Reporting Limit of 1.43 ueq/L (Y/N)	NH4 Value Below Reporting Limit of 1.43 ueq/L (Y/N)	factor		
NO3_NO2		milligramsPerLiter	real		Nitrate + Nitrite by Flow Injection Analysis (mg N/L)	numeric		
NO3NO2_FLAG			character	Flag for NO3_NO2	Flag for NO3_NO2	factor		
NO3NO2_RL_ALERT			character	NO3NO2 Value Below Reporting Limit of 0.02 mg N/L (Y/N)	NO3NO2 Value Below Reporting Limit of 0.02 mg N/L (Y/N)	factor		
NTL_PPM		milligramsPerLiter	real		Total Nitrogen (mg/L)	numeric		
NTL		microgramsPerLiter	natural		Total Nitrogen (ug/L)	numeric		
NTL_FLAG			character	Flag for NTL	Flag for NTL	factor		
NTL_RL_ALERT			character	NTL Value Below Reporting Limit of 20.00 ug/L (Y/N)	NTL Value Below Reporting Limit of 20.00 ug/L (Y/N)	factor		
PTL		microgramsPerLiter	whole		Total Phosphorus (ug/L)	numeric		
PTL_FLAG			character	Flag for PTL	Flag for PTL	factor		
PTL_RL_ALERT			character	PTL Value Below Reporting Limit of 4.00 ug/L (Y/N)	PTL Value Below Reporting Limit of 4.00 ug/L (Y/N)	factor		
CL_PPM		milligramsPerLiter	real		Chloride (mg/L)	numeric		
CL		microequivalentsPerLiter	real		Chloride (ueq/L)	numeric		
CL_FLAG			character	Flag for CL	Flag for CL	factor		
CL_RL_ALERT			character	CL Value Below Reporting Limit of 5.64 ueq/L (Y/N)	CL Value Below Reporting Limit of 5.64 ueq/L (Y/N)	factor		
NO3N_PPM		milligramsPerLiter	real		Nitrate (mg/L)	numeric		
NO3		microequivalentsPerLiter	real		Nitrate (ueq/L)	numeric		
NO3_FLAG			character	Flag for NO3	Flag for NO3	factor		
NO3_RL_ALERT			character	NO3 Value Below Reporting Limit of 1.43 ueq/L (Y/N)	NO3 Value Below Reporting Limit of 1.43 ueq/L (Y/N)	factor		
SO4_PPM		milligramsPerLiter	real		Sulfate (mg/L)	numeric		
SO4		microequivalentsPerLiter	real		Sulfate (ueq/L)	numeric		
SO4_FLAG			character	Flag for SO4	Flag for SO4	factor		
SO4_RL_ALERT			character	SO4 Value Below Reporting Limit of 10.41 ueq/L (Y/N)	SO4 Value Below Reporting Limit of 10.41 ueq/L (Y/N)	factor		
CA_PPM		milligramsPerLiter	real		Calcium (mg/L)	numeric		
CA		microequivalentsPerLiter	real		Calcium (ueq/L)	numeric		
CA_FLAG			character	Flag for CA	Flag for CA	character		
CA_RL_ALERT			character	CA Value Below Reporting Limit of 4.99 ueq/L (Y/N)	CA Value Below Reporting Limit of 4.99 ueq/L (Y/N)	factor		
MG_PPM		milligramsPerLiter	real		Magnesium (mg/L)	numeric		
MG		microequivalentsPerLiter	real		Magnesium (ueq/L)	numeric		
MG_FLAG			character	Flag for MG	Flag for MG	factor		
MG_RL_ALERT			character	MG Value Below Reporting Limit of 8.23 ueq/L (Y/N)	MG Value Below Reporting Limit of 8.23 ueq/L (Y/N)	factor		
NA_PPM		milligramsPerLiter	real		Sodium (mg/L)	numeric		
NA.		microequivalentsPerLiter	real		Sodium (ueq/L)	numeric		
NA_FLAG			character	Flag for NA	Flag for NA	character		
NA_RL_ALERT			character	NA Value Below Reporting Limit of 4.35 ueq/L (Y/N)	NA Value Below Reporting Limit of 4.35 ueq/L (Y/N)	factor		
K_PPM		milligramsPerLiter	real		Potassium (mg/L)	numeric		
K		microequivalentsPerLiter	real		Potassium (ueq/L)	numeric		
K_FLAG			character	Flag for K	Flag for K	factor		
K_RL_ALERT			character	K Value Below Reporting Limit of 2.56 ueq/L (Y/N)	K Value Below Reporting Limit of 2.56 ueq/L (Y/N)	factor		
COLOR		dimensionless	whole		Color (PCU)	numeric		
COLOR_FLAG			character	Flag for COLOR	Flag for COLOR	factor		
