attributeName	code	definition
SITE_TYPE	PROB_Lake	Lake is from probability sample and can be used for population estimation
SITE_TYPE	REF_Lake	Lake is not from probability sample and was selected as a candidate reference lake
SAMPLED	Yes	Yes
SAMPLE_CATEGORY	P	Primary
SAMPLE_CATEGORY	D	Field duplicate
INDXSAMP_CHEM	YES	Yes
INDXSAMP_CHEM	NO	No
COND_RL_ALERT	N	Not below reporting limit
COND_RL_ALERT	Y	Below reporting limit
TURB_RL_ALERT	Y	Below reporting limit
TURB_RL_ALERT	N	Not below reporting limit
TOC_RL_ALERT	N	Not below reporting limit
DOC_RL_ALERT	N	Not below reporting limit
NH4_FLAG	<RL (0.02)	Below reporting limits
NH4_RL_ALERT	Y	Below reporting limit
NH4_RL_ALERT	N	Not below reporting limit
NO3NO2_FLAG	<RL (0.02)	Below reporting limit
NO3NO2_RL_ALERT	N	Not below reporting limit
NO3NO2_RL_ALERT	Y	Below reporting limit
NTL_FLAG	<RL (20)	Below reporting limit
NTL_RL_ALERT	N	Not below reporting limit
NTL_RL_ALERT	Y	Below reporting limit
PTL_FLAG	<RL (4)	Below reporting limit
PTL_RL_ALERT	N	Not below reporting limit
PTL_RL_ALERT	Y	Below reporting limit
CL_FLAG	<RL (0.2)	Below reporting limit
CL_RL_ALERT	Y	Below reporing limit
CL_RL_ALERT	N	Not below reporting limit
NO3_FLAG	<RL (0.02)	Below reporting limit
NO3_RL_ALERT	N	Not below reporting limit
NO3_RL_ALERT	Y	Below reporting limit
SO4_FLAG	<RL (0.5)	Below reporting limit
SO4_RL_ALERT	N	Not below reporting limit
SO4_RL_ALERT	Y	Below reporting limit
CA_RL_ALERT	N	Not below reporting limit
MG_FLAG	<RL (0.1)	Below reporting limit
MG_RL_ALERT	N	Not below reporting limit
MG_RL_ALERT	Y	Below reporting limit
NA_RL_ALERT	N	Not below reporting limit
K_FLAG	<RL (0.1)	Below reporting limit
K_RL_ALERT	N	Not below reporting limit
K_RL_ALERT	Y	Below reporting limit
COLOR_FLAG	<RL (5)	Below reporting limit
COLOR_RL_ALERT	N	Not below reporting limit
COLOR_RL_ALERT	Y	Below reporting limit
SIO2_FLAG	<RL (0.1)	Below reporting limit
SIO2_RL_ALERT	N	Not below reporting limit
SIO2_RL_ALERT	Y	Below reporting limit
DAYSHIP_ALERT	Y	Exceeded 2 days
DAYSHIP_ALERT	N	Did not exceed 2 days
DATEFILT_ALERT	N	Not sample filtered at lab date DATE FILTERED is AFTER sample received by lab date
DATEFILT_ALERT	Y	Sample filtered at lab date DATE_FILTERED is AFTER sample received by lab date
PHLAB_HT_ALERT	Y	Holding time exceed limit of 3 days
