attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
SITE			character	Sample site Depth is sometimes noted in the "Site" column with D = deep, S = surface, and M = mid-depth. When depth is not noted samples likely are surface.	Sample site Depth is sometimes noted in the "Site" column with D = deep, S = surface, and M = mid-depth. When depth is not noted samples likely are surface.	character		
DATE	mm/dd/yyyy				Sample date	Date		
TURB		dimensionless	real		Turbidity (NTU)	numeric		
pH		dimensionless	real		pH	numeric		
STDALK		milligramsPerLiter	real		Alkalinity	numeric		
EPAALK		milligramsPerLiter	real		Alkalinity	numeric		
DOPPM		milligramsPerLiter	real		Oxygen, dissolved	numeric		
TEMPC		celsius	real		Temperature	numeric		
SPCOND		microsiemensPerCentimeter	natural		Conductance, specific	numeric		
TNTC			character	Too Numerous To Count	Too Numerous To Count	character		
NO3		milligramsPerLiter	real		Nitrogen, nitrate (NO3)	numeric		
TKN		milligramsPerLiter	real		Nitrogen, total kjeldahl	numeric		
TPH		milligramsPerLiter	real		Phosphorus, total	numeric		
SiO2		milligramsPerLiter	natural		Silica	numeric		
NH3		milligramsPerLiter	real		Nitrogen, NH3	numeric		
Ca		milligramsPerLiter	natural		Calcium	numeric		
