attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
DATE_COLLECTED	MM/DD/YYYY				Sample date	Date		
LOCATION_ID			character	Site ID which specifies sample depth	Site ID which specifies sample depth	character		
UNIT			character	unit of measurement	unit of measurement	character		
ANALYSIS_DATE	MM/DD/YYYY				Date of analysis	Date		
ALKALINITY		milligramsPerLiter	real		Alkalinity	numeric	NA	Not Available
AMMONIA		milligramsPerLiter	real		Ammonia	numeric	NA	Not Available
NITRATE		milligramsPerLiter	real		Nitrate	numeric	NA	Not Available
SILICA		microgramsPerLiter	natural		Silica	numeric	NA	Not Available
TOTAL_KJELDAHL_NITROGEN		milligramsPerLiter	real		Total Kjeldahl Nitrogen	numeric	NA	Not Available
TOTAL_PHOSPHORUS		milligramsPerLiter	real		Total Phosphorus	numeric	NA	Not Available
NITRITE		milligramsPerLiter	real		Nitrite	numeric	NA	Not Available
NITRATE_NITRITE		milligramsPerLiter	real		Nitrate+Nitrite	numeric	NA	Not Available
Mean_U254		dimensionless	real		UV-Absorbing organic constituents - Mean U254 (ABU/cm)	numeric	NA	Not Available
DISSOLVED_SILICA		microgramsPerLiter	natural		Dissolved silica	numeric	NA	Not Available
Alkalinity		milligramsPerLiter	real		Alkalinity	numeric	NA	Not Available
SiO2_Final		microgramsPerLiter	natural		Silica	numeric	NA	Not Available
