attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
HUCNAME			character	name of 8-digit USGS hydrologic unit	name of 8-digit USGS hydrologic unit	character		
New_key			character	new key code	new key code	character		
Lake_Name			character	name of lake	name of lake	character		
Date	mm/dd/yyyy				date the lake was sampled	Date		
MEAN_M		meter	real		average depth of approximately 100 points evenly spaced across each bathymetric map	numeric		
AREA_HA		hectare	real		area of lake in hectares (converted from acres)	numeric		
SECCHI_m		meter	real		secchi disk depth in meters	numeric		
COLOR		dimensionless	real		Color, apparent (PCU)	numeric		
ALK_ueqL		microequivalentsPerLiter	real		alkalinity data measured at field lab using Gran titration. analysis done by SLM IN ueq/	numeric		
chla		microgramsPerLiter	real		chlorophyll a, corrected for phaeophyton	numeric		
TN		microgramsPerLiter	real		Nitrogen, total	numeric		
TP		microgramsPerLiter	real		phosphorus, total	numeric		
Ca_mgL		milligramsPerLiter	real		Calcium	numeric		
Mg_mgL		milligramsPerLiter	real		Magnesium	numeric		
Na_mgL		milligramsPerLiter	real		Sodium	numeric		
K_mgL		milligramsPerLiter	real		Potassium	numeric		
Si_mgL		milligramsPerLiter	real		Silica	numeric		
Cl_mgL		milligramsPerLiter	real		Chloride	numeric		
NO3_N_mgL		milligramsPerLiter	real		Nitrogen, nitrate (NO3)	numeric		
SO4_mgL		milligramsPerLiter	real		Sulfate	numeric		
DOC		milligramsPerLiter	real		Carbon, dissolved organic	numeric		
pH_1m_field		dimensionless	real		pH	numeric		
Cond_1m		microsiemensPerCentimeter	natural		Conductivity	numeric		
Turb_1m		dimensionless	real		Turbidity (NTU)	numeric		
pH_lab		dimensionless	real		pH	numeric		
