attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
sampledate	mm/dd/yyyy				sample date	Date		
wtemp		celsius	real		Temperature	numeric		
secchi		meter	real		Secchi, no view	numeric		
chl_a		microgramsPerLiter	real		Chlorophyll a	numeric		
Color_G440		numberPerMeter	real		Color, true (1/m)	numeric		
DOC		milligramsPerLiter	real		Carbon, dissolved organic	numeric		
totp		microgramsPerLiter	real		Phosphorus, total	numeric		
totn		microgramsPerLiter	real		Nitrogen, total	numeric		
tot_kjdl_n		microgramsPerLiter	real		Nitrogen, total kjeldahl	numeric		
nh34		microgramsPerLiter	real		Nitrogen, NH4	numeric		
no23		microgramsPerLiter	real		Nitrogen, nitrite (NO2) + nitrate (NO3)	numeric		
po4		microgramsPerLiter	real		Phosphorus, orthophosphate	numeric		
