attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
SampDate	MM/DD/YYYY				The sample date	Date		
SiteName			character	The name of the lake and basin if applicable	The name of the lake and basin if applicable	character		
SiteID		dimensionless	natural		Site id label for original database	numeric		
DepthM		meter	real		The depth the sample was taken	numeric		
MAbbr			character	The sample type	The sample type	factor		
DNU			character	If this value is TRUE then should not use	If this value is TRUE then should not use	factor		
Alk		milligramsPerLiter	real		Alkalinity total	numeric	NA	not available
Ca		milligramsPerLiter	real		Calcium	numeric	NA	not available
Chl		microgramsPerLiter	real		Chlorophyll a corrected for pheophytin	numeric	NA	not available
NOx		microgramsPerLiter	real		Nitrogen, nitrite + nitrate	numeric	NA	not available
TDP		microgramsPerLiter	real		Phosphorus total dissolved	numeric	NA	not available
TDS		milligramsPerLiter	real		Solids total suspended	numeric	NA	not available
TDSi		dimensionless	real		Unknown	numeric	NA	not available
TP		microgramsPerLiter	real		Phosphorus total	numeric	NA	not available
SecchiM		meter	real		Secchi depth	numeric		
