attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
Site			character	Lake name	Lake name	character		
Site_ID			character	the lake name along with the location in the lake	the lake name along with the location in the lake	character		
UTM_X		meter	natural		coordinates	numeric		
UTM_Y		meter	natural		coordinates	numeric		
Date	YYYYMMDD		natural		sample date	Date		
Time	hhmm		natural		sample time	Date		
Alk_mgL		milligramsPerLiter	real		Alkalinity, total	numeric		
Ca_mgL		milligramsPerLiter	real		Calcium	numeric		
Cl_mgL		milligramsPerLiter	real		Chloride	numeric		
Chla_ugL		microgramsPerLiter	real		Chlorophyll a	numeric		
Hard_mgL		milligramsPerLiter	real		Hardness, total	numeric		
Mg_mgL		milligramsPerLiter	real		Magnesium	numeric		
TKN_mgL		milligramsPerLiter	real		Nitrogen, total kjeldahl	numeric		
N_rate_rite		milligramsPerLiter	real		Nitrogen, nitrite (NO2) + nitrate (NO3)	numeric		
TN_mgL		milligramsPerLiter	real		Nitrogen, total	numeric		
TP_MGL		milligramsPerLiter	real		Phosphorus, total	numeric		
TSS_mgL		milligramsPerLiter	real		Solids, total suspended	numeric		
SPC_umhoscm		micromhosPerCentimeter	real		Conductance, specific	numeric		
S04_mgL		milligramsPerLiter	real		Sulfate	numeric		
pH_units		dimensionless	real		pH	numeric		
DOC_mgL		milligramsPerLiter	real		Carbon, dissolved organic	numeric		
Color_PCCU		dimensionless	natural		Color, true (PCCU)	numeric		
