attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
ROW_ID		dimensionless	natural		Row ID	numeric		
STATION_ID			character	station identifier	station identifier	character		
STATION_NAME			character	station name	station name	character		
STATION_TYPE			character	station type	station type	character		
TOWN			character	town	town	character		
COUNTY			character	county	county	character		
WATERBODY_ID			character	If a station is surface water based then the ID of the waterbody it resides on will be displayed. This ID is assigned to the waterbody by the NHDES Watershed Management Bureau. These IDs are the same as those used for assessment purposes and are based on the 1:100000 digital line graph dataset. In some cases a waterbody ID can encompass more than one stream in an area if the water quality and other parameters are similar for all river segments.	If a station is surface water based then the ID of the waterbody it resides on will be displayed. This ID is assigned to the waterbody by the NHDES Watershed Management Bureau. These IDs are the same as those used for assessment purposes and are based on the 1:100000 digital line graph dataset. In some cases a waterbody ID can encompass more than one stream in an area if the water quality and other parameters are similar for all river segments.	character		
WATERBODY_NAME			character	The name of the waterbody. Has descriptors that are associated with site (beach dam etc)	The name of the waterbody. Has descriptors that are associated with site (beach dam etc)	character		
RIVER_NAME			character	If the station lies on a river this is the river name. This includes water bodies that are reservoirs and this field would indicate which river feeds the reservoir.	If the station lies on a river this is the river name. This includes water bodies that are reservoirs and this field would indicate which river feeds the reservoir.	character		
DESIGNATED_RIVER			character	designated river name	designated river name	character		
RELATED_LAKE_NAME			character	For volunteer lake assessments tributaries are sampled in addition to the lake being studied. To relate these tributary samples back to the lake studied this column is used.	For volunteer lake assessments tributaries are sampled in addition to the lake being studied. To relate these tributary samples back to the lake studied this column is used.	character		
HUC12		dimensionless	real		The 12 digit hydrologic unit code (HUC) the station resides in. Major river basins are divided into smaller hydrogeographic regions based upon a coding system developed by the United States Geological Survey and adopted by the State of New Hampshire. This numbering scheme is called the Hydrologic Unit Code (HUC). Each Hydrologic Unit is further divided into smaller sections which we call the watershed and each watershed is assigned a 3-digit code. This makes the numeric watershed identifier a rather lengthy number but useful for cataloguing and communicating electronic information. However for the sake of recognition and dialog the watersheds are also referred to by name usually by a significant waterbody within the watershed.	numeric		
STATION_ACTIVE			character	Whether the station is active or inactive. For example a well station could become inactive if the well was removed or filled in.	Whether the station is active or inactive. For example a well station could become inactive if the well was removed or filled in.	factor		
ACTIVITY_ID			character	An identifier for the activity (sample measurement or observation) conducted at the station.	An identifier for the activity (sample measurement or observation) conducted at the station.	character		
ACTIVITY_TYPE			character	Type of activity conducted (i.e. routine sample field replicate field duplicate etc.)	Type of activity conducted (i.e. routine sample field replicate field duplicate etc.)	character		
REPLICATE_ID			character	laboratory identifier for replicate samples	laboratory identifier for replicate samples	character		
DATA_STATUS			character	Status of the activity record – Preliminary Reviewed or Final data. Only Final data is accessible through this web site.	Status of the activity record – Preliminary Reviewed or Final data. Only Final data is accessible through this web site.	factor		
MEDIUM			character	Sampling media (water soil sediment air or tissue).	Sampling media (water soil sediment air or tissue).	factor		
DEPTH		dimensionless	real		Depth in the water column the sample was taken at. Some observations do not have any depth info. Melanie Titus commented on this: “In regards to the depth information if it’s blank then it wasn’t entered by the sampler. Almost always that means it was a surface water sample but we don’t assume that in our database so it’s left blank. Sometimes the depth will be entered as parameter/substance or in the comments but not always.”	numeric		
DEPTH_UNITS			character	Units for the Depth (FT = feet and M = meters CM = centimeters).	Units for the Depth (FT = feet and M = meters CM = centimeters).	factor		
DEPTH_MEAS_FROM			character	Whether the depth value (“Depth”) was measured from the surface or the bottom of the water column	Whether the depth value (“Depth”) was measured from the surface or the bottom of the water column	factor		
UPPER_DEPTH			character	If “SAMPLE_COLLECTION_METHOD” = “INTEGRATED” this value represents the top of the collection interval.	If “SAMPLE_COLLECTION_METHOD” = “INTEGRATED” this value represents the top of the collection interval.	character		
LOWER_DEPTH			character	If “SAMPLE_COLLECTION_METHOD” = “INTEGRATED” this value represents the bottom of the collection interval.	If “SAMPLE_COLLECTION_METHOD” = “INTEGRATED” this value represents the bottom of the collection interval.	character		
RANGE_UNITS			character	Depth units for “UPPER_DEPTH” and “LOWER_DEPTH” measures	Depth units for “UPPER_DEPTH” and “LOWER_DEPTH” measures	character		
DEPTH_ZONE			character	The layer of the lake sample (if applicable). Examples: Metalimnion Hypolimnion Surface.	The layer of the lake sample (if applicable). Examples: Metalimnion Hypolimnion Surface.	factor		
START_DATE	DD/MM/YYYY				Sample date	Date		
START_TIME			character	Time the activity began or was collected.	Time the activity began or was collected.	character		
ACTIVITY_COMMENTS			character	Field or lab technician comments. Includes some depth information that may not be in depth fields. For example designations are made here if sample is from epilimnion (“EPI”) metalimnion (“MET”) or hypolimnion (“HYP”)	Field or lab technician comments. Includes some depth information that may not be in depth fields. For example designations are made here if sample is from epilimnion (“EPI”) metalimnion (“MET”) or hypolimnion (“HYP”)	character		
SAMPLE_COLLECTION_METHOD			character	LAKETRIP = unclear what this stands for PROFILE = part of a sampling profile through the water column (as in temperature or DO) RIVERTRIP = unclear what this stands for VLAPTRIP = collected on a VLAP program sampling trip following VLAP methods	LAKETRIP = unclear what this stands for PROFILE = part of a sampling profile through the water column (as in temperature or DO) RIVERTRIP = unclear what this stands for VLAPTRIP = collected on a VLAP program sampling trip following VLAP methods	factor		
PARAMETER			character	Name of measured analyte. Below is a list of all variables that are associated with records from the LKTROPH program. Methods for each \ analyte are described in the table below called “Analyte Methods”	Name of measured analyte. Below is a list of all variables that are associated with records from the LKTROPH program. Methods for each \ analyte are described in the table below called “Analyte Methods”	factor		
RESULTS			character	Text or numeric results for a particular parameter/analyte. -Number indicates a result of analyte measure. - “<” symbol indicates result was below detection limit. -“ND” = not detected below detection limit -“Not run” = water sample was collected in field but not processed by lab	Text or numeric results for a particular parameter/analyte. -Number indicates a result of analyte measure. - “<” symbol indicates result was below detection limit. -“ND” = not detected below detection limit -“Not run” = water sample was collected in field but not processed by lab	character		
RESULTS_UNITS			character	Units (feet meters mg/l etc.) for the results.	Units (feet meters mg/l etc.) for the results.	character		
LAB_QUALIFIER			character	The qualifier (flag) a lab applies to the results.	The qualifier (flag) a lab applies to the results.	character		
DETECTION_LIMIT		dimensionless	real		The limit of detection for the analyses or reporting detection limit	numeric		
MDL		dimensionless	real		The method detection limit. From Melanie Titus: MDL is a lower limit (less conservative) but might not be as accurate [compared to DETECTION_LIMIT].	numeric		
LIMIT_UNITS			character	The unit for value reported in “DETECTION_LIMIT”	The unit for value reported in “DETECTION_LIMIT”	character		
LIMIT_COMMENT			character	limit comments	limit comments	character		
RESULTS_VALID			character	results valid	results valid	factor		
ANALYTICAL_METHOD			character	The method used to analyze the sample. See section titled “Analyte Methods” below for a record of all methods associated with each LAGOS variable that was present in this database.	The method used to analyze the sample. See section titled “Analyte Methods” below for a record of all methods associated with each LAGOS variable that was present in this database.	character		
AM_SOURCE_ID			character	The source documentation for the analytical method. USEPA = United States Environmental Protection Agency LACHAT = Lachat nitrate/nitrite method	The source documentation for the analytical method. USEPA = United States Environmental Protection Agency LACHAT = Lachat nitrate/nitrite method	character		
RESULTS_COMMENT			character	Any comment on results from lab or field collector.	Any comment on results from lab or field collector.	character		
LAB_ID			character	Code for lab where analysis was conducted. Definitions for lab codes listed in file: Dropbox/CSI-LIMNO_DATA/DATA-lake/NH data/NHDES_1995toPresent/Lab_ID	Code for lab where analysis was conducted. Definitions for lab codes listed in file: Dropbox/CSI-LIMNO_DATA/DATA-lake/NH data/NHDES_1995toPresent/Lab_ID	character		
STATISTIC_TYPE		dimensionless	real		Number of samples used to generate the Statistic_Type.	numeric		
SAMPLE_SIZE		dimensionless	real		Number of samples used to generate the Statistic_Type.	numeric		
