attributeName	code	definition
STATION_ACTIVE	Y	Yes
STATION_ACTIVE	N	No
DATA_STATUS	FINAL	Final
MEDIUM	WATER	Water
DEPTH_UNITS	M	Meters
DEPTH_MEAS_FROM	SURFACE	Surface
DEPTH_ZONE	EPILIMNION	Epilimnion
DEPTH_ZONE	METALIMNION	Metalimnion
DEPTH_ZONE	HYPOLIMNION	Hypolimnion
DEPTH_ZONE	UPPER	Upper
DEPTH_ZONE	LOWER	Lower
SAMPLE_COLLECTION_METHOD	VLAPTRIP	VLAP trip
SAMPLE_COLLECTION_METHOD	LAKETRIP	Lake trophic trip
PARAMETER	PHOSPHORUS AS P	Phosphorus, total
PARAMETER	NITROGEN NITRITE (NO2) + NITRATE (NO3) AS N	Nitrogen, nitrite (NO2) + nitrate (NO3)
PARAMETER	CARBON ORGANIC	Carbon, organic
PARAMETER	NITROGEN KJELDAHL	Nitrogen, total Kjeldahl
RESULTS_VALID	Y	Yes
VALUE_TYPE	ACTUAL	Actual
FRACTION_TYPE	TOTAL	Total
FRACTION_TYPE	DISSOLVED	Dissolved
