attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
Site_ID			character	New Jersey unique water body identifier	New Jersey unique water body identifier	character		
Site_Name			character	water body common name	water body common name	character		
Station		dimensionless	natural		specific sampling point within the lake corresponding to included data and lat/long data	numeric		
Lat		meter	real		lattitude	numeric		
Long		meter	real		longitude	numeric		
Year	yyyy				year of lake sampling	Date		
Season			character	summer or fall	summer or fall	factor		
Date	mm/dd/yyyy				Date sampled	Date		
Zmax		meter	real		lake maximum depth	numeric		
Zprofile		meter	real		depth at which reported sample/data were collected	numeric		
Secchi			character	Secchi disk depth, unknown if viewscope used (meter)	Secchi disk depth, unknown if viewscope used (meter)	character		
Temp		celsius	real		Temperature	numeric		
DO		milligramsPerLiter	real		dissolved oxygen	numeric		
pH		dimensionless	real		pH	numeric		
Cond		millisiemensPerCentimeter	real		conductivity	numeric		
TP			character	Phosphorus, total TP measurements taken from 2006-2009 are mg/L. Detection limits: 0.0099ppm (QA Plan) (milligramsPerLiter)	Phosphorus, total TP measurements taken from 2006-2009 are mg/L. Detection limits: 0.0099ppm (QA Plan) (milligramsPerLiter)	character		
TKN		milligramsPerLiter	real		Nitrogen, total kjeldahl	numeric		
NO3N			character	Nitrogen, nitrite (NO2) + nitrate (NO3) (milligramsPerLiter)	Nitrogen, nitrite (NO2) + nitrate (NO3) (milligramsPerLiter)	character		
NH4N			character	Nitrogen, NH4 (milligramsPerLiter)	Nitrogen, NH4 (milligramsPerLiter)	character		
Chl		microgramsPerLiter	real		Chlorophyll a	numeric		
Alk			character	Alkalinity, total (ppm)	Alkalinity, total (ppm)	character		
Turb		dimensionless	real		Turbidity (NTU)	numeric		
