attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
Location		dimensionless	natural		Reservoir code	numeric		
SampSite			character	General sample location whether outflow (OUTFL), inflow (INFLO), or mid-lake (MIDLK)	General sample location whether outflow (OUTFL), inflow (INFLO), or mid-lake (MIDLK)	factor		
Date	mm/dd/yyyy				Sampling date	Date		
Integrated_Depth		meter	real		Integrated sample depth	numeric		
SD		centimeter	real		Secchi transparency in centimeters	numeric		
TSS		milligramsPerLiter	real		Total suspended solids concentration in milligrams per liter	numeric		
TN		microgramsPerLiter	natural		Total nitrogen concentration in micrograms per liter	numeric		
TP		microgramsPerLiter	real		Total phosphorus concentration in micrograms per liter	numeric		
Chla		microgramsPerLiter	real		Chlorophyll a concentration	numeric		
Lake_name			character	Lake name	Lake name	character		
