attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
Official_Lakel_Name			character	The lake name from the DNR Register of Waterbodies, which corresponds with the name recognized by the Geographic Names Council and in the USGS Geographic Names Information System	The lake name from the DNR Register of Waterbodies, which corresponds with the name recognized by the Geographic Names Council and in the USGS Geographic Names Information System	character		
Waterbody_ID_Code_WBIC		dimensionless	natural		A unique identifier for each waterbody. Stored in the DNR Register of Waterbodies database	numeric		
Lake_Latitude		meter	real		Approximate center of lake based on DNR 24k hydrolayer	numeric		
Lake_Longitude		meter	real		Approximate center of lake based on DNR 24k hydrolayer	numeric		
County_Name			character	Name of county where lake is located	Name of county where lake is located	character		
Station_ID		dimensionless	natural		The Unique identifier for the monitoring station, stored in the Surface Water Integrated Monitoring System (SWIMS) database and is also the US EPA STORET Station ID.	numeric		
Station_Name			character	Name of the monitoring station where the sample was taken	Name of the monitoring station where the sample was taken	character		
Station_Type			character	These correspond to the US EPA STORET database Station Types	These correspond to the US EPA STORET database Station Types	factor		
Secondary_Station_Type			character	Some of these correspond to the US EPA STORET database "sub types" for stations, but some are also unique to SWIMS. For instance, DEEPEST SPOT is one we created to flag stations that are actually relatively in the center or deepest part of the lake (as opposed to a bay, or along a lake edge)	Some of these correspond to the US EPA STORET database "sub types" for stations, but some are also unique to SWIMS. For instance, DEEPEST SPOT is one we created to flag stations that are actually relatively in the center or deepest part of the lake (as opposed to a bay, or along a lake edge)	factor		
Station_Latitude		meter	real		Station latitude	numeric		
Station_Longitude		meter	real		Station longitude	numeric		
Project			character	In SWIMS we use these to track why the data was collected	In SWIMS we use these to track why the data was collected	character		
Date	MM/DD/YYYY				Date of sample collection	Date		
Date_Formatted	MM/DD/YYYY hh:mm				Date of sample collection - standardized across projects	Date		
START_AMT		dimensionless	real		the sample depth (starting point). Often 3 feet below surface	numeric		
END_AMT		dimensionless	real		The sample depth end point. The same as the starting point, unless it was an integrated sample.	numeric		
UNIT_CODE			character	Unit of sample depth	Unit of sample depth	factor		
METHOD_CODE			character	Sample Collection method code	Sample Collection method code	factor		
Observer_Comments			character	whatever the data collector noted such as weather conditions	whatever the data collector noted such as weather conditions	character		
Total_Phosphorus			character	result value as text	result value as text	character		
Total_Phosphorus_Amt		milligramsPerLiter	real		total phosphorus at a number	numeric		
Total_Phosphorus_Units			character	TP units	TP units	factor		
Total_Phosphorus_Comm			character	comments	comments	character		
NITROGEN_KJELDAHL_TOTAL			character	Nitrogen, total Kjeldahl as text	Nitrogen, total Kjeldahl as text	character		
NITROGEN_KJELDAHL_TOTAL_Amt		milligramsPerLiter	real		Nitrogen, total Kjeldahl as number	numeric		
NITROGEN_KJELDAHL_TOTAL_Units			character	Nitrogen, total Kjeldahl units	Nitrogen, total Kjeldahl units	character		
NITROGEN_KJELDAHL_TOTAL_Comm			character	TN comments	TN comments	character		
NITR_NO3_NO2_DISS_AS_N			character	Nitrogen, dissolved nitrite (NO2) + nitrate (NO3) ast text	Nitrogen, dissolved nitrite (NO2) + nitrate (NO3) ast text	character		
NITR_NO3_NO2_DISS_AS_N_Amt		milligramsPerLiter	real		Nitrogen, dissolved nitrite (NO2) + nitrate (NO3) as numbers	numeric		
NITR_NO3_NO2_DISS_AS_N_Units			character	Nitrogen, dissolved nitrite (NO2) + nitrate (NO3) units	Nitrogen, dissolved nitrite (NO2) + nitrate (NO3) units	character		
NITR_NO3_NO2_DISS_AS_N_Comm			character	Nitrogen, dissolved nitrite (NO2) + nitrate (NO3) lab comments	Nitrogen, dissolved nitrite (NO2) + nitrate (NO3) lab comments	character		
Chlorophll_A			character	Chlorophyll a as text	Chlorophyll a as text	character		
Chlorophll_A_Amt		microgramsPerLiter	real		Chlorophyll a as number	numeric		
Chlorophyll_A_Units			character	Chlorophyll a units	Chlorophyll a units	character		
