attributeName	code	definition
Station_Type	LAKE	Lake station
Station_Type	RIVERINE IMPOUNDMENT	Riverine impoundment
Station_Type	RESERVOIR	Reservior
Secondary_Station_Type	DEEPEST SPOT	Sample station relatively at the deepest part of the lake
Secondary_Station_Type	BOAT LANDING - PRIVATE	Boat landing
UNIT_CODE	FEET	Feet
UNIT_CODE	METERS	Meter
METHOD_CODE	GRAB SAMPLE	Grab sample
METHOD_CODE	CLMN TEMPERATURE: DIGITAL PROBE	CLMN TEMPERATURE: DIGITAL PROBE
METHOD_CODE	CLMN GRAB SAMPLE: VAN DORN	CLMN GRAB SAMPLE: VAN DORN
METHOD_CODE	CLMN INTEGRATED SAMPLE	CLMN INTEGRATED SAMPLE
METHOD_CODE	CLMN TEMP-D.O. METER 2005-	CLMN TEMP-D.O. METER 2005-
METHOD_CODE	CLMN GRAB SAMPLE: MASON JAR SAMPLER	CLMN GRAB SAMPLE: MASON JAR SAMPLER
METHOD_CODE	CLMN TEMPERATURE: DORIC PROBE	CLMN TEMPERATURE: DORIC PROBE
METHOD_CODE	CBSM_PP_FIELD_METHODS	CBSM_PP_FIELD_METHODS
METHOD_CODE	DNR-FPM-SONDES2006	DNR-FPM-SONDES2006
METHOD_CODE	WATER GRAB: VAN DORN	WATER GRAB: VAN DORN
METHOD_CODE	CLMN SECCHI	CLMN SECCHI
Total_Phosphorus_Units	MG/L	MG/L
Total_Phosphorus_Units	MG/L AS P	MG/L AS P
Secchi_Hit_Bottom	NO	Did not hit bottom
Secchi_Hit_Bottom	YES	Hit bottom
