attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
Date	MM/DD/YYYY				The collection Date	Date		
lakename			character	Name of lake	Name of lake	character		
Sample_Time			character	The collection time	The collection time	character		
Alkalinity_mgL		milligramsPerLiter	real		Alkalinity, total	numeric		
Chloride_mgL		milligramsPerLiter	real		Chloride	numeric		
CC_a_ugL		microgramsPerLiter	real		Chlorophyll a, corrected for pheophytin	numeric		
Nitrate_and_Nitrite_mgL		milligramsPerLiter	real		Nitrogen, nitrite (NO2) + nitrate (NO3)	numeric		
Nitrogen_Ammonia_as_N_mgL		milligramsPerLiter	real		Nitrogen, NH3	numeric		
TKN_mgL		milligramsPerLiter	real		Nitrogen, total kjeldahl	numeric		
DOC_mgL		milligramsPerLiter	real		Carbon, dissolved organic	numeric		
Phosphorus_Ortho_mgL		milligramsPerLiter	real		Phosphorus, orthophosphate	numeric		
Total_Phosphorus_mgL		milligramsPerLiter	real		Phosphorus, total	numeric		
TSS_mgL		milligramsPerLiter	real		Solids, total suspended	numeric		
Sulfates_mgL		milligramsPerLiter	real		Sulfate	numeric		
Secchi_disc_ft			character	Secchi, no view (feet)	Secchi, no view (feet)	character		
Turbidity_NTU		dimensionless	real		Turbidity (NTU)	numeric		
Sample_Depth_ft		foot	natural		sample depth for hypolimnion samples	numeric		
