attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
lakeid			character	lake name abbreviation	lake name abbreviation	factor		
year4	YYYY		natural		year	Date		
daynum		dimensionless	natural		day of year	numeric		
sampledate	MM/DD/YYYY		character		sample date	Date		
sta		dimensionless	natural		station number	numeric		
secview		meter	real		secchi depth with viewer	numeric		
secnview		meter	real		secchi depth without viewer	numeric		
timeon	hhmm		natural		time sampling starts at station	Date		
timeoff	hhmm		natural		time sampling concludes at station	Date		
airtemp		celsius	real		air temperature	numeric		
windir			character	wind direction	wind direction	character		
windspd		milesPerHour	whole		wind speed	numeric		
waveht		centimeter	whole		wave height	numeric		
cloud		dimensionless	whole		cloud cover (percent)	numeric		
ice		dimensionless	natural		ice cover ( = 1 if lake is ice covered on sampledate)	numeric		
