attributeName	code	definition
lakeid	AL	Allequash Lake
lakeid	BM	Big Muskellunge Lake
lakeid	CB	Crystal Bog Lake
lakeid	CR	Crystal Lake
lakeid	SP	Sparkling Lake
lakeid	TB	Trout Bog Lake
lakeid	TR	Trout Lake
flagchlor	H	Outside of standard range
flagchlor	J	Non standard routine followed
flagchlor	A	Sample suspect
flagchlor	L	Data point and blind value differe by more than 15%
flagchlor	K	Data suspect
flagchlor	G	Analyzed late
flagchlor	B	Standard curve/reduction suspect
flagchlor	I	Outside of data entry constraints
flagchlor	O	Value suspect but total pigment (CHL + PHAEO) value accurate
flagchlor	D	Sample lost
flagchlor	K 	Data suspect
flagphaeo	H	Outside of standard range
flagphaeo	J	Non standard routine followed
flagphaeo	I	Outside of data entry constraints
flagphaeo	A	Sample suspect
flagphaeo	L	Data point and blind value differe by more than 15%
flagphaeo	K	Data suspect
flagphaeo	G	Analysed late
flagphaeo	B	Standard curve/reduction suspect
flagphaeo	O	Value suspect but total pigment (CHL + PHAEO) value accurate
flagphaeo	D	Sample lost
