attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	missingValueCode	missingValueCodeExplanation
lake			character	lake name	lake name	character		
sampledate	MM/DD/YYYY				sample date	Date		
depth		meter	whole		depth - in meters unless otherwise noted	numeric		
rep		dimensionless	natural		replicate number	numeric		
dic		milligramsPerLiter	real		dissolved inorganic carbon	numeric		
doc		milligramsPerLiter	real		dissolved organic carbon	numeric		
tic		milligramsPerLiter	real		total inorganic carbon	numeric		
toc		milligramsPerLiter	real		total organic carbon	numeric		
alk		microequivalentsPerLiter	real		alkalinity	numeric		
ph		dimensionless	real		pH	numeric		
color440		dimensionless	real		absorbance at 440 nm (perCmx1000)	numeric		
color280		dimensionless	real		absorbance at 280nm (perCmx1000)	numeric		
color253		dimensionless	real		absorbance at 253 nm (perCmx1000)	numeric		
cond		microsiemensPerCentimeter	natural		specific conductance	numeric		
secchi		meter	real		secchi depth	numeric		
totpuf		microgramsPerLiter	whole		total P unfiltered	numeric		
totnuf		microgramsPerLiter	whole		total N unfiltered	numeric		
drsi		microgramsPerLiter	natural		dissolved reactive silica	numeric		
ca		microgramsPerLiter	real		calcium	numeric		
k		microgramsPerLiter	real		K	numeric		
mg		microgramsPerLiter	real		Mg	numeric		
na		microgramsPerLiter	real		Na	numeric		
fe		microgramsPerLiter	real		Fe	numeric		
cl		microgramsPerLiter	real		chloride	numeric		
so4		microgramsPerLiter	real		SO4	numeric		
