latitude	longitude	site
47.80302778	13.42019444	Mondsee
46.67375	6.322252778	Brenet
46.51416111	6.773583333	Bret
46.35461667	6.152488889	Divonne
46.29200278	6.213036111	Geneva_GE3
47.33993333	8.678416667	Greifen
47.28744722	8.2115	Hallwil
46.63895278	6.286463889	Joux
47.02083333	8.355516667	Lucerne
46.92760833	7.074027778	Morat
47.20716389	8.821936111	Ober
47.35079167	8.782402778	Pfaffikon
47.14369444	8.150269444	Sempacher
46.44721944	6.583597222	Geneva_SHL2
47.0899	8.080633333	Sopen
47.32166667	8.565	Zurich
35.03	33.17	Akaki_Malounda
34.73955556	32.55866667	Asprokremmos Reservoir
34.92888889	32.58938889	Kannaviou Reservoir
34.74636111	32.92194444	Kouris Reservoir
34.72	32.99	Polemidia
49.496334	16.696983	Boskovice
49.237133	16.511232	Brnenska prehrada
49.737267	15.914233	Hamry
49.554466	16.555149	Letovice
49.121517	17.774866	Luhacovice
49.535168	15.882933	Matejovsky
49.395866	16.015217	Mostiste
48.77795	16.742849	Nesyt
48.893284	16.643499	Nove Mlyny II
48.934191	16.529216	Novovesky
49.632233	15.90435	Velke Dako
53.14811	12.8870556	Bikowsee
53.315693	13.452971	Carwitzersee
47.75788	9.12617	Constance
53.254358	13.204838	Grosser Dabelowsee
53.151	13.0531111	Dagowsee
52.60658	14.1712222	Dollgenesee
53.329786	13.130422	Domjuchsee
53.213974	13.028633	Ellengowsee
53.316546	13.163811	Fuirstensersee
53.10569	12.9849444	Fukuschkule
53.07803	13.1714444	Kleiner Wentowsee
53.20386	12.8755	Labusee
52.2445	13.78544444	LangerSee
52.441171	13.657738	Muggelsee
53.174916	13.856108	Oberuckersee
53.237915	12.861389	Peetschsee
53.28372	13.1958611	Pfsarrsee
53.487471	12.349336	Plauersee
53.22458	12.9802778	Platinsee
53.176337	12.881906	Prebelowsee
53.183187	13.116817	Roblinsee
53.11067	13.0350222	Roofensee
52.21683	14.0235	Scharmutzelsee
53.151814	12.867381	Schlabornsee
53.18828	13.1496111	Schwedtsee
52.868262	13.837662	Stadtsee
53.154031	13.026104	Stechlinsee
53.17497	13.2085	Stolpsee
53.527362	12.691713	Tiwarensee
53.40845	13.249775	Wanzkaersee
53.05308	13.2531111	Grosser Wentowsee
53.12653	12.9364167	Wittwesee
53.22131	13.2936111	Wurlsee
55.77266667	12.45663889	Bagsvaerd
55.81802778	12.2695	Bastrup
55.80522222	12.36719444	Farum
55.81305556	12.44313889	Fure
55.50308333	11.69452778	Gyrstinge
55.48463889	11.76422222	Haraldsted
55.77472222	12.47911111	Lyngby
56.12325	9.615833333	Slaen
58.57116667	26.71133333	Elistvere
58.607222	26.676111	Kaiavere
58.718181	26.550592	Kuremaa
58.12	27.575	Lammijarv
58.80944444	27.37166667	Peipsi
58.588889	26.655	Raigastvere
58.53608333	26.64883333	Saadjarv
58.23161111	26.40577778	Verevijarv
58.21191667	26.10275	Vortsjarv
43.28138889	-8.295	Abegondo-Cecebre
39.34433333	-0.338916667	Albufera de Valencia
39.73423056	-6.878894444	Alcantara
36.75222222	-5.793888889	Embalse de Arcos de la Frontera
39.77533611	-5.088780556	Azutan
42.135878	1.872081	La Baells
42.60694444	-8.616111111	Baxe reservoir
42.348167	2.821567	Boadella
43.3476	-8.260439	Branas
42.14402778	1.016833333	Basturs petit
42.14327778	1.020361111	Basturs
36.67291944	-4.4558	Laguna Camarones
36.67293333	-4.455225	Laguna Canas
39.66731111	-7.532625	Cedillo
41.96833333	-7.982777778	As Conchas
36.67110278	-4.452469444	Laguna Costera
37.2787	-3.675683333	Embalse del Cubillas
43.491886	-8.312181	Doninos
36.67493611	-4.460111111	Laguna Escondida
39.12833333	-0.698611111	Embalse de Escalona
36.671994	-4.452602	Laguna Eucaliptal
41.255951	1.6490111	El Foix
43.61222222	-8.085833333	As Forcadas Reservoir
36.67131	-4.45601	Laguna Grande
39.44975	-3.338555556	Laguna Grande de Villafranca
36.75555	-2.9464	Laguna Honda
41.37067	0.2675556	Mequinenza Reservoir
42.331207	0.994539	Montcortes
41.24938889	0.429194444	Ribarroja Reservoir
36.67361944	-4.455016667	Laguna Rio Viejo
41.97005	2.410655556	Sau
43.037611	-8.009558	Sobrado
42.76691944	-3.102138889	Sobron Resrbvoir
36.67098889	-4.452725	Laguna Sur
39.13372222	-0.647388889	Embalse de Tous
39.77873333	-5.6054	Valdecanas
41.72095	2.341644444	Vallfornes
37.05641667	-3.379533333	Laguna de las Yeguas
62.18833333	21.43888889	Harkmerifjarden
62.23918889	25.77259167	Jyvasjarvi
60.355	22.20833333	Kakskerranjarvi
60.45138889	22.39527778	Littoistenjarvi
62.12474444	25.56038889	Muuratjarvi
62.31777778	21.38027778	Stortrasket
61.14888889	24.27369444	Vanajanselka
45.66388889	2.984444444	Aydat
45.49583333	2.888333333	Pavin
38.17156667	23.90511111	Marathonas
40.76368056	21.09733889	Lesser Prespa
40.66705556	23.54194444	Volvi
45.30633333	14.71333333	Bajer
45.33186111	13.92322222	Butoniga
45.605	18.85555556	Kopacko
44.88997222	15.60408333	Kozjak
45.34781	15.34382	Lesce
45.35977778	14.71708333	Lokve
45.77836111	15.93516667	Malo Jezero
45.16963889	14.56338889	Njivice
45.83161111	16.02616667	Peto Jezero
45.07794444	14.55833333	Ponikve
44.86791667	15.59783333	Prosce
45.6	18.8475	Sakadas
45.769	16.03244444	Savica
45.22761111	14.67061111	Tribali
44.84002778	14.39241667	Vransko
47.267605	18.48562	Patkai Reservoir
47.20636111	18.61386111	Velencei
47.30188889	18.46486111	Zamolyi
54.275	-8.396388889	Colgagh Lough
54.06388889	-7.738888889	Corduff
54.14583333	-6.712222222	Milltown
54.09972222	-8.589444444	Templehouse
46.01416667	11.25138889	Caldonazzo
46.03991667	10.49677778	Campo
45.6975	10.72083333	Garda
45.68722222	10.06722222	Iseo
46.0175	11.27388889	Levico
46.13666667	11.25555556	Serraia
46.26127778	10.94947222	Tovel
