attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Core_name	Name identifier for each soil core.	character				
Site	Site the soil core came from.	categorical				
Field_trt	Agricultural practice used on the plot sampled.	categorical				
Plot_number	"Field replicate, i.e. plot number under a certain ag. practice."	character				
Core_Rep_Letter	"Soil core replicate from a single plot. A,B,C,D,E, or F (only 4 of these 6 were incubated)"	categorical				
site_trt2	Site + ag practice for categorical stats.	categorical				
plot_name	Site + ag. practice + plot # for stats.	character				
DrySoilMass_pre_sack	"Total soil mass, dry."	numeric	gram			
Stones_mass__g_	"Mass of stones >4mm diameter, if present"	numeric	gram			
soil_and_water_volume_in_ml	Volume of soil + water in core.	numeric	milliliter			
pH	pH of soil measured at end of incubation.	numeric	dimensionless			
Inc_WHC_trt	Water holding capacity (WHC) target for core. In proportion of total WHC	numeric	dimensionless			
SoilMoistureTargetChange_g	"Target soil moisture change from the initial mass of the core, calculated with the average core moisture from the plot and and the WHC target."	numeric	gram			
PercGrav_pre_sack	Gravimetric moisture at the end of the incubation. In percent	numeric	dimensionless			
T0BulkDensity	Soil bulk density at beginning of incubation.	numeric	gramsPerMilliliter			
T0PercPorespace	Soil porespace. In percent of total core volume	numeric	dimensionless			
T0PercVWC	Volumetric water content prior to incubation start. In percent of total core volume	numeric	dimensionless			
T0PercAFPS	Air-filled porespace (AFPS) prior to incubation start. Percent of total porespace	numeric	dimensionless			
T0PercWFPS	Water-filled porespace (WFPS) prior to incubation start. Percent of total porespace	numeric	dimensionless			
T1PercVWC	"Volumetric water content, week 6. Percent of total core volume"	numeric	dimensionless			
T1PercAFPS	Air-filled porespace (AFPS) week 6. Percent of total porespace	numeric	dimensionless			
T1PercWFPS	Water-filled porespace (WFPS) week 6. Percent of total porespace	numeric	dimensionless			
T2PercVWC	Volumetric water content week 21. Percent of total core volume	numeric	dimensionless			
T2PercAFPS	Air-filled porespace (AFPS) week 21. Percent of total porespace	numeric	dimensionless			
T2PercWFPS	Water-filled porespace (WFPS) week 21. Percent of total porespace	numeric	dimensionless			
meanPercWFPS	Mean of week 6 and 21 WFPS. Percent of total porespace	numeric	dimensionless			
Amm_mg_gds	Soil ammonium concentration in dry soil	numeric	milligramsPerGram			
Nit_mg_gds	Soil nitrate concentration in dry soil	numeric	milligramsPerGram			
TIN_mg_gds	Total inorganic N (TIN) in dry soil	numeric	milligramsPerGram			
PercN_as_Nit	Percent of TIN as nitrate	numeric	dimensionless			
Ratio_Amm_to_Nit	Ratio of ammonium to nitrate concentration	numeric	dimensionless			
log10Amm_ug_gdw	Log10 of ammonium concentration	numeric	dimensionless			
log10Nit_ug_gdw	Log10 of nitrate concentration	numeric	dimensionless			
log10TIN_ug_gdw	Log10 of TIN	numeric	dimensionless			
CHL_DOC_mg_gds	Extraction of dissolved organic C (DOC) from soil after chloroform in dry soil	numeric	milligramsPerGram			
CHL_TN_mg_gds	Extraction of total N(TN) from soil after chloroform in dry soil	numeric	milligramsPerGram			
nonCHL_DOC_mg_gds	Extraction of dissolved organic C (DOC) from soil without chloroform in dry soil	numeric	milligramsPerGram			
nonCHL_TN_mg_gds	Extraction of total N(TN) from soil without chloroform in dry soil	numeric	milligramsPerGram			
MBC_mg_gds	Microbial biomass C in dry soil	numeric	milligramsPerGram			
MBN_mg_gds	Microbial biomass N in dry soil	numeric	milligramsPerGram			
MBCtoN	Microbial biomass C to N ratio	numeric	dimensionless			
log10MBC_mg_gdw	Log10 microbial biomass C	numeric	dimensionless			
Fungal_presence	Clear fungal presence (e.g. mycelium) observed at end of incubation destructive sampling.	categorical				
