attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Date	Date of sample	Date		MM/DD/YYYY	NA	Missing value
Time	Time of sample in pacific standard time	Date		hhmm	NA	Missing value
Station	Station number	character			NA	Missing value
StationID	Light channel marker number or reference area	character			NA	Missing value
WTSurface	Water temperature 1-meter below water surface	numeric	celsius		NA	Missing value
WTBottom	Water temperature 1-meter above bottom of channel	numeric	celsius		NA	Missing value
DOSurface	Dissolved oxygen concentration 1-meter below water surface	numeric	milligramsPerLiter		NA	Missing value
DOBottom	Dissolved oxygen concentration 1-meter above bottom of channel	numeric	milligramsPerLiter		NA	Missing value
Objective	Water quality objective for dissolved oxygen along San Joaquin River	numeric	milligramsPerLiter		NA	Missing value
SpCndSurface	Specific conductivity of water 1-below water surface	numeric	microSeimenPerCentimeter		NA	Missing value
SpCndBottom	Specific conductivity 1-meter above bottom of channel	numeric	microSeimenPerCentimeter		NA	Missing value
pHSurface	Total pH 1-meter below water surface	numeric	dimensionless		NA	Missing value
pHBottom	Total pH 1-meter above bottom of channel	numeric	dimensionless		NA	Missing value
Flourescence_Turner	"Absorbed light in water, related to chlorophyll a concentrations"	numeric	microgramsPerLiter		NA	Missing value
Flourescence_YSI	"Absorbed light in water, related to chlorophyll a concentrations"	numeric	microgramsPerLiter		NA	Missing value
Nephelometry_Turner	Turbidity of water	numeric	nephelometricTurbidityUnit		NA	Missing value
Turbidity_YSI	Turbidity of water	numeric	nephelometricTurbidityUnit		NA	Missing value
Secchi	Secchi depth	numeric	centimeter		NA	Missing value
Microcystis	Visual observation rating of Microcystis	categorical			NA	Missing value
