attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
time	Date the sample was taken	Date		YYYY-MM-DD		
FLOW	Stream flow	numeric	cubicMetersPerSecond			
SALT	Stream salinity	numeric	milligramsPerLiter			
TEMP	Water temperature	numeric	celsius			
PHS_frp	Filterable reactive phosphorus concentration	numeric	millimolesPerMeterCubed			
PHS_frp_ads	"Filtered reactive phosphorus, absorbed"	numeric	millimolesPerMeterCubed			
OGM_dop	Dissolved organic phosphorus	numeric	millimolesPerMeterCubed			
OGM_pop	Particulate organic phosphorus	numeric	millimolesPerMeterCubed			
OGM_don	Dissolved organic nitrogen concentration	numeric	millimolesPerMeterCubed			
NIT_amm	Ammonium concentration	numeric	millimolesPerMeterCubed			
NIT_nit	Nitrate concentration	numeric	millimolesPerMeterCubed			
OGM_docr	Recalcitrant dissolved organic carbon concentration	numeric	millimolesPerMeterCubed			
CAR_dic	Dissolved inorganic carbon concentration	numeric	millimolesPerMeterCubed			
CAR_pH	pH	numeric	dimensionless			
SIL_rsi	Soluble reactive silica	numeric	millimolesPerMeterCubed			
