attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
TYPE	Designation of resin tube placement in either open conditions or under trees	categorical			-99999	Missing value
TUBE	5 replicates	character			-99999	Missing value
BATCH	Each season represents a batch	character			-99999	Missing value
SEASON	Tubes are replaced in the field in May and October every year yielding growing season deposition and winter deposition	categorical			-99999	Missing value
START	Date of tube deployment	Date		MM/DD/YYYY	-99999	Missing value
END	Date of tube collection	Date		MM/DD/YYYY	-99999	Missing value
DAYS	Days in field	numeric	dimensionless		-99999	Missing value
DAILYNH4NDEP	Ammonium deposition per meter squared per day	numeric	milligramsPerMeterSquaredPerDay		-99999	Missing value
DAILYNO3NDEP	Nitrate deposition per meter squared per day	numeric	milligramsPerMeterSquaredPerDay		-99999	Missing value
DAILYDINDEP	Total inorganic nitrogen deposition per meter squared per day	numeric	milligramsPerMeterSquaredPerDay		-99999	Missing value
