attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
NTRTB	Field experimental N treatments were made with 8 applications per plot per year between mid-May and mid-August of each year	categorical			-99999	Missing value
ARM	Experimental plots were located along 3 arms; each arm had one replicate each of 8 N treatments	categorical			-99999	Missing value
PLOTB	Each treatment plot has its own designation 1-21	character			-99999	Missing value
REP_WITHIN_PLOT	Sample taken in plot	character			-99999	Missing value
CORE	Each sample has its own designation 1-42	character			-99999	Missing value
DEPTHB	How deep samples were taken	categorical			-99999	Missing value
MASS	Mass of roots in core	numeric	gramsDryMassPerSquareMeterPer15cmDepthInterval		-99999	Missing value
NTRT	Field experimental N treatments were made with 8 applications per plot per year between mid-May and midiAugust of each year	categorical			-99999	Missing value
DEPTH	From where samples were taken	categorical			-99999	Missing value
YEAR	Year of collection: 2014 or 2015	Date		YYYY	-99999	Missing value
PLOT	Each treatment plot has its own designation 1-21	character			-99999	Missing value
ANNPROD	Annual root production as measured in grams of roots	numeric	gramsDryMassPerSquareMeterPerYearPer15cmDepthInterval		-99999	Missing value
