attributeName	code	definition
NTRTB	C	"Control, no water, no N added"
NTRTB	0	0 kg N/ha/yr added as NH4NO3
NTRTB	5	5 kg N/ha/yr added as NH4NO3
NTRTB	10	10 kg N/ha/yr added as NH4NO3
NTRTB	15	15 kg N/ha/yr added as NH4NO3
NTRTB	20	20 kg N/ha/yr added as NH4NO3
NTRTB	25	25 kg N/ha/yr added as NH4NO3
ARM	1	Arm 1
ARM	2	Arm 2
ARM	3	Arm 3
DEPTHB	0-15	0-15 cm
DEPTHB	15-30	15-30 cm
NTRT	C	"Control, no water, no N added"
NTRT	0	0 kg N/ha/yr added as NH4NO3
NTRT	5	5 kg N/ha/yr added as NH4NO3
NTRT	10	10 kg N/ha/yr added as NH4NO3
NTRT	15	15 kg N/ha/yr added as NH4NO3
NTRT	20	20 kg N/ha/yr added as NH4NO3
NTRT	25	25 kg N/ha/yr added as NH4NO3
DEPTH	0-15	0-15 cm
DEPTH	15-30	15-30 cm
