attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
ABLA	ABRONIA LATIFOLIA - YELLOW SAND VERBENA	numeric	pct areal cover		NaN	Missing or unreadable observation
ABUM	ABRONIA UMBELLATA - PINK SAND VERBENA	numeric	pct areal cover		NaN	Missing or unreadable observation
ACMI	ACHILLEA MILLEFOLIUM - YARROW	numeric	pct areal cover		NaN	Missing or unreadable observation
AICA	AIRA CARYOPHYLLEA - SILVER HAIRGRASS	numeric	pct areal cover		NaN	Missing or unreadable observation
AIPR	AIRA PRAECOX - YELLOW HAIRGRASS	numeric	pct areal cover		NaN	Missing or unreadable observation
ALRU	ALNUS RUBRA - RED ALDER	numeric	pct areal cover		NaN	Missing or unreadable observation
AMAR_D	AMMOPHILA ARENARIA PERCENT DEAD COVER	numeric	pct areal cover		NaN	Missing or unreadable observation
AMAR_L	AMMOPHILA ARENARIA PERCENT LIVE COVER	numeric	pct areal cover		NaN	Missing or unreadable observation
AMAR_STEM_D	AMMOPHILA ARENARIA DEAD STEM COUNT	numeric	tillers per 0.25 squareMeter		NaN	Missing or unreadable observation
AMAR_STEM_L	AMMOPHILA ARENARIA LIVE STEM COUNT	numeric	tillers per 0.25 squareMeter		NaN	Missing or unreadable observation
AMBR_D	AMMOPHILA BREVILIGULATA PERCENT DEAD COVER	numeric	pct areal cover		NaN	Missing or unreadable observation
AMBR_L	AMMOPHILA BREVILIGULATA PERCENT LIVE COVER	numeric	pct areal cover		NaN	Missing or unreadable observation
AMBR_STEM_D	AMMOPHILA BREVILIGULATA DEAD STEM COUNT	numeric	tillers per 0.25 squareMeter		NaN	Missing or unreadable observation
AMBR_STEM_L	AMMOPHILA BREVILIGULATA LIVE STEM COUNT	numeric	tillers per 0.25 squareMeter		NaN	Missing or unreadable observation
AMCH	AMBROSIA CHAMISSONIS - SILVER BEACHWEED	numeric	pct areal cover		NaN	Missing or unreadable observation
ANGE	ANGELICA GENUFLEXA - KNEELING ANGELICA	numeric	pct areal cover		NaN	Missing or unreadable observation
ANLU	ANGELICA LUCIDA - SEA-COAST ANGELICA	numeric	pct areal cover		NaN	Missing or unreadable observation
ANMA	ANAPHALIS MARGARITACEA - WESTERN PEARLY EVERLASTING	numeric	pct areal cover		NaN	Missing or unreadable observation
ANOD	ANTHOXANTHUM ODORATUM	numeric	pct areal cover		NaN	Missing or unreadable observation
ARPY	ARTEMISIA PYCNOCEPHALA - BEACH SAGEWORT	numeric	pct areal cover		NaN	Missing or unreadable observation
ARUV	ARCTOSTAPHYLOS UVA-URSI - KINNIKINNICK	numeric	pct areal cover		NaN	Missing or unreadable observation
ASSU	ASTER SUBSPICATUS - DOUGLAS' ASTER	numeric	pct areal cover		NaN	Missing or unreadable observation
BAPI	BACCHARIS PILULARIS - COYOTEBRUSH	numeric	pct areal cover		NaN	Missing or unreadable observation
