attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
sh	sample ID	character				
taxonomy	Complete taxonomic identification as assigned by BLAST and the UNITE fungal database v 7.0	character				
OTU_ID	Operational taxonomic unit unique identifier	character				
Phylum	Phylum of corresponding OUT.ID as assigned by BLAST and the UNITE fungal database v 7.0	character				
Class	Class of corresponding OUT.ID as assigned by BLAST and the UNITE fungal database v 7.0	character				
Order	Order of corresponding OUT.ID as assigned by BLAST and the UNITE fungal database v 7.0	character				
Family	Family of corresponding OUT.ID as assigned by BLAST and the UNITE fungal database v 7.0	character				
Genus	Genus of corresponding OUT.ID as assigned by BLAST and the UNITE fungal database v 7.0	character				
Species	Species of corresponding OUT.ID as assigned by BLAST and the UNITE fungal database v 7.0	character				
CC78	results for taxonomic group	numeric	dimensionless			
KZ16	results for taxonomic group	numeric	dimensionless			
KZ22	results for taxonomic group	numeric	dimensionless			
KZ40	results for taxonomic group	numeric	dimensionless			
KZ48	results for taxonomic group	numeric	dimensionless			
CC81	results for taxonomic group	numeric	dimensionless			
CC63	results for taxonomic group	numeric	dimensionless			
HP6	results for taxonomic group	numeric	dimensionless			
KZ39	results for taxonomic group	numeric	dimensionless			
KZ12	results for taxonomic group	numeric	dimensionless			
KZ9	results for taxonomic group	numeric	dimensionless			
KZ43	results for taxonomic group	numeric	dimensionless			
KZ42	results for taxonomic group	numeric	dimensionless			
KZ20	results for taxonomic group	numeric	dimensionless			
KZ10	results for taxonomic group	numeric	dimensionless			
KZ26	results for taxonomic group	numeric	dimensionless			
HP20	results for taxonomic group	numeric	dimensionless			
KZ27	results for taxonomic group	numeric	dimensionless			
KZ1	results for taxonomic group	numeric	dimensionless			
KZ29	results for taxonomic group	numeric	dimensionless			
KZ34	results for taxonomic group	numeric	dimensionless			
KZ24	results for taxonomic group	numeric	dimensionless			
KZ46	results for taxonomic group	numeric	dimensionless			
KZ25	results for taxonomic group	numeric	dimensionless			
CC203	results for taxonomic group	numeric	dimensionless			
KZ13	results for taxonomic group	numeric	dimensionless			
KZ6	results for taxonomic group	numeric	dimensionless			
HP19	results for taxonomic group	numeric	dimensionless			
KZ21	results for taxonomic group	numeric	dimensionless			
HP38	results for taxonomic group	numeric	dimensionless			
IA18	results for taxonomic group	numeric	dimensionless			
CC45	results for taxonomic group	numeric	dimensionless			
KZ30	results for taxonomic group	numeric	dimensionless			
HP44	results for taxonomic group	numeric	dimensionless			
KZ15	results for taxonomic group	numeric	dimensionless			
KZ8	results for taxonomic group	numeric	dimensionless			
KZ31	results for taxonomic group	numeric	dimensionless			
KZ11	results for taxonomic group	numeric	dimensionless			
KZ23	results for taxonomic group	numeric	dimensionless			
KZ7	results for taxonomic group	numeric	dimensionless			
KZ28	results for taxonomic group	numeric	dimensionless			
KZ32	results for taxonomic group	numeric	dimensionless			
CC273	results for taxonomic group	numeric	dimensionless			
KZ41	results for taxonomic group	numeric	dimensionless			
KZ3	results for taxonomic group	numeric	dimensionless			
IA17	results for taxonomic group	numeric	dimensionless			
KZ33	results for taxonomic group	numeric	dimensionless			
IA20	results for taxonomic group	numeric	dimensionless			
KZ45	results for taxonomic group	numeric	dimensionless			
KZ5	results for taxonomic group	numeric	dimensionless			
HP39	results for taxonomic group	numeric	dimensionless			
