attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
sample_id	Unique ID for each leaf collected for sequencing	character				
State	State in which site occurs	categorical				
site_name	Name of the site where data are collected	categorical				
Site	Code for the site where data are collected	categorical				
Block	Experimental block	character				
plot	Identifier for 5x5 m experimental unit	character				
Plant	Plant that was sampled (nested) in each plot  	character				
fert	Fertilized or unfertilized 	categorical				
exclose	Fenced or unfenced	categorical				
ens_pie_lg	"Fungal effective number of species based on Simpson Diversity, log10 transformed"	numeric	number			
ens_plant_lg	"Plant effective number of species based on Simpson Diversity, log10 transformed"	numeric	dimensionless			
total_mass_lg	"Total aboveground plant mass, log10 transformed"	numeric	gramsPerMeterSquare			
prop_live	Proportion of total mass composed of live plants	numeric	dimensionless			
prop_grass	Proportion of total mass composed of live grass	numeric	dimensionless			
andger_cover	"Percent cover of Andropogon gerardii , the focal host plant"	numeric	dimensionless			
value_denovo58	Number of reads of a specific OTU XXX	numeric	number			
value_denovo56	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1174	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1519	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2442	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1192	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1193	Number of reads of a specific OTU XXX	numeric	number			
value_denovo433	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2084	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2080	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1874	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2151	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2422	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2420	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2426	Number of reads of a specific OTU XXX	numeric	number			
value_denovo2429	Number of reads of a specific OTU XXX	numeric	number			
value_denovo1439	Number of reads of a specific OTU XXX	numeric	number			
value_denovo194	Number of reads of a specific OTU XXX	numeric	number			
value_denovo196	Number of reads of a specific OTU XXX	numeric	number			
