attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Lake	This column describes which lake the data in the row represents	character			NA	Not Available
Latitude_Direction	Latitude direction of the lake	character			NA	Not Available
Latitude_Degrees	Latitude partial coordinates	numeric	dimensionless		NA	Not Available
Latitude_Minutes	Latitude partial coordinates	numeric	dimensionless		NA	Not Available
Latitude_Seconds	Latitude partial coordinates	numeric	dimensionless		NA	Not Available
Longitude_Direction	Longitude direction of the lake	character			NA	Not Available
Longitude_Degrees	Longitude partial coordinates	numeric	dimensionless		NA	Not Available
Longitude_Minutes	Longitude partial coordinates	numeric	dimensionless		NA	Not Available
Longitude_Seconds	Longitude partial coordinates	numeric	dimensionless		NA	Not Available
Sampling_Month	Month during which sampling took place	character			NA	Not Available
Sampling_Year	Year during which sampling took place	Date		YYYY	NA	Not Available
Depth	Depth (from the surface) at which samples were collected	numeric	meter		NA	Not Available
Oxygen	Dissolved oxygen	numeric	microMolar		NA	Not Available
Chlorophyll_a	Concentration of chlorophyll a at depth	numeric	microgramsPerLiter		NA	Not Available
Dissolved_Iron	Concentration of dissolved iron at depth	numeric	microMolar		NA	Not Available
Dissolved_Manganese	Concentration of dissolved manganese at depth	numeric	microMolar		NA	Not Available
Sulfate	Concentration of sulfate at depth	numeric	microMolar		NA	Not Available
Nitrate	Concentration of nitrate at depth	numeric	microMolar		NA	Not Available
Dissolved_Methane	Concentration of dissolved methane at depth	numeric	microMolar		NA	Not Available
13_Carbon_Isotope_Dissolved_Methane	13C isotope signature of methane in the water column at depth	numeric	perMill		NA	Not Available
DIC	Concentration of Dissolved Inorganic Carbon at depth	numeric	microMolar		NA	Not Available
13_Carbon_Isotope_DIC	13C isotope signature of Dissolved Inorganic Carbon in the water column at depth	numeric	perMill		NA	Not Available
Euryarchaeota_Relative_Abundance	Relative abundance of the phylum Euryarchaeota at depth	numeric	percent		NA	Not Available
Bathyarchaeota_Relative_Abundance	Relative abundance of the phylum Bathyarchaeota at depth	numeric	percent		NA	Not Available
Gammaproteobacteria_Relative_Abundance	Relative abundance of the class Gammaproteobacteria at depth	numeric	percent		NA	Not Available
Alphaproteobacteria_Relative_Abundance	Relative abundance of the class Alphaproteobacteria at depth	numeric	percent		NA	Not Available
Methylacidiphilaceae_Relative_Abundance	Relative abundance of the family Methylacidiphilaceae at depth	numeric	percent		NA	Not Available
