"name","type","lsa_ha","ca_ha","region","dataset"
"Arrowhead Lake","Borrow",15,60,NA,"Iowa"
"Little Sioux Park Lake ","Borrow",5,5,NA,"Iowa"
"Meyers Lake","Borrow",11,571,NA,"Iowa"
"Mitchell Lake","Borrow",19,21,NA,"Iowa"
"Beeds Lake","Impoundment",36,7675,NA,"Iowa"
"Bob White Lake","Impoundment",39,1420,NA,"Iowa"
"Brushy Creek Lake","Impoundment",279,22808,NA,"Iowa"
"Crawford Creek Impoundment","Impoundment",25,958,NA,"Iowa"
"Diamond Lake","Impoundment",40,1104,NA,"Iowa"
"Don Williams Lake","Impoundment",63,7846,NA,"Iowa"
"East Lake (Osceola)","Impoundment",6,100,NA,"Iowa"
"Eldred Sherwood Lake","Impoundment",9,778,NA,"Iowa"
"Hannen Lake","Impoundment",15,235,NA,"Iowa"
"Hickory Grove Lake","Impoundment",41,1611,NA,"Iowa"
"Lake Ahquabi","Impoundment",50,1344,NA,"Iowa"
"Lake Keomah","Impoundment",32,859,NA,"Iowa"
"Lake Macbride","Impoundment",360,6558,NA,"Iowa"
"Lake Orient","Impoundment",11,203,NA,"Iowa"
"Littlefield Lake ","Impoundment",22,1085,NA,"Iowa"
"Lower Pine Lake","Impoundment",25,339,NA,"Iowa"
"Moorehead Park Pond","Impoundment",4,199,NA,"Iowa"
"Mormon Trail Lake","Impoundment",13,158,NA,"Iowa"
"Nine Eagles Lake","Impoundment",25,482,NA,"Iowa"
"Oldham Lake","Impoundment",6,279,NA,"Iowa"
"Pleasant Creek Lake","Impoundment",162,841,NA,"Iowa"
"Poll Miller Park Lake","Impoundment",7,93,NA,"Iowa"
"Rathbun Impoundment","Impoundment",4452,142190,NA,"Iowa"
"Red Haw Lake","Impoundment",31,412,NA,"Iowa"
"Rock Creek Lake","Impoundment",180,10813,NA,"Iowa"
"Slip Bluff Lake","Impoundment",8,93,NA,"Iowa"
"Spring Lake","Impoundment",22,146,NA,"Iowa"
"Springbrook Lake","Impoundment",6,502,NA,"Iowa"
"Swan Lake","Impoundment",49,277,NA,"Iowa"
"Union Grove Lake","Impoundment",39,2687,NA,"Iowa"
"Upper Pine Lake  ","Impoundment",30,3364,NA,"Iowa"
"Viking Lake ","Impoundment",55,858,NA,"Iowa"
"Willow Lake","Impoundment",11,194,NA,"Iowa"
"Arbor Lake ","Impoundment",5,396,NA,"Iowa"
"Arrowhead Pond","Impoundment",6,419,NA,"Iowa"
"Badger Creek Lake","Impoundment",112,4714,NA,"Iowa"
"Badger Lake","Impoundment",21,3501,NA,"Iowa"
"Beaver Lake","Impoundment",12,415,NA,"Iowa"
"Big Creek Lake","Impoundment",315,19638,NA,"Iowa"
"Briggs Woods Lake","Impoundment",25,2723,NA,"Iowa"
"Casey Lake","Impoundment",15,299,NA,"Iowa"
"Central Park Lake","Impoundment",10,147.7,NA,"Iowa"
"Cold Springs Lake","Impoundment",6,4,NA,"Iowa"
"Coralville Impoundment","Impoundment",2136.74,798752,NA,"Iowa"
"Dog Creek Lake","Impoundment",15,1160,NA,"Iowa"
"Easter Lake","Impoundment",73,2582,NA,"Iowa"
"Fogle Lake","Impoundment",16,223,NA,"Iowa"
"George Wyth Lake","Impoundment",30,263,NA,"Iowa"
"Green Castle Lake","Impoundment",7,111,NA,"Iowa"
"Green Valley Lake","Impoundment",156,2004,NA,"Iowa"
"Greenfield Lake","Impoundment",22,388,NA,"Iowa"
"Hawthorn Lake","Impoundment",73,1256,NA,"Iowa"
"Hooper Area Pond","Impoundment",14,571,NA,"Iowa"
"Indian Lake","Impoundment",22,150,NA,"Iowa"
"Kent Park Lake","Impoundment",11,271,NA,"Iowa"
"Lacey Keosauqua Park Lake","Impoundment",8,293,NA,"Iowa"
"Lake Anita","Impoundment",64,978,NA,"Iowa"
"Lake Darling","Impoundment",115,4929,NA,"Iowa"
"Lake Geode","Impoundment",70,3994,NA,"Iowa"
"Lake Hendricks","Impoundment",20,454,NA,"Iowa"
"Lake Icaria","Impoundment",262,6795,NA,"Iowa"
"Lake Iowa","Impoundment",34,539,NA,"Iowa"
"Lake Meyer","Impoundment",13,626,NA,"Iowa"
"Lake Miami","Impoundment",55,1578,NA,"Iowa"
"Lake of the Hills","Impoundment",22,633,NA,"Iowa"
"Lake of Three Fires","Impoundment",39,1466,NA,"Iowa"
"Lake Pahoja","Impoundment",26,2137,NA,"Iowa"
"Lake Smith","Impoundment",23,446,NA,"Iowa"
"Lake Sugema","Impoundment",234,4574,NA,"Iowa"
"Lake Wapello","Impoundment",116,2003,NA,"Iowa"
"Little River Watershed Lake","Impoundment",301,4891,NA,"Iowa"
"Manteno Park Pond","Impoundment",6,917,NA,"Iowa"
"Mariposa Lake","Impoundment",7,233,NA,"Iowa"
"Meadow Lake ","Impoundment",15,317,NA,"Iowa"
"Mill Creek Lake","Impoundment",10,1456,NA,"Iowa"
"Nelson Park Lake","Impoundment",5,233,NA,"Iowa"
