attributeName	code	definition
lake	AntuSinijarv	Lake AntuSinijarv
lake	Erastvere	Lake Erastvere
lake	MullutuSuurlaht	Lake MullutuSuurlaht
lake	Peipsi	Lake Peipsi
lake	Saadjarv	Lake Saadjarv
lake	Ulemiste	Lake Ulemiste
lake	ValgutaMusjarv	Lake ValgutaMusjarv
lake	Vortsjarv	Lake Vortsjarv
variable	co2_uatm	Carbon dioxide partial pressure at depth
variable	co2_water	Dissolved carbon dioxide concentration at depth
variable	temp	Water temperature at depth
variable	do_sat	Dissolved oxygen saturation at depth
variable	do	Dissolved oxygen at depth
variable	sal	Water salinity at depth
variable	ph	Decimal logarithm of the reciprocal of the hydrogen ion activity at depth
unit	microAtmosphere	Microatmosphere
unit	milligramsPerLiter	Milligrams per liter
unit	celsius	Celsius
unit	percent	Percent
unit	partsPerThousand	Parts per thousand
unit	dimensionless	Dimensionless pH unit
