attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Station	Station number	character				
StationID	Light channel marker number or reference area	character				
Date	Date of sample	Date		YYYY-MM-DD		
Time	Time of sample in pacific standard time	Date		hh:mm		
SampleDescription	Description of the sample collected	character				
FieldNotes	Field notes recorded during sampling	character				
Weather	Weather observations recorded during sampling	character				
NorthLat	North latitude coordinate of entrapment zone station 	numeric	degree		N/A	Missing value
WestLong	West longitude coordinate of entrapment zone station	numeric	degree		N/A	Missing value
Chla	Chlorophyll a 1-meter below water surface	numeric	microgramsPerLiter		N/A	Missing value
Pheophytin	Pheophytin a 1-meter below water surface	numeric	microgramsPerLiter		N/A	Missing value
DissAmmonia	Dissolved ammonia 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
DissCalcium	Dissolved calcium 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
DissChloride	Dissolved chloride 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
DissNitrateNitrite	Dissolved nitrate + nitrite 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
DOC	Dissolved organic carbon 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
TOC	Total organic carbon 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
DON	Dissovled organic nitrogen 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
DissOrthoPhos	Dissolved ortho-phosphate 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
TotPhos	Total Phosphorus 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
DissSilica	Dissolved Silica (SiO2) 1-meter below water surface 	numeric	milligramsPerLiter		N/A	Missing value
TDS	Total dissolved solids 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
TSS	Total suspended solids 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
VSS	Volatile suspended solids 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
TKN	Total Kjeldahl nitrogen 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
Depth	Water depth of station	numeric	foot		N/A	Missing value
Secchi	Secchi depth	numeric	centimeter		N/A	Missing value
Microcystis	"Visual observation rating of Microcystis aeruginosa, with 1 meaning absent, 2 low, 3 medium, high 4, and 5 very high"	numeric	dimensionless		N/A	Missing value
SpCndSurface	Specific conductance of water 1-meter below water surface	numeric	microSeimenPerCentimeter		N/A	Missing value
FluorescenceSurface	"Absorbed light in water 1-meter below water surface, related to chlorophyll a concentration"	numeric	microgramsPerLiter		N/A	Missing value
DOSurface	Dissolved oxygen concentration 1-meter below water surface	numeric	milligramsPerLiter		N/A	Missing value
WTSurface	Water temperature 1-meter below water surface	numeric	celsius		N/A	Missing value
TurbiditySurface	Turbidity of water 1-meter below water surface in Nephelometric Turbidity Units (NTU)	numeric	dimensionless		N/A	Missing value
pHSurface	Total pH 1-meter below water surface	numeric	dimensionless		N/A	Missing value
SpCndBottom	Specific conductivity 1-meter above bottom of channel	numeric	microSeimenPerCentimeter		N/A	Missing value
FluorescenceBottom	"Absorbed light in water 1-meter above bottom of channel, related to chlorophyll a concentration"	numeric	microgramsPerLiter		N/A	Missing value
DOBottom	Dissolved oxygen concentration 1-meter above bottom of channel	numeric	milligramsPerLiter		N/A	Missing value
WTBottom	Water temperature 1-meter above bottom of channel	numeric	celsius		N/A	Missing value
TurbidityBottom	Turbidity of water 1-meter above bottom of channel in Nephelometric Turbidity Units (NTU)	numeric	dimensionless		N/A	Missing value
pHBottom	Total pH 1-meter above bottom of channel	numeric	dimensionless		N/A	Missing value
