attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
SPECIES	"Three species were analyzed: Sphagnum fuscum, Sphagnum angustifolium, Sphagnum magellanicum"	categorical			-99999	Missing value
YEAR	Year of growth: 2011-2015	Date		YYYY	-99999	Missing value
NTRT	Field experimental N treatments were made with 8 applications per plot per year between mid May and mid August of each year	categorical			-99999	Missing value
NDEP	Total N added to each of the N treatments including background N deposition (2 kg N/ha/yr in precipitation) and 1.1 kg N/ha/yr in stock water used for fertilization	categorical			-99999	Missing value
PLOTID	Each plot of the experiment has a designated identification letter	categorical			-99999	Missing value
ARM	Experimental plots were located along 3 arms; each arm had one replicate each of 8 N treatments	categorical			-99999	Missing value
CRANKWIRE MEANS	Mean of all Crank Wire lengths (growth of moss) in cm	numeric	centimeter		-99999	Missing value
STEM MASS DENSITY	Mass of 1-cm lengths of Sphagnum stems beneath the capitula per m2	numeric	gramsPerSquareMeter		-99999	Missing value
PLANT DENSITY	Number of plants/area	numeric	numberPerMeterSquared		-99999	Missing value
NET PRIMARY PRODUCTION	The product of moss linear growth of stems (cm yr-1) and stem mass density (SMD)	numeric	gramsPerMeterSquaredPerYear		-99999	Missing value
STEM N CONCENTRATION	N concentration in the 0-2 cm stem sections	numeric	milligramsPerGram		-99999	Missing value
NUPTAKE	Amount of N used and stored per area of moss cover per year	numeric	gramsPerMeterSquaredPerYear		-99999	Missing value
