YEAR,COLLECTION_DATE,COLLECTION,NTRT,NDEP,ARM,PLOTID,DEPTH_INTERVAL_AT_TOP_OF_THE_WATER_TABLE,NO3N_CONCENTRATION,NH4N_CONCENTRATION,DISSOLVED_INORGANIC_N_CONCENTRATION,DISSOLVED_ORGANIC_N_CONCENTRATION
2011,2011-05-31,1,C,2,1,1,0-20,0.636,1.68,2.32,1.59
2011,2011-05-31,1,0,3.1,1,2,20-40,0.524,1.5,2.02,1.66
2011,2011-05-31,1,5,8.1,1,3,0-20,0.611,1.39,2,1.55
2011,2011-05-31,1,10,13.1,1,4,0-20,0.51,1.35,1.86,1.64
2011,2011-05-31,1,15,18.1,1,5,0-20,0.493,1.3,1.79,1.58
2011,2011-05-31,1,20,23.1,1,6,0-20,0.688,1.35,2.04,1.82
2011,2011-05-31,1,25,28.1,1,7,0-20,0.34,0.94,1.28,1.01
2011,2011-05-31,1,C,2,2,8,20-40,0.51,1.58,2.09,2.01
2011,2011-05-31,1,0,3.1,2,9,20-40,0.475,1.42,1.89,1.75
2011,2011-05-31,1,5,8.1,2,10,0-20,0.501,1.59,2.09,1.47
2011,2011-05-31,1,10,13.1,2,11,0-20,0.394,1.27,1.67,1.56
2011,2011-05-31,1,15,18.1,2,12,0-20,0.404,1.22,1.63,1.08
2011,2011-05-31,1,20,23.1,2,13,0-20,0.597,1.35,1.95,1.03
2011,2011-05-31,1,25,28.1,2,14,0-20,0.473,1.3,1.77,1.03
2011,2011-05-31,1,C,2,3,15,0-20,0.685,1.44,2.12,1.29
2011,2011-05-31,1,0,3.1,3,16,0-20,0.72,1.45,2.17,1.18
2011,2011-05-31,1,5,8.1,3,17,0-20,0.753,1.76,2.51,1.31
2011,2011-05-31,1,10,13.1,3,18,0-20,0.697,1.51,2.2,1.86
2011,2011-05-31,1,15,18.1,3,19,0-20,0.85,1.83,2.68,1.9
2011,2011-05-31,1,20,23.1,3,20,0-20,0.734,1.59,2.32,2.01
2011,2011-05-31,1,25,28.1,3,21,0-20,0.896,1.85,2.74,2
2011,2011-06-01,2,C,2,1,1,0-20,0.213,1.12,1.33,1.11
2011,2011-06-01,2,0,3.1,1,2,20-40,0.271,1.06,1.33,1.05
2011,2011-06-01,2,5,8.1,1,3,0-20,0.313,1.45,1.76,1.44
2011,2011-06-01,2,10,13.1,1,4,0-20,0.254,1.13,1.39,1.1
2011,2011-06-01,2,15,18.1,1,5,0-20,0.296,0.98,1.28,0.62
