attributeName	code	definition
StationCode	809	
StationCode	812	
StationCode	815	
StationCode	902	
StationCode	906	
StationCode	910	
StationCode	912	
StationCode	914	
StationCode	915	
StationCode	919	
StationCode	920	
StationCode	340	
StationCode	405	
StationCode	411	
StationCode	418	
StationCode	501	
StationCode	602	
StationCode	606	
StationCode	609	
StationCode	610	
StationCode	706	
StationCode	707	
StationCode	504	
StationCode	508	
StationCode	513	
StationCode	519	
StationCode	520	
StationCode	704	
StationCode	801	
StationCode	804	
StationCode	711	
StationCode	712	
StationCode	713	
StationCode	715	
StationCode	716	
StationCode	921	
StationCode	922	
StationCode	923	
StationCode	725	
StationCode	799	
StationCode	699	
StationCode	999	
StationCode	899	
StationCode	719	
StationCode	724	
StationCode	608	
StationCode	342	
StationCode	343	
StationCode	344	
StationCode	345	
StationCode	346	
StationCode	705	
StationCode	814	
StationCode	507	
StationCode	510	
StationCode	511	
StationCode	512	
StationCode	515	
StationCode	516	
StationCode	517	
StationCode	518	
StationCode	701	
StationCode	703	
StationCode	708	
StationCode	709	
StationCode	710	
StationCode	807	
StationCode	808	
StationCode	908	
StationCode	909	
StationCode	911	
StationCode	913	
StationCode	323	
StationCode	328	
StationCode	329	
StationCode	334	
StationCode	335	
StationCode	336	
TideCode	4	
TideCode	2	
TideCode	1	
TideCode	3	
TideCode	0	
TideCode	NA	
