attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Int1_Site	Sites where aerobic incubators were placed during the first sampling interval (December 1998 – March 1999)	character				
Int1_rep	Replicates within site	character				
Int1_NO3_DWsoil	"Net rate of nitrate mineralization, i.e., microgrammes of nitrate (NO3-) produced during the first sampling interval, per gramme of dry soil per day (negative values indicate net consumption)"	numeric	microgramPerGramPerDay		NA	not available
Int1_NH4_DWsoil	"Net rate of ammonium mineralization, i.e., microgrammes of ammonium (NH4+) produced during the first sampling interval, per gramme of dry soil per day (negative values indicate net consumption)"	numeric	microgramPerGramPerDay		NA	not available
Int1_N_DWsoil	"Net rate of soil nitrogen mineralization, i.e., microgrammes of nitrogen (NO3- and NH4+) produced during the first sampling interval, per gramme of dry soil per day (negative values indicate net consumption)"	numeric	microgramPerGramPerDay		NA	not available
Int1_NO3_AFDWsoil	"Net rate of nitrate mineralization, i.e., microgrammes of nitrate (NO3-) produced during the first sampling interval, per gramme of ash free dry soil per day (negative values indicate net consumption)"	numeric	microgramPerGramPerDay		NA	not available
Int1_NH4_AFDWsoil	"Net rate of ammonium mineralization, i.e., microgrammes of ammonium (NH4+) produced during the first sampling interval, per gramme of ash free dry soil per day(negative values indicate net consumption)"	numeric	microgramPerGramPerDay		NA	not available
Int1_N_AFDWsoil	"Net rate of soil nitrogen mineralization, i.e., microgrammes of nitrogen (NO3- and NH4+) produced during the first sampling interval, per gramme of ash free dry soil per day (negative values indicate net consumption)"	numeric	microgramPerGramPerDay		NA	not available
Int2_Site	Sites where aerobic incubators were placed during the first sampling interval (March 1999 – May 1999)	character				
Int2_rep	Replicates within site	character				
Int2_NO3_DWsoil	"Net rate of nitrate mineralization, i.e., microgrammes of nitrate (NO3-) produced during the first sampling interval, per gramme of dry soil per day (negative values indicate net consumption)"	numeric	microgramPerGramPerDay		NA	not available
Int2_NH4_DWsoil	"Net rate of ammonium mineralization, i.e., microgrammes of ammonium (NH4+) produced during the first sampling interval, per gramme of dry soil per day (negative values indicate net consumption)"	numeric	microgramPerGramPerDay		NA	not available
