geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
Decker Island	38.105872	38.105872	-121.70638	-121.70638
SW Suisun Marsh	38.192684	38.192684	-121.912312	-121.912312
Grizzly Bay	38.11572	38.11572	-122.030558	-122.030558
Prospect	38.213087	38.213087	-121.667419	-121.667419
SJ River	38.053097	38.053097	-121.842422	-121.842422
Wildlands	38.316412	38.316412	-121.693077	-121.693077
North Delta	38.184603	38.184603	-121.661433	-121.661433
Honker Bay/Chipps Island	38.109048	38.109048	-121.708086	-121.708086
Twitchell Island	38.096002	38.096002	-121.674498	-121.674498
Sherman Island	38.034339	38.034339	-121.761946	-121.761946
