geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
ANTIOCH (USBR)	38.017817	38.017817	-121.802965	-121.802965
SAN JOAQUIN RIVER AT ANTIOCH	38.0178299	38.0178299	-121.8029633	-121.8029633
BACON ISLAND AT OLD RIVER	37.96934509	37.96934509	-121.5721741	-121.5721741
BELDON LANDING	38.1869	38.1869	-121.9708	-121.9708
SAN JOAQUIN R AT BRANDT BRIDGE	37.865	37.865	-121.3231	-121.3231
BETHEL ISLAND AT PIPER SLOUGH	38.04109192	38.04109192	-121.6321869	-121.6321869
MIDDLE R AT BACON ISLAND RD	37.943056	37.943056	-121.53389	-121.53389
BARKER SLOUGH PUMPING PLANT (KG000000)	38.2759	38.2759	-121.7965	-121.7965
BLACKLOCK (NE1)	38.1801	38.1801	-121.9069	-121.9069
SAN JOAQUIN RIVER AT BLIND POINT	38.03245163	38.03245163	-121.7190399	-121.7190399
CACHE SLOUGH	38.2918	38.2918	-121.742	-121.742
CLIFTON COURT	37.8298	37.8298	-121.5574	-121.5574
COLLINSVILLE	38.073981	38.073981	-121.850123	-121.850123
CONTRA COSTA	37.99495	37.99495	-121.702809	-121.702809
CORDELIA PUMPING PLANT (KG002111)	38.2276	38.2276	-122.1347	-122.1347
COLLINSVILLE ON SACRAMENTO RIVER	38.074	38.074	-121.8501	-121.8501
CYGNUS-CORDELIA SLOUGH	38.1527	38.1527	-122.0908	-122.0908
DRAINAGE AT ARBOR ROAD	37.768959	37.768959	-121.419414	-121.419414
DOUGHTY CUT ABOVE GRANT LINE CANAL	37.815	37.815	-121.425	-121.425
DELTA CROSS CHANNEL BTW SAC R & SNODGRAS	38.245	38.245	-121.505	-121.505
DMC HEADWORKS	37.781567	37.781567	-121.590239	-121.590239
DUTCH SLOUGH AT JERSEY ISLAND	38.013	38.013	-121.671	-121.671
DEL VALLE CHECK 7 (KB001638)	37.6547	37.6547	-121.7419	-121.7419
SACRAMENTO DEEP WATER SHIPPING CHANNEL	38.25611	38.25611	-121.66667	-121.66667
DYER RESERVOIR	37.757824	37.757824	-121.674913	-121.674913
EAST CONTRA COSTA ID PP#1	37.917863	37.917863	-121.625999	-121.625999
EMMATON (USBR)	38.084272	38.084272	-121.738924	-121.738924
FALSE RIVER NEAR OAKLEY	38.0558	38.0558	-121.6669	-121.6669
FISHERMANS CUT	38.067822	38.067822	-121.648838	-121.648838
GOODYEAR SLOUGH OUTFALL @ NAVAL FLEET	38.08037934	38.08037934	-122.1020479	-122.1020479
SACRAMENTO RIVER AT FREEPORT	38.45	38.45	-121.5	-121.5
FRANK'S TRACT MID TRACT	38.046417	38.046417	-121.5981	-121.5981
FARRAR PARK	38.011698	38.011698	-121.639129	-121.639129
GRANTLINE CANAL AT TRACY RD BRIDGE	37.82014465	37.82014465	-121.4498596	-121.4498596
SACRAMENTO RIVER BELOW GEORGIANA SLOUGH	38.2389	38.2389	-121.5234	-121.5234
GRANTLINE CANAL (USGS)	37.8196	37.8196	-121.5485	-121.5485
GRANT LINE CANAL EAST	37.820258	37.820258	-121.4348562	-121.4348562
GREEN'S LANDING	38.345	38.345	-121.546	-121.546
GODFATHER II ON SUISUN SLOUGH	38.1238	38.1238	-122.0812	-122.0812
GEORGIANA SLOUGH AT SACRAMENTO RIVER	38.237	38.237	-121.518	-121.518
GOODYEAR SLOUGH	38.118	38.118	-122.095	-122.095
GRIZZLY BAY BUOY	38.123145	38.123145	-122.007582	-122.007582
GRIZZLY BAY	38.12425	38.12425	-122.038117	-122.038117
HARVEY O BANKS PUMPING P (KA000331)	37.801944	37.801944	-121.620278	-121.620278
HOLLAND TRACT	38.006986	38.006986	-121.580617	-121.580617
MIDDLE RIVER NEAR HOLT	38.0031	38.0031	-121.5108	-121.5108
HOLLAND CUT NEAR BETHEL ISLAND	38.0164	38.0164	-121.5819	-121.5819
HONKER BAY	38.0724	38.0724	-121.9392	-121.9392
HUNTER CUT AT MONTEZUMA SLOUGH	38.156	38.156	-122.0527	-122.0527
