attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
year	year of sampling	numeric	nominalYear			
sample_no	sample number (for internal lab reference)	character				
watershed	watershed name	categorical				
soil_type	"soil series, where applicable"	categorical				
forest	forest stand type	categorical				
pit_type	soil pit type	categorical				
pit_id	soil pit identification number	character				
horizon	"Soil horizon, per USDA classification"	character				
depth_increment	depth increment in soil pit	character				
LOI_perc	"loss on ignition, determined by combusting at 450 C for 12 hours"	numeric	percent		NA	not available
pH_water	pH determined in deionized water	numeric	dimensionless		NA	not available
pH_cacl2	pH determined in 0.01N CaCl2	numeric	dimensionless		NA	not available
fine_TN_perc	"total N in fine earth fraction, determined by combustion"	numeric	percent		NA	not available
fine_TC_perc	"total C in fine earth fraction, determined by combustion"	numeric	percent		NA	not available
fine_C_N	C to N ratio for fine earth fraction	numeric	dimensionless		NA	not available
coarse_TN_perc	"total N in coarse organic fraction, determined by combustion"	numeric	percent		NA	not available
coarse_TC_perc	"total C in coarse organic fraction, determined by combustion"	numeric	percent		NA	not available
coarse_C_N	C to N ratio for coarse organic fraction	numeric	dimensionless		NA	not available
P_mg_kg	NH4Cl-extractable phosphorus	numeric	milligramsPerKilogram		NA	not available
Fe_mg_kg	NH4Cl-extractable iron	numeric	milligramsPerKilogram		NA	not available
Mn_mg_kg	NH4Cl-extractable manganese	numeric	milligramsPerKilogram		NA	not available
Zn_mg_kg	NH4Cl-extractable zinc	numeric	milligramsPerKilogram		NA	not available
Pb_mg_kg	NH4Cl-extractable lead	numeric	milligramsPerKilogram		NA	not available
Ca_meq_100g	NH4Cl-extractable calcium	numeric	milliequivalentsPerHundredGrams		NA	not available
Mg_meq_100g	NH4Cl-extractable magnesium	numeric	milliequivalentsPerHundredGrams		NA	not available
K_meq_100g	NH4Cl-extractable potassium	numeric	milliequivalentsPerHundredGrams		NA	not available
Na_meq_100g	NH4Cl-extractable sodium	numeric	milliequivalentsPerHundredGrams		NA	not available
Al_meq_100g	NH4Cl-extractable aluminum	numeric	milliequivalentsPerHundredGrams		NA	not available
total_acidity_meq_100g	titrated KCl-extractable total acidity	numeric	milliequivalentsPerHundredGrams		NA	not available
exch_Al_meq_100g	KCl-extractable aluminum	numeric	milliequivalentsPerHundredGrams		NA	not available
exch_H_meq_100g	KCl-extractable hydrogen	numeric	milliequivalentsPerHundredGrams		NA	not available
CEC_meq_100g	"cation exchange capacity, calculated as the sum of all cations (Ca, Mg, Na, K, H, Al)"	numeric	milliequivalentsPerHundredGrams		NA	not available
BS_perc	"base saturation, calculated as the proportion of CEC contributed by base cations (Ca, Mg, Na, K)"	numeric	percent		NA	not available
