attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
site	sampling location (for internal reference)	character				
watershed	watershed name	categorical				
ISCO_number	ISCO autosampler container number	character				
record_type	normal vs. duplicate samples	categorical				
year	year	numeric	nominalYear		NA	not available
month	month	numeric	nominalMonth		NA	not available
day	day sampled	numeric	nominalDay		NA	not available
hour	hour sampled	numeric	nominalHour		NA	not available
season	"seasons, determined on a three-month basis"	categorical				
julian_day	running day for a year	numeric	dimensionless		NA	not available
running_day_of_project	running day of project	numeric	dimensionless		NA	not available
Ca_flag	If flagged with '< DL' then data are below the detection limit (0.5 ueq/L). If flagged with '< RL' then data are below the reporting limit (2.5 ueq/L) and should be used with caution.	character				
Ca_ueq_L	"Calcium, determined by: - Atomic Absorption Spectrophotometry (AAS) with N2O-acetylene flame (1998 and prior) - Inductively Coupled Atomic Emission Spectroscopy (ICP) from 1999-2003 - Ion Chromatography (2004 forward)"	numeric	microEquivalentsPerLiter		NA	not available
Mg_flag	If flagged with '< DL' then data are below the detection limit (0.8 ueq/L). If flagged with '< RL' then data are below the reporting limit (4.1 ueq/L) and should be used with caution.	categorical				
Mg_ueq_L	"Magnesium, determined by: - Atomic Absorption Spectrophotometry (AAS) with N2O-acetylene flame (1998 and prior) - Inductively Coupled Atomic Emission Spectroscopy (ICP) from 1999-2003 - Ion Chromatography (2004 forward)"	numeric	microEquivalentsPerLiter		NA	not available
K_flag	If flagged with '< DL' then data are below the detection limit (0.3 ueq/L). If flagged with '< RL' then data are below the reporting limit (1.3 ueq/L) and should be used with caution.	categorical				
K_ueq_L	"Potassium, determined by: - Atomic Absorption Spectrophotometry (AAS) with N2O-acetylene flame (1998 and prior) - Inductively Coupled Atomic Emission Spectroscopy (ICP) from 1999-2003 - Ion Chromatography (2004 forward)"	numeric	microEquivalentsPerLiter		NA	not available
Na_flag	If flagged with '< DL' then data are below the detection limit (0.4 ueq/L). If flagged with '< RL' then data are below the reporting limit (2.2 ueq/L) and should be used with caution.	character				
Na_ueq_L	"Sodium, determined by: - Atomic Absorption Spectrophotometry (AAS) with N2O-acetylene flame (1998 and prior) - Inductively Coupled Atomic Emission Spectroscopy (ICP) from 1999-2003 - Ion Chromatography (2004 forward)"	numeric	microEquivalentsPerLiter		NA	not available
Cl_ueq_L	"Chloride, determined by ion chromatography"	numeric	microEquivalentsPerLiter		NA	not available
SO4_flag	If flagged with '< DL' then data are below the detection limit (0.5 ueq/L). If flagged with '< RL' then data are below the reporting limit (2 ueq/L) and should be used with caution.	character				
SO4_ueq_L	"Sulfate, determined by ion chromatography"	numeric	microEquivalentsPerLiter		NA	not available
NO3_flag	Nitrate flag: If flagged with '< DL' then data are below the detection limit (0.1 ueq/L). If flagged with '< RL' then data are below the reporting limit (1.0 ueq/L) and should be used with caution.	categorical				
