attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
WY	USGS water year (Oct-1 to Sep-30)	numeric	nominalYear			
watershed	watershed name	categorical				
H2O_1e6L	annual streamwater export (multiply by 10^6)	numeric	liter		NA	not available
Ca_eq_ha	calcium	numeric	equivalentsPerHectare		NA	not available
K_eq_ha	potassium	numeric	equivalentsPerHectare		NA	not available
Mg_eq_ha	magnesium	numeric	equivalentsPerHectare		NA	not available
Na_eq_ha	sodium	numeric	equivalentsPerHectare		NA	not available
NO3_eq_ha	nitrate	numeric	equivalentsPerHectare		NA	not available
NH4_eq_ha	ammonium	numeric	equivalentsPerHectare		NA	not available
SO4_eq_ha	sulfate	numeric	equivalentsPerHectare		NA	not available
Cl_eq_ha	chloride	numeric	equivalentsPerHectare		NA	not available
Al_umol_ha	aluminum	numeric	microMolesPerHectare		NA	not available
DOC_umol_ha	dissolved organic carbon	numeric	microMolesPerHectare		NA	not available
H_eq_ha	"hydrogen ion, computed from pH"	numeric	equivalentsPerHectare		NA	not available
ANC_eq_ha	acid neutralizing capacity	numeric	equivalentsPerHectare		NA	not available
HCO3_eq_ha	bicarbonate	numeric	equivalentsPerHectare		NA	not available
Si_umol_ha	silicon	numeric	microMolesPerHectare		NA	not available
