attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
scientific_name	Species scientific name	character				
common_name	Species common name	character				
date	"Month, day and year of data collection"	Date		MM/DD/YYYY		
capture_locality	capture _locality	character				
cover	Place where snake was found	character			NR	Missing value
sex	Sex 	categorical				
SVL	Snout-vent length; distance from tip of snout to posterior edge of anal plate	numeric	millimeter		-9999	Missing value
tail_length	Tail length; distance from posterior edge of anal plate to end of tail	numeric	millimeter		-9999	Missing value
rattle_length	rattle_length	numeric	millimeter		-9999	Missing value
weight	Weight of animal	numeric	gram		-9999	Missing value
button_present	button_present	character			NR	Missing value
segment_no	Number of rattle segments. Segment count always includes the black base segment	character			NR	Missing value
segment_widths	"Width of each segment, separated by commas, unit = millimeter"	character			NR	Missing value
clipVen	Location of scale clip on the ventral or belly scales between the back of lower jaw and the anal plate (scale covering anal opening)	character			NR	Missing value
clipL	Location of clip on the subcaudal scales (lower surface of tail between anal plate and the tail's terminus). Count is for the left row of scales going from front to rear	character			NR	Missing value
clipR	Location of clip on the subcaudal scales (lower surface of tail between anal plate and the tail's terminus). Count is for the right row of scales going from front to rear	character			NR	Missing value
stomach_contents	stomach_contents	character			NR	Missing value
rattles_since_last_capture	rattles_since_last_capture	character			NR	Missing value
fangsLeft	fangsLeft	character			NR	Missing value
fangsRight	fangsRight	character			NR	Missing value
ripe_follicles	Number of ripe follicles	character			NR	Missing value
embryos	Number of embryos	character			NR	Missing value
born_to_F_clip	Clip pattern of gravid female	character			NR	Missing value
birth_date	birth_date	Date		DD-MMM-YY	NR	Missing value
capture_method	capture_method	character			NR	Missing value
is_recapture	Indicates if snake is known to have been captured previously	character			NR	Missing value
recapture_dates	recapture_dates	character			NR	Missing value
notes	notes	character				
