attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
scientific_name	Species scientific name	character				
common_name	Species common name	character				
date	"Month, day and year of data collection"	Date		MM/DD/YYYY		
capture_locality	Place of capture; refer to web mapping application for place names referenced	character				
sex	Sex 	categorical				
SVL	Snout-vent length; distance from tip of snout to posterior edge of anal plate	numeric	millimeter		-9999	Missing value
tail_length	Tail length; distance from posterior edge of anal plate to end of tail	numeric	millimeter		-9999	Missing value
TTL	Tail length as a percent of snout-vent length	numeric	percent		-9999	Missing value
weight	Weight of animal	numeric	gram		-9999	Missing value
clipL	Location of clip on the subcaudal scales (lower surface of tail between anal plate and the tail's terminus). Count is for the left row of scales going from front to rear	character			NA	Missing value
clipR	Location of clip on the subcaudal scales (lower surface of tail between anal plate and the tail's terminus). Count is for the right row of scales going from front to rear	character			NA	Missing value
capture_method	Method of capture	character			NR	Missing value
notes	Notes pertaining to data or transcription	character				
