attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
scientific_name	Species scientific name	character				
common_name	Species common name	character				
date	"Month, day and year of data collection"	Date		MM/DD/YYYY		
capture_locality	Place of capture; refer to web mapping application for place names referenced	character				
cover	Place where snake was found	character			NR	Missing value
sex	Sex 	categorical				
SVL	Snout-vent length; distance from tip of snout to posterior edge of anal plate	numeric	millimeter		-9999	Missing value
tail_length	Tail length; distance from posterior edge of anal plate to end of tail	numeric	millimeter		-9999	Missing value
TTL	Tail length as a percent of snout-vent length.	numeric	percent		-9999	Missing value
weight	Weight of animal	numeric	gram		-9999	Missing value
clipVen	Location of scale clip on the ventral or belly scales between the back of lower jaw and the anal plate (scale covering anal opening)	character			NA	Missing value
clipL	Location of clip on the subcaudal scales (lower surface of tail between anal plate and the tail's terminus). Count is for the left row of scales going from front to rear	character			NA	Missing value
clipR	Location of clip on the subcaudal scales (lower surface of tail between anal plate and the tail's terminus). Count is for the right row of scales going from front to rear	character			NA	Missing value
stomach_contents	Indicates if stomach contents were examined	character			NR	Missing value
pattern	Notes on color pattern	character			NR	Missing value
f_gravid	Indicates whether or not female is gravid	character			NR	Missing value
embryos_or_follicles	Number of embryos or ripe follicles	character			NR	Missing value
born_to_F_clip	Clip pattern of gravid female	character			NR	Missing value
birth_date	Date of birth	Date		DD-MMM-YY	NR	Missing value
capture_method	Method of capture	character			NR	Missing value
is_recapture	Indicates if snake is known to have been captured previously	character			NR	Missing value
recapture_dates	"Date(s) animal was recaptured, with notes from G. Pisani on confirmation"	character			NR	Missing value
notes	Notes pertaining to data or transcription	character				
