attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
scientific_name		categorical				
common_name		categorical				
date		Date		!Add datetime specifier here!		
capture_locality		character				
cover		categorical				
sex		categorical				
SVL		numeric	!Add units here!			
tail_length		numeric	!Add units here!			
TTL		numeric	!Add units here!			
weight		numeric	!Add units here!			
clipVen		categorical				
clipL		categorical				
clipR		categorical				
stomach_contents		categorical				
flecks		categorical				
row_colors		categorical				
f_gravid		categorical				
ripe_follicles		categorical				
embryos		categorical				
born_to_F_clip		categorical				
birth_date		Date		!Add datetime specifier here!		
is_recapture		categorical				
recapture_dates		Date		!Add datetime specifier here!		
notes		character				
