name	name_type	name_resolved	authority_system	authority_id
Pterostichus rostratus	scientific	Pterostichus rostratus	NA	NA
Cymindis neglecta	scientific	Cymindis neglecta	NA	NA
Pterostichus tristis	scientific	Pterostichus tristis	NA	NA
Synuchus impunctatus	scientific	Synuchus impunctatus	NA	NA
Pterostichus coracinus	scientific	Pterostichus coracinus	NA	NA
Pterostichus pensylvanicus	scientific	Pterostichus pensylvanicus	NA	NA
Cymindis cribricollis	scientific	Cymindis cribricollis	NA	NA
Pterostichus adoxus	scientific	Pterostichus adoxus	NA	NA
Chlaenius emarginatus	scientific	Chlaenius emarginatus	NA	NA
Sphaeroderus stenostomus	scientific	Sphaeroderus stenostomus	NA	NA
Pterostichus lachrymosus	scientific	Pterostichus lachrymosus	NA	NA
Sphaeroderus canadensis	scientific	Sphaeroderus canadensis	NA	NA
Notiophilus aeneus	scientific	Notiophilus aeneus	NA	NA
Agonum retractum	scientific	Agonum retractum	NA	NA
Trechus apicalis	scientific	Trechus apicalis	NA	NA
Myas cyanescens	scientific	Myas cyanescens	NA	NA
Cymindis limbata	scientific	Cymindis limbata	NA	NA
Scaphinotus viduus	scientific	Scaphinotus viduus	NA	NA
Pterostichus adstrictus	scientific	Pterostichus adstrictus	NA	NA
Calathus ingratus	scientific	Calathus ingratus	NA	NA
Gastrellarius honestus	scientific	Gastrellarius honestus	NA	NA
Dicaelus politus	scientific	Dicaelus politus	NA	NA
Platynus decentis	scientific	Platynus decentis	NA	NA
Agonum mutatum	scientific	Agonum mutatum	NA	NA
Cymindis platicollis	scientific	Cymindis platicollis	NA	NA
Chlaenius aestivus	scientific	Chlaenius aestivus	NA	NA
Pterostichus mutus	scientific	Pterostichus mutus	NA	NA
Cyclotrachelus furtivus	scientific	Cyclotrachelus furtivus	NA	NA
Calathus gregarius	scientific	Calathus gregarius	NA	NA
Pterostichus permundus	scientific	Pterostichus permundus	NA	NA
Pterostichus trinarius	scientific	Pterostichus trinarius	NA	NA
Anisodactylus agricola	scientific	Anisodactylus agricola	NA	NA
Dicaelus elongatus	scientific	Dicaelus elongatus	NA	NA
Pterostichus stygicus	scientific	Pterostichus stygicus	NA	NA
Trichotichnus fulgens	scientific	Trichotichnus fulgens	NA	NA
Cyclotrachelus sigillatus	scientific	Cyclotrachelus sigillatus	NA	NA
