buffer100m_nhdid	lagoslakeid	buffer100m_ha
50524769	1	68.8958
123632625	2	29.4989
50524793	3	58.7253
135695054	4	17.2153
135693974	5	23.0071
122373608	6	48.7173
135693476	7	28.326
136018275	8	29.179
132761873	9	26.1372
132761914	10	78.8246
136659632	11	37.3179
129738545	12	51.313
136679045	13	19.8184
129729046	14	34.8748
135694272	15	36.1911
136676638	16	56.9419
136693212	17	77.3994
127683885	18	33.7986
136902243	19	33.5852
127683435	20	28.4385
129734841	21	122.1425
136666927	22	45.5468
135913037	23	42.1192
136672041	24	24.9396
135695000	25	37.8277
136683163	26	88.6765
122985937	27	67.9554
135695498	28	25.4921
122985912	29	81.5193
136665929	30	43.2992
136864159	31	27.7208
136694129	32	115.9397
135913232	33	34.8937
127683661	34	61.9852
40652367	35	30.7893
122985762	36	50.0148
141008126	37	86.1103
136017887	38	49.5303
127684104	39	90.9501
141008512	40	19.517
135697729	41	79.22
122985885	42	19.1
135694639	44	51.5033
136902475	45	24.9754
123913052	46	89.9648
136018516	47	96.1077
123912469	48	140.0747
40653025	49	29.558
141008196	50	55.8293
123632543	51	33.1485
161140894	52	60.2379
61786091	53	74.147
26065176	54	33.5006
26166122	55	16.3245
{C42D8CDE-FFAD-400B-997F-0749B1C8BD77}	56	150.1985
25618884	57	22.9072
f1b0d735-dca7-4774-80dc-619c8457210c	59	38.4885
82984997	60	19.6317
87818203	61	57.4199
120018742	62	189.565
81002293	63	58.843
34243470	64	72.0917
155351665	65	29.6472
120019842	67	46.9516
86444959	68	15.2486
90346628	69	26.3892
91679461	70	20.6993
132542847	71	46.5201
91596003	72	24.7555
120019354	73	3331.509
32732535	74	94.766
91596049	75	35.0304
114544749	78	11.595
45361929	79	68.8277
126591241	80	76.4358
90d6dc3e-90b9-4473-9c29-f274aa20c5ed	81	239.7765
86274931	82	22.5301
107515380	83	18.6849
120020226	84	34.182
70332851	85	14.2551
91691879	87	27.0102
80993709	88	75.5785
114545471	90	36.3832
80997075	93	35.3081
120020695	94	88.0468
86367973	95	53.7552
45722558	96	19.039
{50AC4529-7A81-4DC9-80E1-7E15AEFC5CB1}	97	59.3409
114542979	98	16.5673
{BE3BAFBF-BDF5-4BDC-8EC0-D6162002F029}	99	19.6146
86444893	100	14.7324
114544991	101	31.3846
123271118	102	20.8417
82959101	103	45.3285
120019079	104	1814.6233
c7cb418f-e29c-4287-954c-e3a5a645c55b	105	52.7363
120020322	106	190.7788
80996653	107	93.1832
111727691	108	14.0759
91594375	109	32.8934
120018206	110	229.0509
120018791	111	47.7451
828e6a9e-108b-45d5-a314-e24080a186b8	113	13.5766
81002541	114	12.8896
139269049	115	14.4597
74928681	116	15.0272
{7B77ECA9-58EF-442F-B4B7-B6B41E44C67C}	117	15.2788
120018793	118	26.1762
114544937	119	22.9267
59811853	120	23.0154
87819183	121	16.892
107075016	122	81.5698
155442694	123	25.6789
{60970A96-DDEA-4776-AFA9-13E6158E3D1F}	124	15.3148
{AEAC2200-91F2-465E-AB75-C5FC64C8BE4A}	125	11.1577
91691895	126	27.1307
107515236	127	32.6325
120020083	128	118.5871
3f7b699a-e34c-49b7-9196-48e950ace682	130	270.5755
120019638	131	217.9684
{A8C1F814-C70D-4090-B560-3EFE84ABB2DE}	132	17.6123
{59166601-950E-4D38-85E8-A64D7251D7FF}	133	23.1103
{394F7D66-29DA-4B88-B51F-58DC0D3F709E}	134	14.0604
{26FD46E6-DE81-4EFA-BC0D-784B5986876F}	135	12.8223
{07A5A0F1-7130-44CD-A09D-32C5C3EFA895}	136	22.9131
105953781	137	45.3701
37647809	139	15.6583
152517543	140	51.6453
120020683	141	55.2404
120020309	142	44.1418
126609214	143	45.1884
80998553	144	53.6092
90770165	146	21.1285
{22812CD2-672E-48D1-A2F8-CE59E062CD6A}	147	17.4653
276834aa-394a-4ebd-9193-26d17b29287c	148	405.5208
106373192	149	13.3527
90385400	150	233.2602
81000911	151	102.954
37649241	152	39.3785
151965270	154	13.6642
106373244	155	45.5141
120018423	156	60.4628
59720819	157	18.9521
{8B5D95FE-E324-4776-AE78-F3C5E9EB5D82}	159	15.7428
45365725	160	31.6518
{2C7F28DA-81EB-47D8-B11C-624EB71DB26C}	161	16.6417
59746595	162	18.9091
34131145	163	24.9067
106373218	164	14.5113
