county_state	county_name	county_ha_in_nwi	county_ha	county_zoneid	county_pct_in_nwi	county_lat	conty_long
CT	Fairfield County	167421.767659000000000	168044.339425000010000	County_1	100.0000000	41.2722473	-73.3893967
IL	Ford County	125912.277441000000000	125912.277441000000000	County_10	100.0000000	40.5971985	-88.2233963
IL	Stark County	74682.001659700007000	74682.001659700007000	County_100	100.0000000	41.0933571	-89.7974854
IL	Stephenson County	146269.318903000010000	146269.318903000010000	County_101	100.0000000	42.3517456	-89.6624603
IL	Tazewell County	170204.036381999990000	170204.036381999990000	County_102	100.0000000	40.5073090	-89.5134277
IL	Vermilion County	233543.615155000010000	233543.615155000010000	County_103	100.0000000	40.1834183	-87.7329330
IL	Warren County	140652.448441999990000	140652.448441999990000	County_104	100.0000000	40.8488197	-90.6150284
IL	Wayne County	185324.130245000010000	185324.130245000010000	County_105	100.0000000	38.4295654	-88.4256134
IL	White County	129977.610235999990000	129977.610235999990000	County_106	100.0000000	38.0874519	-88.1795578
IL	Whiteside County	180455.817435000000000	180455.817435000000000	County_107	100.0000000	41.7564583	-89.9141617
IL	Williamson County	115085.602457000000000	115085.602457000000000	County_108	100.0000000	37.7302399	-88.9299316
IL	Winnebago County	134506.820845000010000	134506.820845000010000	County_109	100.0000000	42.3363190	-89.1609116
IL	Franklin County	111756.379544000000000	111756.379544000000000	County_11	100.0000000	37.9922485	-88.9242249
IL	Woodford County	140064.164056999990000	140064.164056999990000	County_110	100.0000000	40.7877960	-89.2101669
IN	Crawford County	79960.526605999999000	80024.786635199998000	County_111	100.0000000	38.2923317	-86.4516068
IN	Dearborn County	79607.146353400007000	79610.875071200004000	County_112	100.0000000	39.1451340	-84.9733658
IN	Decatur County	96709.138206500007000	96709.138206500007000	County_113	100.0000000	39.3069038	-85.5012436
IN	Delaware County	102537.802104000000000	102537.802104000000000	County_114	100.0000000	40.2275200	-85.3968964
IN	Dubois County	112723.148633000000000	112723.148633000000000	County_115	100.0000000	38.3642387	-86.8797913
IN	Elkhart County	121198.969394000000000	121198.969394000000000	County_116	100.0000000	41.5973892	-85.8587418
IN	Fayette County	55711.778423099997000	55711.778423099997000	County_117	100.0000000	39.6400375	-85.1787109
IN	Floyd County	38483.798280299998000	38490.393793199997000	County_118	100.0000000	38.3194885	-85.9066315
IN	Fountain County	103086.717252000000000	103086.717252000000000	County_119	100.0000000	40.1209259	-87.2419510
IL	Fulton County	228583.515263000010000	228583.515263000010000	County_12	100.0000000	40.4727707	-90.2074890
IN	Franklin County	101277.600365000010000	101277.600365000010000	County_120	100.0000000	39.4148560	-85.0603104
IN	Grant County	107469.595555000010000	107469.595555000010000	County_121	100.0000000	40.5158463	-85.6547470
IN	Greene County	141388.293945000010000	141388.293945000010000	County_122	100.0000000	39.0363426	-86.9620132
IN	Hamilton County	104230.796426999990000	104230.796426999990000	County_123	100.0000000	40.0724831	-86.0520096
IN	Hancock County	79517.984160099993000	79517.984160099993000	County_124	100.0000000	39.8235397	-85.7732315
IN	Hendricks County	105900.915966999990000	105900.915966999990000	County_125	100.0000000	39.7695198	-86.5100021
IN	Henry County	102262.566495000010000	102262.566495000010000	County_126	100.0000000	39.9310303	-85.3964157
IN	Huntington County	100419.112899999990000	100419.112899999990000	County_127	100.0000000	40.8292313	-85.4881668
IN	Jasper County	145390.907042000010000	145390.907042000010000	County_128	100.0000000	41.0229721	-87.1161270
IN	Jay County	99476.417976800003000	99476.417976800003000	County_129	100.0000000	40.4379158	-85.0056305
IL	Greene County	141716.378159000010000	141716.378159000010000	County_13	100.0000000	39.3560028	-90.3908463
IN	Jefferson County	93986.839244699993000	94015.497112500001000	County_130	100.0000000	38.7857819	-85.4385376
IN	Jennings County	97981.378476800004000	97981.378476800004000	County_131	100.0000000	38.9968948	-85.6280746
IN	Johnson County	83345.464549299999000	83345.464549299999000	County_132	100.0000000	39.4899559	-86.1016312
IN	Kosciusko County	143589.429538000000000	143589.429538000000000	County_133	100.0000000	41.2440910	-85.8607178
IN	LaGrange County	100184.241092000000000	100184.241092000000000	County_134	100.0000000	41.6426277	-85.4265137
IN	Adams County	88048.511822999993000	88048.511822999993000	County_135	100.0000000	40.7456589	-84.9366455
IN	Benton County	105241.378818000000000	105241.378818000000000	County_136	100.0000000	40.6062737	-87.3108826
IN	Cass County	107439.572978000000000	107439.572978000000000	County_137	100.0000000	40.7614822	-86.3459549
IN	Daviess County	112968.369948000010000	112968.369948000010000	County_138	100.0000000	38.7021828	-87.0718079
IN	DeKalb County	94240.948134399994000	94240.948134399994000	County_139	100.0000000	41.3975754	-84.9991302
IL	Grundy County	111477.061993000000000	111477.061993000000000	County_14	100.0000000	41.2849388	-88.4184799
IN	Fulton County	96160.098276100005000	96160.098276100005000	County_140	100.0000000	41.0469551	-86.2635803
IN	Gibson County	129196.178216000000000	129196.178216000000000	County_141	100.0000000	38.3118324	-87.5847549
IN	Harrison County	125999.295745000000000	126062.302266000000000	County_142	100.0000000	38.1951866	-86.1113358
IN	Howard County	76135.534954400006000	76135.534954400006000	County_143	100.0000000	40.4835663	-86.1169510
IN	Jackson County	133208.541591999990000	133208.541591999990000	County_144	100.0000000	38.9063110	-86.0375748
IN	Knox County	135868.706909000000000	135868.706909000000000	County_145	100.0000000	38.6893005	-87.4177399
IN	Lawrence County	117080.838364000000000	117080.838364000000000	County_146	100.0000000	38.8411636	-86.4834137
IN	Montgomery County	130908.423720000010000	130908.423720000010000	County_147	100.0000000	40.0403748	-86.8933029
IN	Perry County	99976.542307299998000	100053.546657000000000	County_148	100.0000000	38.0795975	-86.6379395
IN	Pike County	88466.151799200001000	88466.151799200001000	County_149	100.0000000	38.3987503	-87.2323151
IL	Alexander County	65224.839375600000000	65262.906679000000000	County_15	100.0000000	37.1917610	-89.3376236
IN	Pulaski County	112544.443039000010000	112544.443039000010000	County_150	100.0000000	41.0418243	-86.6987762
IN	Shelby County	106900.985971999990000	106900.985971999990000	County_151	100.0000000	39.5236855	-85.7916946
IN	Spencer County	103837.375161000000000	103947.084524000010000	County_152	100.0000000	38.0143356	-87.0075073
IN	Union County	42780.632625099999000	42780.632625099999000	County_153	100.0000000	39.6255302	-84.9251251
IN	Washington County	133694.400238000000000	133694.400238000000000	County_154	100.0000000	38.5998344	-86.1053238
IN	Wells County	95896.315967500006000	95896.315967500006000	County_155	100.0000000	40.7291756	-85.2212143
IN	White County	131757.538303999990000	131757.538303999990000	County_156	100.0000000	40.7497826	-86.8654861
IN	Allen County	170949.694173000000000	170949.694173000000000	County_157	100.0000000	41.0908699	-85.0665588
