county_zoneid	county_baseflowindex_min	county_baseflowindex_max	county_baseflowindex_mean	county_baseflowindex_std	county_dep_no3_1985_min	county_dep_no3_1985_max	county_dep_no3_1985_mean	county_dep_no3_1985_std	county_dep_no3_1990_min	county_dep_no3_1990_max	county_dep_no3_1990_mean	county_dep_no3_1990_std	county_dep_no3_1995_min	county_dep_no3_1995_max	county_dep_no3_1995_mean	county_dep_no3_1995_std	county_dep_no3_2000_min	county_dep_no3_2000_max	county_dep_no3_2000_mean	county_dep_no3_2000_std	county_dep_no3_2005_min	county_dep_no3_2005_max	county_dep_no3_2005_mean	county_dep_no3_2005_std	county_dep_no3_2010_min	county_dep_no3_2010_max	county_dep_no3_2010_mean	county_dep_no3_2010_std	county_dep_so4_1985_min	county_dep_so4_1985_max	county_dep_so4_1985_mean	county_dep_so4_1985_std	county_dep_so4_1990_min	county_dep_so4_1990_max	county_dep_so4_1990_mean	county_dep_so4_1990_std	county_dep_so4_1995_min	county_dep_so4_1995_max	county_dep_so4_1995_mean	county_dep_so4_1995_std	county_dep_so4_2000_min	county_dep_so4_2000_max	county_dep_so4_2000_mean	county_dep_so4_2000_std	county_dep_so4_2005_min	county_dep_so4_2005_max	county_dep_so4_2005_mean	county_dep_so4_2005_std	county_dep_so4_2010_min	county_dep_so4_2010_max	county_dep_so4_2010_mean	county_dep_so4_2010_std	county_dep_totaln_1985_min	county_dep_totaln_1985_max	county_dep_totaln_1985_mean	county_dep_totaln_1985_std	county_dep_totaln_1990_min	county_dep_totaln_1990_max	county_dep_totaln_1990_mean	county_dep_totaln_1990_std	county_dep_totaln_1995_min	county_dep_totaln_1995_max	county_dep_totaln_1995_mean	county_dep_totaln_1995_std	county_dep_totaln_2000_min	county_dep_totaln_2000_max	county_dep_totaln_2000_mean	county_dep_totaln_2000_std	county_dep_totaln_2005_min	county_dep_totaln_2005_max	county_dep_totaln_2005_mean	county_dep_totaln_2005_std	county_dep_totaln_2010_min	county_dep_totaln_2010_max	county_dep_totaln_2010_mean	county_dep_totaln_2010_std	county_groundwaterrecharge_min	county_groundwaterrecharge_max	county_groundwaterrecharge_mean	county_groundwaterrecharge_std	county_prism_ppt_30yr_normal_800mm2_annual_min	county_prism_ppt_30yr_normal_800mm2_annual_max	county_prism_ppt_30yr_normal_800mm2_annual_mean	county_prism_ppt_30yr_normal_800mm2_annual_std	county_prism_tmax_30yr_normal_800mm2_annual_min	county_prism_tmax_30yr_normal_800mm2_annual_max	county_prism_tmax_30yr_normal_800mm2_annual_mean	county_prism_tmax_30yr_normal_800mm2_annual_std	county_prism_tmean_30yr_normal_800mm2_annual_min	county_prism_tmean_30yr_normal_800mm2_annual_max	county_prism_tmean_30yr_normal_800mm2_annual_mean	county_prism_tmean_30yr_normal_800mm2_annual_std	county_prism_tmin_30yr_normal_800mm2_annual_min	county_prism_tmin_30yr_normal_800mm2_annual_max	county_prism_tmin_30yr_normal_800mm2_annual_mean	county_prism_tmin_30yr_normal_800mm2_annual_std	county_runoff_min	county_runoff_max	county_runoff_mean	county_runoff_std	county_surficialgeology_alluv_ha	county_surficialgeology_alluv_pct	county_surficialgeology_beach_ha	county_surficialgeology_beach_pct	county_surficialgeology_colluv_ha	county_surficialgeology_colluv_pct	county_surficialgeology_dec_resid_ha	county_surficialgeology_dec_resid_pct	county_surficialgeology_eolian_ha	county_surficialgeology_eolian_pct	county_surficialgeology_gf_out_ha	county_surficialgeology_gf_out_pct	county_surficialgeology_grus_ha	county_surficialgeology_grus_pct	county_surficialgeology_ice_ha	county_surficialgeology_ice_pct	county_surficialgeology_lac_ha	county_surficialgeology_lac_pct	county_surficialgeology_lac_clay_ha	county_surficialgeology_lac_clay_pct	county_surficialgeology_marine_ha	county_surficialgeology_marine_pct	county_surficialgeology_open_water_ha	county_surficialgeology_open_water_pct	county_surficialgeology_other_ha	county_surficialgeology_other_pct	county_surficialgeology_peat_mrsh_ha	county_surficialgeology_peat_mrsh_pct	county_surficialgeology_saprol_ha	county_surficialgeology_saprol_pct	county_surficialgeology_solif_ha	county_surficialgeology_solif_pct	county_surficialgeology_solut_ha	county_surficialgeology_solut_pct	county_surficialgeology_till_clay_ha	county_surficialgeology_till_clay_pct	county_surficialgeology_till_loam_ha	county_surficialgeology_till_loam_pct	county_surficialgeology_till_oth_ha	county_surficialgeology_till_oth_pct	county_surficialgeology_till_sand_ha	county_surficialgeology_till_sand_pct
1	County_1	45	55	48.3755	1.8683	16.888	21.431	19.4121	0.9072	16.8615	23.1264	20.7763	1.3426	11.7399	16.2873	13.8152	1.1281	15.343	19.6692	18.3746	0.6595	8.919	11.6737	10.6938	0.6028	7.1576	8.805	8.0593	0.3349	24.0361	29.9353	27.2685	1.1445	24.5404	34.3602	30.6221	2.1293	13.0917	18.0773	15.3396	1.2261	17.9583	22.9778	21.5359	0.7574	13.7797	16.8623	15.5804	0.6473	7.5657	9.2356	8.5125	0.3523	5.4875	6.9092	6.2719	0.2797	5.7655	7.8873	7.0937	0.4549	4.0631	5.675	4.8156	0.3968	5.2881	6.7799	6.3361	0.2266	3.2279	4.315	3.9211	0.236	3.0928	3.8058	3.4941	0.1463	242	333	287.8918	13.2835	1161.993	1307.5553	1264.942	28.9048	14.2919	16.6757	15.8088	0.4991	9.1364	11.8587	10.4611	0.6622	3.6082	7.2139	5.1085	0.8886	19.9786	25.2231	23.465	0.9777	0	0	0	0	0	0	0	0	0	0	4308.5876	2.5927	0	0	9439.1965	5.68	0	0	0	0	0	0	2727.4597	1.6413	0	0	0	0	0	0	0	0	0	0	0	0	601.7343	0.3621	0	0	149104.6429	89.7239
2	County_10	30	35	32.6106	1.448	11.0853	15.2765	13.6734	1.1267	16.3179	17.1105	16.6418	0.191	15.173	18.5612	16.2931	0.9485	10.7219	12.794	11.5142	0.6504	10.2641	12.5977	11.3153	0.5393	8.0805	9.0511	8.4403	0.2528	19.9215	28.4282	25.0573	2.4282	26.7886	29.4068	28.0476	0.6665	19.8718	23.6548	21.0821	1.0091	12.5705	14.9516	13.4759	0.6596	13.0956	17.4053	15.3253	1.0337	9.3792	10.4025	9.7851	0.2703	4.2477	5.7077	5.1724	0.3785	7.3886	7.6945	7.5203	0.0829	6.6708	8.223	7.2024	0.4296	4.6239	5.5515	4.9752	0.2985	4.9964	6.2582	5.6205	0.3	4.1221	4.7448	4.3402	0.1665	70	87	77.6043	3.5242	938.9824	985.1407	958.3411	11.6609	15.75	16.4057	16.1539	0.1392	10.0226	10.7008	10.4344	0.1508	4.2951	5.191	4.7102	0.2176	9.4569	9.9058	9.6548	0.1075	0	0	0	0	0	0	0	0	0	0	20719.622	16.4556	0	0	0	0	0	0	15640.518	12.4218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82540.3765	65.5539	7011.7609	5.5688	0	0	0	0
3	County_100	28	35	31.5548	1.3772	12.1277	14.0713	12.9907	0.4752	15.4254	16.7046	15.9144	0.3297	14.2607	15.2283	14.6724	0.2511	11.8764	12.7185	12.2773	0.2057	7.1812	7.9847	7.5772	0.2069	10.0842	10.9889	10.5861	0.2452	20.4445	24.1093	22.1068	0.9051	22.9012	24.9015	23.7582	0.5694	17.1411	18.4141	17.6083	0.3608	12.2684	13.2006	12.7044	0.2202	8.6115	9.7578	9.1255	0.2834	11.0354	12.0137	11.5524	0.2767	4.9175	5.6825	5.2581	0.1833	7.4435	7.9453	7.6236	0.122	6.6723	7.0793	6.8647	0.097	5.3845	5.794	5.5824	0.0978	3.6708	4.0328	3.8534	0.0924	5.5807	6.1869	5.9171	0.1643	63	79	70.8356	3.1289	922.151	945.5244	929.0978	5.1049	15.3066	16.1598	15.7348	0.2027	9.7051	10.3879	10.0323	0.1589	4.0388	4.6994	4.3245	0.1351	8.6985	8.8649	8.7751	0.0424	0	0	0	0	0	0	0	0	5986.37	8.0158	11278.8962	15.1026	0	0	0	0	576.4131	0.7718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56840.3224	76.1098	0	0	0	0
4	County_101	34	66	53.1078	4.6081	13.3125	14.618	13.832	0.3281	13.609	15.2465	14.4868	0.4115	13.7249	14.5593	14.2899	0.167	14.2482	15.9751	15.2074	0.4347	8.9462	10.599	9.6255	0.3498	9.6039	10.9762	10.1036	0.3584	19.8683	21.8265	20.8078	0.5247	18.4351	21.7268	20.1944	0.7907	15.1056	17.1461	16.2582	0.4142	13.4855	15.7434	14.8314	0.5613	10.1168	11.7306	10.7547	0.3306	9.5337	11.009	10.0896	0.3709	5.5221	5.9742	5.6971	0.0993	6.5775	7.1692	6.9051	0.1496	6.3693	6.6933	6.5741	0.0627	6.6321	7.3183	6.9865	0.169	4.5387	5.3515	4.9017	0.1886	5.4043	6.2752	5.7199	0.2278	76	149	119.9809	9.9839	871.5577	919.6951	897.6679	9.6741	13.7268	14.6819	14.1801	0.1525	8.3133	8.879	8.5539	0.0942	2.6196	3.1471	2.9226	0.0993	8.7637	9.0521	8.9578	0.0758	3705.9492	2.5336	0	0	722.9852	0.4943	0	0	0	0	0	0	0	0	0	0	4272.4765	2.921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59549.8859	40.7125	78018.022	53.3386	0	0	0	0
5	County_102	22	40	32.4689	4.1342	13.0456	14.4892	13.893	0.3225	16.1632	17.7622	17.0778	0.4517	13.6559	15.7144	15.0151	0.412	10.2569	11.8699	11.447	0.2699	8.0757	9.6292	8.8811	0.3598	9.4639	11.2701	10.0611	0.394	23.3627	26.1171	24.8052	0.6254	25.5376	28.2749	26.9625	0.7454	16.7524	19.8069	18.6399	0.6667	10.9789	13.2639	12.474	0.3927	10.1575	12.8047	11.4134	0.5917	10.7272	12.6431	11.3632	0.4391	5.1284	5.6357	5.4496	0.123	7.4964	8.3507	7.9603	0.2155	6.2982	7.1127	6.8678	0.1527	4.5751	5.3096	5.0676	0.1068	4.0886	4.8378	4.4692	0.1724	5.0126	6.175	5.4122	0.2457	49	90	72.9695	9.3241	899.8484	978.3782	954.6566	16.4132	16.0374	17.1715	16.6235	0.2799	10.6048	11.3555	10.9608	0.2015	4.9431	5.6158	5.2931	0.1445	8.7336	9.0239	8.9134	0.068	19585.0559	11.5068	0	0	0	0	0	0	15550.3623	9.1363	20767.9679	12.2018	0	0	0	0	0	0	0	0	0	0	692.1235	0.4066	0	0	0	0	0	0	0	0	0	0	0	0	113608.5269	66.7484	0	0	0	0
6	County_103	28	37	34.4157	1.11	14.3275	16.2973	15.4346	0.3761	16.6071	17.8959	17.3806	0.2847	13.6455	15.6637	14.4564	0.4747	11.768	13.5825	12.7107	0.3794	11.9654	13.6566	12.7394	0.3984	8.6567	9.4167	8.9812	0.1331	26.4183	30.6838	28.7568	0.8954	29.0866	31.3092	30.2237	0.4966	18.1096	20.3503	19.0556	0.4806	14.1986	16.9818	15.5676	0.6104	16.8645	19.094	17.8215	0.5123	10.1531	11.1461	10.6038	0.1801	5.4146	6.0824	5.7925	0.1245	7.3937	7.9207	7.7342	0.1131	5.983	6.8729	6.3419	0.2096	5.042	5.8159	5.4365	0.1598	5.9821	6.7119	6.2854	0.161	4.4033	4.825	4.5642	0.0797	69	101	86.4779	4.2264	969.3727	1048.7838	1005.0045	20.8911	16.0919	17.0394	16.5933	0.1666	10.4789	11.4106	10.9575	0.1765	4.8404	5.7777	5.3168	0.1908	9.7732	10.836	10.0258	0.2073	0	0	0	0	0	0	0	0	0	0	12002.709	5.1394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108111.8512	46.2919	113429.055	48.5687	0	0	0	0
7	County_104	36	41	38.7641	1.2867	9.8295	12.8895	11.5848	0.7691	13.7013	15.6456	14.9646	0.4247	13.62	15.3572	14.6011	0.4045	10.6297	12.4109	11.7642	0.3541	7.6287	8.6845	8.2322	0.2314	10.9532	11.9119	11.3151	0.179	16.921	22.2315	19.9367	1.3222	20.0587	22.9437	21.9506	0.6343	16.0025	18.0554	17.163	0.473	10.5596	12.385	11.7297	0.3795	8.972	10.2543	9.6791	0.269	12.0613	13.1322	12.4914	0.1946	4.0831	5.3028	4.802	0.3095	6.8455	7.7756	7.4454	0.2034	6.6051	7.4148	7.0577	0.1939	4.9246	5.7322	5.435	0.1553	3.9783	4.5466	4.2982	0.1236	6.3452	6.8718	6.565	0.0941	81	92	86.98	2.9889	934.4695	962.8815	952.2209	6.1419	15.6137	16.6415	16.0234	0.173	10.109	10.8783	10.4367	0.1287	4.5942	5.2144	4.8448	0.1141	8.7546	9.0032	8.9284	0.0555	2200.854	1.5647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1473.0918	1.0473	1067.6305	0.7591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135910.8722	96.6289	0	0	0	0
8	County_105	8	15	10.406	1.4113	14.8953	16.4981	15.6772	0.3921	13.223	14.0652	13.5546	0.1753	12.6195	13.785	13.1211	0.2624	13.4646	14.9266	14.0651	0.3654	9.1804	10.3179	9.7587	0.2503	7.2975	8.4665	7.8948	0.2895	30.9413	34.5737	32.5109	0.8819	23.4987	25.9467	24.2503	0.4439	17.9255	20.8854	19.0168	0.5958	16.9626	19.3139	17.7716	0.5112	13.9682	16.0576	14.9294	0.4817	9.1293	10.8008	9.9452	0.3994	5.81	6.5136	6.1172	0.174	5.5687	5.9408	5.7002	0.0695	5.4976	6.121	5.7599	0.1362	5.5906	6.2114	5.844	0.1529	4.2638	4.8107	4.5454	0.1225	3.6734	4.3002	3.9853	0.153	21	46	29.4093	5.4695	1072.1039	1136.8469	1101.7015	14.3202	18.4208	18.9466	18.6769	0.0998	12.6864	13.2175	12.9694	0.095	6.9428	7.49	7.2568	0.1072	9.9752	12.8883	11.2495	0.6693	3930.0335	2.1206	0	0	0	0	0	0	0	0	0	0	0	0	1115.0996	0.6017	48861.8383	26.3656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131417.1588	70.9121	0	0	0	0
9	County_106	9	17	12.1799	1.8647	14.8244	15.8317	15.3946	0.1638	13.05	13.5763	13.3287	0.1102	12.6633	13.5691	12.9424	0.1967	12.9849	14.4173	13.6825	0.3127	9.8716	10.8919	10.3527	0.2524	7.3927	7.9334	7.5919	0.0958	30.2373	32.3857	31.6107	0.3734	24.1647	25.2532	24.8116	0.2171	18.1158	19.7683	18.6468	0.382	16.7779	18.6997	17.652	0.4766	14.9746	16.6221	15.7255	0.4352	9.2133	10.052	9.5198	0.1501	5.6347	6.046	5.8889	0.069	5.4526	5.6964	5.5901	0.0551	5.4925	5.8892	5.6214	0.0812	5.3828	5.9721	5.6635	0.1239	4.562	4.9811	4.7566	0.1108	3.7003	4.0128	3.812	0.0556	27	60	41.129	7.5814	1108.5187	1154.7844	1136.704	8.7596	18.7685	19.4134	19.0558	0.105	13.0588	13.8345	13.37	0.1273	7.3272	8.2589	7.6793	0.1552	11.9775	14.322	13.4217	0.578	18095.3828	13.9219	0	0	0	0	0	0	0	0	10309.7057	7.9319	0	0	0	0	49577.7894	38.1433	0	0	0	0	3591.9149	2.7635	0	0	0	0	0	0	0	0	0	0	0	0	48402.8175	37.2394	0	0	0	0
10	County_107	40	50	44.8403	1.7516	11.7636	14.6951	13.2542	0.6888	15.7136	16.9887	16.403	0.2526	14.3205	16.0954	15.3304	0.3443	12.6187	15.7344	14.5238	0.5241	7.0559	9.4125	8.1476	0.5075	9.4817	10.2409	9.8754	0.1434	18.9057	23.1991	21.1273	0.926	22.5077	24.7496	23.6803	0.4585	16.4826	18.8385	18.0877	0.551	12.9539	16.0089	14.6163	0.5943	8.2578	10.8257	9.4267	0.5696	9.7713	10.6217	10.3105	0.1829	4.8438	6.0372	5.4273	0.2857	7.4569	8.2523	7.8705	0.1413	6.6854	7.4913	7.1355	0.1463	5.7822	7.2434	6.6882	0.2402	3.6215	4.7452	4.1509	0.2373	5.3949	5.7651	5.5717	0.064	90	113	100.8985	4.117	887.596	948.064	926.8834	11.7712	14.6896	15.5786	15.2048	0.1987	8.8647	10.144	9.5355	0.2584	3.0395	4.7004	3.8612	0.3292	8.8661	9.0231	8.9577	0.0394	39542.3427	21.9125	0	0	0	0	0	0	58534.5324	32.437	63366.7368	35.1148	0	0	0	0	2755.5862	1.527	0	0	0	0	881.4203	0.4884	0	0	0	0	0	0	0	0	0	0	0	0	15375.199	8.5202	0	0	0	0
