attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	minimum	maximum	missingValueCode	missingValueCodeExplanation
county_zoneid			character	unique zone (county) identifier	unique zone (county) identifier	character	NA	NA		
county_canalditchdensity_sum_lengthm		meter	real		sum of all canals and ditches within the zone	numeric	0	3131816.3		
county_canalditchdensity_density_mperha		metersPerHectare	real		canal and ditch density defined as the sum of all canals and ditches within the zone divided by the area of the zone	numeric	0	14.8		
county_lakes_avgsize_ha		hectare	real		average surface area of lakes >= 4 ha in zone	numeric	4.11	826638.47	NA	not available
county_lakes_overlapping_area_ha		hectare	real		the sum of the area of lakes >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	142746.9		
county_lakes_contributing_area_ha		hectare	real		the sum of the surface area of lakes >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	0	10573550.42		
county_lakes_overlapping_area_pct		dimensionless	real		the percent of the area of lakes >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	57.77		
county_lakes_count		dimensionless	whole		count of lakes >= 4 ha in zone	numeric	0	1172		
county_lakes_isolated_avgsize_ha		hectare	real		average surface area of isolated lakes (no inlet or outlet) >= 4 ha in zone	numeric	4.01	169.11	NA	not available
county_lakes_isolated_overlapping_area_ha		hectare	real		the sum of the area of isolated lakes (no inlet or outlet) >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	19869.76		
county_lakes_isolated_contributing_area_ha		hectare	real		the sum of the surface area of isolated lakes (no inlet or outlet) >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	0	20205.02		
county_lakes_isolated_overlapping_area_pct		dimensionless	real		the percent of the area of isolated lakes (no inlet or outlet) >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	3.45		
county_lakes_isolated_count		dimensionless	whole		count of isolated lakes (no inlet or outlet) >= 4 ha in zone	numeric	0	774		
county_lakes_headwater_avgsize_ha		hectare	real		average surface area of headwater lakes (no inflowing streams) >=4 ha in zone	numeric	4.01	5155.85	NA	not available
county_lakes_headwater_overlapping_area_ha		hectare	real		the sum of the area of headwater lakes (no inflowing streams) >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	6228.07		
county_lakes_headwater_contributing_area_ha		hectare	real		the sum of the surface area of headwater lakes (no inflowing streams) >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	0	34372.55		
county_lakes_headwater_overlapping_area_pct		dimensionless	real		the percent of the area of headwater lakes (no inflowing streams) >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	3.41		
county_lakes_headwater_count		dimensionless	whole		count of headwater lakes (no inflowing streams) >= 4 ha in zone	numeric	0	238		
county_lakes_drstream_avgsize_ha		hectare	real		average surface area of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >= 10 ha) >= 4 ha in zone	numeric	4	1578.41	NA	not available
county_lakes_drstream_overlapping_area_ha		hectare	real		the sum of the area of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >=10 ha) >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	52744.51		
county_lakes_drstream_contributing_area_ha		hectare	real		the sum of the surface area of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >= 10 ha) >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	0	52985.83		
county_lakes_drstream_overlapping_area_pct		dimensionless	real		the percent of the area of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >= 10 ha) >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	6.66		
county_lakes_drstream_count		dimensionless	whole		count of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >= 10 ha) >= 4 ha in zone	numeric	0	281		
county_lakes_drlakestream_avgsize_ha		hectare	real		average surface area of DRLakeStream lakes (drainage-lake-stream with inflowing stream(s) and at least one upstream lake >= 10 ha) >=4 ha in zone	numeric	4.05	5786387.29	NA	not available
county_lakes_drlakestream_overlapping_area_ha		hectare	real		the sum of the area of DRLakeStream lakes (drainage-lake-stream with inflowing stream(s) and at least one upstream lake  >= 10 ha) >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	123672.98		
county_lakes_drlakestream_contributing_area_ha		hectare	real		the sum of the surface area of DRLakeStream lakes (drainage-lake-stream with inflowing stream(s) and at least one upstream lake  >= 10 ha) >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	0	10571297.66		
county_lakes_drlakestream_overlapping_area_pct		dimensionless	real		the percent of the area of DRLakeStream lakes (drainage-lake-stream with inflowing stream(s) and at least one upstream lake >= 10 ha) >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	57.73		
county_lakes_drlakestream_count		dimensionless	whole		count of all DRLakeStream lakes (drainage-lake-stream with inflowing stream(s) and at least one upstream lake  >= 10 ha) >= 4 ha in zone	numeric	0	307		
county_lakes_lakes4to10ha_avgsize_ha		hectare	real		average surface area of lakes > 4 ha and < 10 ha in zone	numeric	4.05	9.55	NA	not available
county_lakes_lakes4to10ha_overlapping_area_ha		hectare	real		the sum of the area of lakes > 4 ha and < 10 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	2865.79		
county_lakes_lakes4to10ha_contributing_area_ha		hectare	real		the sum of the surface area of lakes > 4 ha and < 10 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	0	2877.89		
county_lakes_lakes4to10ha_overlapping_area_pct		dimensionless	real		the percent of the area of lakes > 4 ha and < 10 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	0.54		
county_lakes_lakes4to10ha_count		dimensionless	whole		count of lakes > 4 ha and < 10 ha in zone	numeric	0	459		
county_lakes_lakes4to10ha_isolated_avgsize_ha		hectare	real		average surface area of isolated lakes (no inlet or outlet) > 4 ha and < 10 ha in zone	numeric	4.01	9.79	NA	not available
county_lakes_lakes4to10ha_isolated_overlapping_area_ha		hectare	real		the sum of the area of isolated lakes (no inlet or outlet) > 4 ha and < 10 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	2447.16		
