county_zoneid	county_canopy2001_min	county_canopy2001_max	county_canopy2001_mean	county_canopy2001_std	county_damdensity_pointcount	county_damdensity_pointsperha	county_damdensity_pointspersqkm	county_nlcd1992_ha_0	county_nlcd1992_pct_0	county_nlcd1992_ha_11	county_nlcd1992_pct_11	county_nlcd1992_ha_21	county_nlcd1992_pct_21	county_nlcd1992_ha_22	county_nlcd1992_pct_22	county_nlcd1992_ha_23	county_nlcd1992_pct_23	county_nlcd1992_ha_31	county_nlcd1992_pct_31	county_nlcd1992_ha_32	county_nlcd1992_pct_32	county_nlcd1992_ha_33	county_nlcd1992_pct_33	county_nlcd1992_ha_41	county_nlcd1992_pct_41	county_nlcd1992_ha_42	county_nlcd1992_pct_42	county_nlcd1992_ha_43	county_nlcd1992_pct_43	county_nlcd1992_ha_51	county_nlcd1992_pct_51	county_nlcd1992_ha_61	county_nlcd1992_pct_61	county_nlcd1992_ha_71	county_nlcd1992_pct_71	county_nlcd1992_ha_81	county_nlcd1992_pct_81	county_nlcd1992_ha_82	county_nlcd1992_pct_82	county_nlcd1992_ha_83	county_nlcd1992_pct_83	county_nlcd1992_ha_85	county_nlcd1992_pct_85	county_nlcd1992_ha_91	county_nlcd1992_pct_91	county_nlcd1992_ha_92	county_nlcd1992_pct_92	county_nlcd2001_ha_0	county_nlcd2001_pct_0	county_nlcd2001_ha_11	county_nlcd2001_pct_11	county_nlcd2001_ha_21	county_nlcd2001_pct_21	county_nlcd2001_ha_22	county_nlcd2001_pct_22	county_nlcd2001_ha_23	county_nlcd2001_pct_23	county_nlcd2001_ha_24	county_nlcd2001_pct_24	county_nlcd2001_ha_31	county_nlcd2001_pct_31	county_nlcd2001_ha_41	county_nlcd2001_pct_41	county_nlcd2001_ha_42	county_nlcd2001_pct_42	county_nlcd2001_ha_43	county_nlcd2001_pct_43	county_nlcd2001_ha_52	county_nlcd2001_pct_52	county_nlcd2001_ha_71	county_nlcd2001_pct_71	county_nlcd2001_ha_81	county_nlcd2001_pct_81	county_nlcd2001_ha_82	county_nlcd2001_pct_82	county_nlcd2001_ha_90	county_nlcd2001_pct_90	county_nlcd2001_ha_95	county_nlcd2001_pct_95	county_nlcd2006_ha_0	county_nlcd2006_pct_0	county_nlcd2006_ha_11	county_nlcd2006_pct_11	county_nlcd2006_ha_21	county_nlcd2006_pct_21	county_nlcd2006_ha_22	county_nlcd2006_pct_22	county_nlcd2006_ha_23	county_nlcd2006_pct_23	county_nlcd2006_ha_24	county_nlcd2006_pct_24	county_nlcd2006_ha_31	county_nlcd2006_pct_31	county_nlcd2006_ha_41	county_nlcd2006_pct_41	county_nlcd2006_ha_42	county_nlcd2006_pct_42	county_nlcd2006_ha_43	county_nlcd2006_pct_43	county_nlcd2006_ha_52	county_nlcd2006_pct_52	county_nlcd2006_ha_71	county_nlcd2006_pct_71	county_nlcd2006_ha_81	county_nlcd2006_pct_81	county_nlcd2006_ha_82	county_nlcd2006_pct_82	county_nlcd2006_ha_90	county_nlcd2006_pct_90	county_nlcd2006_ha_95	county_nlcd2006_pct_95	county_nlcd2011_ha_0	county_nlcd2011_pct_0	county_nlcd2011_ha_11	county_nlcd2011_pct_11	county_nlcd2011_ha_21	county_nlcd2011_pct_21	county_nlcd2011_ha_22	county_nlcd2011_pct_22	county_nlcd2011_ha_23	county_nlcd2011_pct_23	county_nlcd2011_ha_24	county_nlcd2011_pct_24	county_nlcd2011_ha_31	county_nlcd2011_pct_31	county_nlcd2011_ha_41	county_nlcd2011_pct_41	county_nlcd2011_ha_42	county_nlcd2011_pct_42	county_nlcd2011_ha_43	county_nlcd2011_pct_43	county_nlcd2011_ha_52	county_nlcd2011_pct_52	county_nlcd2011_ha_71	county_nlcd2011_pct_71	county_nlcd2011_ha_81	county_nlcd2011_pct_81	county_nlcd2011_ha_82	county_nlcd2011_pct_82	county_nlcd2011_ha_90	county_nlcd2011_pct_90	county_nlcd2011_ha_95	county_nlcd2011_pct_95	county_roaddensity_sum_lengthm	county_roaddensity_density_mperha	county_slope_min	county_slope_max	county_slope_mean	county_slope_std	county_tri_min	county_tri_max	county_tri_mean	county_tri_std
1	County_1	0	100	58.6062	39.5159	85	5e-04	0.0506	0	0	7035.3	4.1867	39026.52	23.2244	5102.28	3.0363	8001.09	4.7614	393.12	0.2339	91.53	0.0545	172.8	0.1028	57587.13	34.2697	2852.82	1.6977	23685.66	14.0952	6.21	0.0037	137.88	0.0821	0	0	3771.27	2.2443	2270.79	1.3513	0	0	8718.48	5.1883	7786.35	4.6336	1401.57	0.8341	0	0	5722.47	3.4054	31193.82	18.5632	19225.53	11.441	12053.79	7.1731	3892.5	2.3164	293.58	0.1747	77923.8	46.372	3836.43	2.283	872.28	0.5191	1639.8	0.9758	480.15	0.2857	4737.15	2.819	158.13	0.0941	4913.82	2.9242	1097.55	0.6531	0	0	5715	3.401	31640.85	18.8293	19670.85	11.706	12259.62	7.2956	3947.85	2.3493	299.34	0.1781	77127.66	45.8982	3749.04	2.231	852.3	0.5072	1570.59	0.9346	490.05	0.2916	4617.99	2.7481	132.75	0.079	4879.53	2.9038	1087.38	0.6471	0	0	6277.77	3.7359	32607.9	19.4048	19349.37	11.5147	13198.05	7.8541	4227.3	2.5156	314.64	0.1872	71579.52	42.5965	3103.92	1.8471	949.5	0.565	1294.38	0.7703	556.83	0.3314	4051.35	2.4109	137.79	0.082	9090.63	5.4098	1301.85	0.7747	10693732.88	63.6364	0	56.9762	5.6945	5.2533	0	12.5811	0.8097	0.7465
2	County_10	0	92	0.5132	6.067	1	0	8e-04	0	0	149.4	0.1187	542.52	0.4309	151.47	0.1203	209.61	0.1665	8.1	0.0064	0	0	0	0	732.69	0.5819	19.71	0.0157	1.35	0.0011	0	0	0	0	272.25	0.2162	6056.55	4.8101	117367.29	93.2138	73.8	0.0586	108.45	0.0861	188.46	0.1497	30.24	0.024	0	0	141.75	0.1126	4382.1	3.4803	4016.43	3.1899	326.7	0.2595	112.59	0.0894	9.27	0.0074	779.67	0.6192	0	0	0	0	0	0	64.53	0.0513	1485.99	1.1802	114524.91	90.9564	67.95	0.054	0	0	0	0	166.41	0.1322	4382.1	3.4803	4016.43	3.1899	327.33	0.26	112.59	0.0894	11.07	0.0088	771.66	0.6129	0	0	0	0	0	0	69.75	0.0554	1484.55	1.179	114503.04	90.939	66.96	0.0532	0	0	0	0	171.9	0.1365	4211.82	3.3451	4072.95	3.2348	425.79	0.3382	157.32	0.1249	11.07	0.0088	766.98	0.6091	0	0	0	0	0	0	74.97	0.0595	1483.83	1.1785	114468.93	90.9119	66.33	0.0527	0	0	2298346.634	18.2536	0	74.3579	0.738	0.851	0	27.7487	0.1019	0.1221
3	County_100	0	94	3.1331	14.4757	0	0	0	0	0	141.93	0.19	191.61	0.2566	44.46	0.0595	47.97	0.0642	36.99	0.0495	0	0	0	0	2875.86	3.8508	27.63	0.037	14.13	0.0189	0	0	0	0	341.73	0.4576	7895.25	10.5718	62441.1	83.6093	29.34	0.0393	317.52	0.4252	252.63	0.3383	23.85	0.0319	0	0	140.22	0.1878	2920.05	3.91	829.35	1.1105	73.8	0.0988	38.88	0.0521	6.66	0.0089	3682.08	4.9303	0	0	0	0	0.9	0.0012	29.34	0.0393	2585.07	3.4614	64303.74	86.1034	70.38	0.0942	1.53	0.002	0	0	135	0.1808	2920.05	3.91	829.35	1.1105	73.8	0.0988	38.88	0.0521	6.66	0.0089	3677.85	4.9247	0	0	0	0	3.42	0.0046	29.34	0.0393	2582.91	3.4585	64312.83	86.1156	70.38	0.0942	1.53	0.002	0	0	135	0.1808	2838.15	3.8003	872.37	1.1681	106.47	0.1426	44.28	0.0593	6.66	0.0089	3665.52	4.9082	0	0	0	0	3.42	0.0046	29.34	0.0393	2549.7	3.4141	64359.18	86.1776	70.38	0.0942	1.53	0.002	1529577.709	20.4812	0	39.6445	1.8905	2.1576	0	6.7206	0.2596	0.2968
4	County_101	0	100	4.5181	17.7023	3	0.0276	0.0021	0	0	418.32	0.286	989.55	0.6765	722.97	0.4943	600.39	0.4105	3.42	0.0023	72.27	0.0494	0	0	11323.35	7.7414	94.05	0.0643	115.74	0.0791	0	0	0	0	345.15	0.236	47884.14	32.7369	80188.02	54.8221	76.68	0.0524	1739.79	1.1894	1482.39	1.0135	213.39	0.1459	0	0	211.23	0.1444	6191.19	4.2327	3728.43	2.549	657.18	0.4493	197.46	0.135	72.99	0.0499	8602.56	5.8813	40.14	0.0274	276.03	0.1887	300.6	0.2055	1927.89	1.318	24375.06	16.6645	97897.95	66.9298	880.11	0.6017	910.8	0.6227	0	0	281.61	0.1925	6192.27	4.2335	3730.05	2.5501	659.16	0.4506	197.46	0.135	72.99	0.0499	8551.26	5.8462	41.76	0.0286	277.56	0.1898	285.66	0.1953	1901.61	1.3001	24356.16	16.6516	97906.59	66.9357	875.97	0.5989	939.51	0.6423	0	0	282.78	0.1933	6499.89	4.4438	3795.57	2.5949	881.01	0.6023	296.82	0.2029	63.9	0.0437	8513.28	5.8203	50.49	0.0345	277.02	0.1894	292.86	0.2002	1862.1	1.2731	24137.91	16.5023	97511.49	66.6656	873	0.5968	931.5	0.6368	2946664.954	20.1455	0	41.5765	2.7955	2.1846	0	7.6461	0.3821	0.2988
5	County_102	0	97	8.0936	23.5493	16	0	0.0094	0	0	2920.77	1.716	3094.83	1.8183	2028.24	1.1917	1964.88	1.1544	52.92	0.0311	69.12	0.0406	0	0	15688.71	9.2176	341.55	0.2007	253.08	0.1487	0	0	0	0	127.89	0.0751	20621.07	12.1155	117657.54	69.1274	529.56	0.3111	1929.96	1.1339	2230.74	1.3106	693.09	0.4072	0	0	3182.4	1.8698	9318.87	5.4751	9942.66	5.8416	2527.29	1.4849	1048.77	0.6162	184.95	0.1087	16191.09	9.5128	32.13	0.0189	0	0	0	0	731.16	0.4296	7422.48	4.3609	117403.56	68.9781	1891.8	1.1115	326.79	0.192	0	0	3183.12	1.8702	9532.71	5.6008	10116.45	5.9437	2713.14	1.5941	1102.86	0.648	196.47	0.1154	16056.27	9.4335	34.2	0.0201	0	0	0	0	675.54	0.3969	7384.95	4.3389	116925.3	68.6972	1876.77	1.1027	406.17	0.2386	0	0	3170.34	1.8627	8201.07	4.8184	10768.23	6.3267	3333.42	1.9585	1303.56	0.7659	176.22	0.1035	15997.5	9.399	31.95	0.0188	0	0	11.79	0.0069	684.54	0.4022	7199.64	4.23	117078.12	68.7869	1843.74	1.0833	403.83	0.2373	6000581.429	35.2552	0	61.9971	1.9986	3.4403	0	14.8183	0.2806	0.4918
6	County_103	0	97	6.6102	21.4004	5	0.0223	0.0021	0	0	1375.56	0.589	2139.3	0.916	1308.15	0.5601	2134.44	0.9139	40.95	0.0175	177.3	0.0759	13.95	0.006	15910.47	6.8127	809.73	0.3467	76.23	0.0326	361.08	0.1546	0	0	2043.27	0.8749	19916.28	8.5279	182543.13	78.1627	129.06	0.0553	1927.35	0.8253	2351.97	1.0071	284.22	0.1217	0	0	1444.86	0.6187	11748.51	5.0306	8363.16	3.581	800.37	0.3427	531	0.2274	160.38	0.0687	20601.81	8.8214	1.8	8e-04	0	0	0	0	992.7	0.4251	6486.66	2.7775	181664.37	77.7864	744.39	0.3187	2.43	0.001	0	0	1476.63	0.6323	11772.45	5.0408	8377.29	3.5871	819.99	0.3511	538.83	0.2307	286.38	0.1226	20516.94	8.7851	4.95	0.0021	1.17	5e-04	2.16	9e-04	1002.15	0.4291	6490.98	2.7794	181499.85	77.716	746.28	0.3195	6.39	0.0027	0	0	1468.35	0.6287	11376.36	4.8712	8647.74	3.7029	1129.68	0.4837	608.67	0.2606	283.14	0.1212	20364.66	8.7199	5.76	0.0025	1.17	5e-04	2.16	9e-04	973.98	0.417	6441.39	2.7581	181486.26	77.7102	745.65	0.3193	7.47	0.0032	7094641.464	30.3782	0	61.1998	1.2589	2.4562	0	15.3843	0.1805	0.3608
7	County_104	0	98	5.9802	20.0805	8	2e-04	0.0057	0	0	241.56	0.1717	561.06	0.3989	260.64	0.1853	854.64	0.6076	35.82	0.0255	42.12	0.0299	0	0	10624.05	7.5532	54.54	0.0388	50.22	0.0357	0	0	0	0	49.95	0.0355	19628.01	13.9547	107167.68	76.1917	44.46	0.0316	574.65	0.4086	408.42	0.2904	57.6	0.041	0	0	282.51	0.2009	3982.68	2.8315	4226.58	3.0049	714.15	0.5077	123.12	0.0875	44.55	0.0317	12508.29	8.8929	4.86	0.0035	0	0	0	0	36.36	0.0259	9436.41	6.7089	109171.26	77.6161	122.49	0.0871	2.16	0.0015	0	0	282.51	0.2009	3983.31	2.832	4227.03	3.0052	716.13	0.5091	123.12	0.0875	47.97	0.0341	12497.85	8.8854	4.86	0.0035	0	0	23.22	0.0165	34.02	0.0242	9424.44	6.7004	109156.32	77.6055	125.64	0.0893	9	0.0064	0	0	284.67	0.2024	3886.11	2.7629	4307.04	3.0621	793.8	0.5644	137.34	0.0976	46.71	0.0332	12462.39	8.8602	4.86	0.0035	0	0	26.82	0.0191	40.05	0.0285	8926.11	6.3461	109599.93	77.9209	130.5	0.0928	9.09	0.0065	3600395.073	25.5978	0	52.816	1.8461	2.5881	0	10.3996	0.2559	0.3582
8	County_105	0	95	9.8607	24.3831	5	0.007	0.0027	0	0	686.61	0.3705	625.77	0.3377	114.12	0.0616	254.43	0.1373	31.77	0.0171	0	0	0	0	17692.56	9.5468	601.92	0.3248	464.4	0.2506	0	0	0	0	1581.57	0.8534	82098.18	44.2995	66671.01	35.9751	4588.65	2.476	423.36	0.2284	9209.79	4.9695	281.16	0.1517	0	0	571.59	0.3084	10444.59	5.6358	2685.6	1.4491	193.05	0.1042	56.88	0.0307	32.85	0.0177	25505.91	13.7628	25.2	0.0136	0.54	3e-04	0	0	1567.89	0.846	37000.62	19.9652	103363.38	55.774	3845.97	2.0753	31.23	0.0169	0	0	590.58	0.3187	10445.31	5.6362	2686.59	1.4497	194.22	0.1048	57.6	0.0311	36.27	0.0196	25455.6	13.7356	25.2	0.0136	0.54	3e-04	0	0	1584.18	0.8548	36994.23	19.9618	103377.78	55.7818	3845.97	2.0753	31.23	0.0169	0	0	585.99	0.3162	10178.28	5.4921	2700.45	1.4571	260.64	0.1406	72.54	0.0391	37.8	0.0204	25385.49	13.6978	25.2	0.0136	0.54	3e-04	0	0	1654.29	0.8926	37057.86	19.9961	103454.91	55.8234	3877.92	2.0925	33.39	0.018	3479087.096	18.773	0	37.3461	1.3194	1.6376	0	6.6765	0.1861	0.2312
9	County_106	0	96	9.9394	24.4147	6	5e-04	0.0046	0	0	1588.05	1.2218	620.91	0.4777	138.15	0.1063	268.29	0.2064	106.47	0.0819	0	0	0	0	13390.29	10.3019	287.1	0.2209	834.75	0.6422	0	0	0	0	331.2	0.2548	46318.14	35.635	57056.49	43.8966	1354.5	1.0421	526.86	0.4053	5450.94	4.1937	1707.03	1.3133	0	0	1739.79	1.3385	8665.02	6.6665	2113.2	1.6258	194.76	0.1498	61.56	0.0474	70.11	0.0539	19477.53	14.9851	39.51	0.0304	1.17	9e-04	0	0	99	0.0762	16585.56	12.7602	79643.61	61.2741	1198.71	0.9222	89.64	0.069	0	0	1743.48	1.3414	8668.08	6.6688	2117.07	1.6288	195.93	0.1507	61.56	0.0474	76.5	0.0589	19451.88	14.9654	46.44	0.0357	1.17	9e-04	0	0	110.34	0.0849	16559.55	12.7402	79652.7	61.2811	1198.17	0.9218	96.3	0.0741	0	0	1753.74	1.3492	8145.72	6.2669	2176.56	1.6745	262.62	0.202	76.86	0.0591	81.54	0.0627	19531.98	15.027	46.44	0.0357	1.17	9e-04	0	0	129.78	0.0998	16614.09	12.7821	79864.29	61.4439	1198.08	0.9217	96.3	0.0741	3623993.13	27.8817	0	42.1545	1.7012	2.3227	0	7.6988	0.243	0.3313
10	County_107	0	95	5.316	18.886	4	0.0185	0.0022	0	0	3232.8	1.7915	1275.3	0.7067	1077.39	0.597	1134.9	0.6289	36.81	0.0204	40.23	0.0223	0	0	10114.29	5.6049	256.86	0.1423	263.7	0.1461	0	0	0	0	68.49	0.038	22023.81	12.2046	135845.28	75.2794	253.8	0.1406	2109.69	1.1691	2357.37	1.3064	363.96	0.2017	0	0	3584.25	1.9862	6859.71	3.8013	5254.02	2.9115	1603.26	0.8885	604.62	0.3351	27.27	0.0151	11648.97	6.4553	40.5	0.0224	0	0	0	0	176.31	0.0977	7143.12	3.9584	141215.04	78.2551	2228.85	1.2351	68.76	0.0381	0	0	3580.56	1.9842	7009.38	3.8843	5263.56	2.9168	1612.35	0.8935	615.87	0.3413	25.11	0.0139	11618.46	6.4384	40.5	0.0224	0	0	0	0	169.83	0.0941	7020.09	3.8902	141130.44	78.2082	2235.24	1.2387	133.29	0.0739	0	0	3639.24	2.0167	6693.48	3.7092	5398.56	2.9916	1796.67	0.9956	672.48	0.3727	51.3	0.0284	11587.23	6.4211	31.23	0.0173	0	0	3.6	0.002	169.11	0.0937	6998.4	3.8782	141039.99	78.1581	2228.22	1.2348	145.17	0.0804	4159089.447	23.0477	0	50.6775	1.6508	2.314	0	9.1248	0.2295	0.3203
