csi_edu	edu_lat	edu_long	edu_country	edu_zoneid	edu_pct_in_nwi	edu_ha	edu_ha_in_nwi	edu_pct_in_usa	edu_ha_in_usa
Alleghany Mountain Tributaries	40.094953012878300	-79.451340646347987	US	EDU_1	88.331864776518429	1326715.093625810000000	1171912.182471175400000	100.000000000000000	1326715.093625810000000
Chippewa -Black River	45.244305104913046	-91.016711071751942	US	EDU_10	99.999999999998280	3059755.571952470100000	3059755.571952415600000	100.000000000000000	3059755.571952470100000
Coastal Plain-Tennessee	36.007401095613822	-89.669251406730766	US	EDU_11	14.686335885761851	284215.896038510020000	41740.901132184568000	100.000000000000000	284215.896038510020000
Delaware Bay Coastal	39.595325335128962	-74.681603012121869	US	EDU_12	99.701910658205847	977397.725393207980000	974484.206946939110000	99.999999999707796	977397.725390351960000
Driftless	43.841445301811341	-91.605847140072740	US	EDU_13	100.000000000006990	3805731.963169970100000	3805731.963174347800000	100.000000000000000	3805731.963169970100000
East Central Wisconsin	44.610762793588862	-88.703932080002843	US	EDU_14	100.000000000000000	2351636.866086029900000	2351636.866079003600000	100.000000000000000	2351636.866086029900000
East Lake Erie	42.569466728086432	-79.016967235998550	US_CA	EDU_15	99.995395677220117	759272.893006626050000	759237.933417864380000	100.000000000000000	759272.893006626050000
Eastern Tributaries and Mainstem of the Red River	47.747675648592384	-96.101780104923165	US_CA	EDU_16	89.644907316109581	4696503.018071190500000	4210175.655636319900000	100.000000000000000	4696503.018071190500000
Eastern Upper Peninsula	46.271564620050434	-85.639200705242729	US_CA	EDU_17	99.994182566529460	1601520.947172980100000	1592826.984897929000000	100.000000000000000	1601520.947172980100000
Gasconade	37.674353816098993	-92.153439825229071	US	EDU_18	99.999999999999957	926177.327077072000000	926177.327077071760000	100.000000000000000	926177.327077072000000
Glaciated Ohio River Tributaries	40.347807567850865	-81.303856837408105	US	EDU_19	90.790650636160095	4588514.741816709700000	4165942.388631533800000	100.000000000000000	4588514.741816709700000
Bayfield Peninsula and Uplands	46.526552357005684	-91.217831492324351	US	EDU_2	100.000000000059490	836453.159541632980000	836453.159160827290000	100.000000000000000	836453.159541632980000
Grand/Chariton	40.206230793628677	-93.518781969913860	US	EDU_20	100.000000000000550	2838225.719570110100000	2838225.719570663800000	100.000000000000000	2838225.719570110100000
Great Miami-Little Miami	39.643575930219370	-84.450014958369749	US	EDU_21	95.453922791268511	2210627.613517819900000	2110130.775409827500000	100.000000000000000	2210627.613517819900000
Illinois River	40.125375463632814	-89.822823831501509	US	EDU_22	100.000000000000000	3782498.051471210100000	3782498.051471141600000	100.000000000000000	3782498.051471210100000
Iowa-Cedar Rivers	42.444703232857222	-92.548450878858517	US	EDU_23	99.999999999998096	3270902.474890059800000	3270902.474889994100000	100.000000000000000	3270902.474890059800000
Kaskaskia-Big Muddy River	38.684020854767795	-89.208498695653248	US	EDU_24	100.000000000000070	2122551.375157299900000	2122551.375157389800000	100.000000000000000	2122551.375157299900000
Lake Champlain	44.325522789144500	-73.130935704303369	US_CA	EDU_25	99.989108293034903	2143138.020231499800000	2142904.577734091300000	100.000000000000000	2143138.020231499800000
Long Island	40.853164156638115	-72.981038085461876	US	EDU_26	99.999999998255149	653708.941786505050000	653708.941774745360000	99.999999999987139	653708.941786421000000
Lower Connecticut	41.820085055280202	-72.432108072324411	US	EDU_27	99.999999999991573	2512482.781173809900000	2512482.551659209700000	99.897292197815418	2509902.265329000100000
