edu_zoneid	edu_baseflowindex_min	edu_baseflowindex_max	edu_baseflowindex_mean	edu_baseflowindex_std	edu_dep_no3_1985_min	edu_dep_no3_1985_max	edu_dep_no3_1985_mean	edu_dep_no3_1985_std	edu_dep_no3_1990_min	edu_dep_no3_1990_max	edu_dep_no3_1990_mean	edu_dep_no3_1990_std	edu_dep_no3_1995_min	edu_dep_no3_1995_max	edu_dep_no3_1995_mean	edu_dep_no3_1995_std	edu_dep_no3_2000_min	edu_dep_no3_2000_max	edu_dep_no3_2000_mean	edu_dep_no3_2000_std	edu_dep_no3_2005_min	edu_dep_no3_2005_max	edu_dep_no3_2005_mean	edu_dep_no3_2005_std	edu_dep_no3_2010_min	edu_dep_no3_2010_max	edu_dep_no3_2010_mean	edu_dep_no3_2010_std	edu_dep_so4_1985_min	edu_dep_so4_1985_max	edu_dep_so4_1985_mean	edu_dep_so4_1985_std	edu_dep_so4_1990_min	edu_dep_so4_1990_max	edu_dep_so4_1990_mean	edu_dep_so4_1990_std	edu_dep_so4_1995_min	edu_dep_so4_1995_max	edu_dep_so4_1995_mean	edu_dep_so4_1995_std	edu_dep_so4_2000_min	edu_dep_so4_2000_max	edu_dep_so4_2000_mean	edu_dep_so4_2000_std	edu_dep_so4_2005_min	edu_dep_so4_2005_max	edu_dep_so4_2005_mean	edu_dep_so4_2005_std	edu_dep_so4_2010_min	edu_dep_so4_2010_max	edu_dep_so4_2010_mean	edu_dep_so4_2010_std	edu_dep_totaln_1985_min	edu_dep_totaln_1985_max	edu_dep_totaln_1985_mean	edu_dep_totaln_1985_std	edu_dep_totaln_1990_min	edu_dep_totaln_1990_max	edu_dep_totaln_1990_mean	edu_dep_totaln_1990_std	edu_dep_totaln_1995_min	edu_dep_totaln_1995_max	edu_dep_totaln_1995_mean	edu_dep_totaln_1995_std	edu_dep_totaln_2000_min	edu_dep_totaln_2000_max	edu_dep_totaln_2000_mean	edu_dep_totaln_2000_std	edu_dep_totaln_2005_min	edu_dep_totaln_2005_max	edu_dep_totaln_2005_mean	edu_dep_totaln_2005_std	edu_dep_totaln_2010_min	edu_dep_totaln_2010_max	edu_dep_totaln_2010_mean	edu_dep_totaln_2010_std	edu_groundwaterrecharge_min	edu_groundwaterrecharge_max	edu_groundwaterrecharge_mean	edu_groundwaterrecharge_std	edu_prism_ppt_30yr_normal_800mm2_annual_min	edu_prism_ppt_30yr_normal_800mm2_annual_max	edu_prism_ppt_30yr_normal_800mm2_annual_mean	edu_prism_ppt_30yr_normal_800mm2_annual_std	edu_prism_tmax_30yr_normal_800mm2_annual_min	edu_prism_tmax_30yr_normal_800mm2_annual_max	edu_prism_tmax_30yr_normal_800mm2_annual_mean	edu_prism_tmax_30yr_normal_800mm2_annual_std	edu_prism_tmean_30yr_normal_800mm2_annual_min	edu_prism_tmean_30yr_normal_800mm2_annual_max	edu_prism_tmean_30yr_normal_800mm2_annual_mean	edu_prism_tmean_30yr_normal_800mm2_annual_std	edu_prism_tmin_30yr_normal_800mm2_annual_min	edu_prism_tmin_30yr_normal_800mm2_annual_max	edu_prism_tmin_30yr_normal_800mm2_annual_mean	edu_prism_tmin_30yr_normal_800mm2_annual_std	edu_runoff_min	edu_runoff_max	edu_runoff_mean	edu_runoff_std	edu_surficialgeology_alluv_ha	edu_surficialgeology_alluv_pct	edu_surficialgeology_beach_ha	edu_surficialgeology_beach_pct	edu_surficialgeology_colluv_ha	edu_surficialgeology_colluv_pct	edu_surficialgeology_dec_resid_ha	edu_surficialgeology_dec_resid_pct	edu_surficialgeology_eolian_ha	edu_surficialgeology_eolian_pct	edu_surficialgeology_gf_out_ha	edu_surficialgeology_gf_out_pct	edu_surficialgeology_grus_ha	edu_surficialgeology_grus_pct	edu_surficialgeology_ice_ha	edu_surficialgeology_ice_pct	edu_surficialgeology_lac_ha	edu_surficialgeology_lac_pct	edu_surficialgeology_lac_clay_ha	edu_surficialgeology_lac_clay_pct	edu_surficialgeology_marine_ha	edu_surficialgeology_marine_pct	edu_surficialgeology_open_water_ha	edu_surficialgeology_open_water_pct	edu_surficialgeology_other_ha	edu_surficialgeology_other_pct	edu_surficialgeology_peat_mrsh_ha	edu_surficialgeology_peat_mrsh_pct	edu_surficialgeology_saprol_ha	edu_surficialgeology_saprol_pct	edu_surficialgeology_solif_ha	edu_surficialgeology_solif_pct	edu_surficialgeology_solut_ha	edu_surficialgeology_solut_pct	edu_surficialgeology_till_clay_ha	edu_surficialgeology_till_clay_pct	edu_surficialgeology_till_loam_ha	edu_surficialgeology_till_loam_pct	edu_surficialgeology_till_oth_ha	edu_surficialgeology_till_oth_pct	edu_surficialgeology_till_sand_ha	edu_surficialgeology_till_sand_pct
1	EDU_1	29	46	37.2609	3.4074	16.2358	28.5202	20.5538	2.1758	15.2695	24.9769	19.0179	1.8388	12.7225	20.4973	15.3661	1.479	12.8805	23.2777	17.3047	1.6573	7.3074	13.2915	10.6993	1.0541	5.47	11.1537	7.9164	0.8348	28.2749	50.7292	35.4787	3.809	25.4495	42.8627	32.0021	2.4311	15.999	24.6334	19.1856	1.6235	18.094	31.4019	23.6043	2.0708	11.9983	20.5807	16.3857	1.5032	6.348	12.7472	9.8258	1.0793	5.6501	9.7852	7.0392	0.7009	5.4514	8.8723	6.7679	0.6132	4.5624	7.4606	5.5189	0.5174	4.7207	8.4013	6.2822	0.5766	2.7472	5.1726	4.1952	0.4353	2.1529	4.3682	3.4057	0.4068	126	313	217.9463	50.2862	939.1412	1501.2831	1122.7345	95.7745	12.2802	17.3739	15.342	1.2471	7.5357	11.5184	9.5797	0.984	1.4767	5.944	3.8124	0.8779	15.9794	30.1753	22.9225	3.8556	4327.7779	0.3262	0	0	1309513.1095	98.7034	0	0	0	0	0	0	0	0	0	0	9479.2372	0.7145	0	0	0	0	3394.9692	0.2559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	EDU_10	27	74	53.2242	11.5606	8.0586	13.1399	11.0371	1.1036	8.6121	12.8542	10.8524	0.7134	8.9133	14.0963	10.9073	0.8321	8.8456	13.9801	11.8169	0.8517	6.0843	10.408	8.2762	0.7323	6.1443	8.8724	7.6916	0.4372	10.7989	18.8254	14.836	1.5675	9.9553	14.7619	12.1828	0.9909	7.208	13.525	10.0379	1.0735	6.543	11.2046	9.4234	0.8523	5.7594	10.3663	7.9009	0.8206	4.7094	7.4071	6.1545	0.5454	3.7192	6.2465	5.1636	0.5224	4.377	6.8793	5.8426	0.4498	3.6978	6.7636	5.2582	0.4878	4.3958	7.3827	6.1255	0.5014	3.3269	5.8881	4.7337	0.439	3.6831	5.5852	4.7043	0.2954	66	248	141.5767	50.2153	758.8774	909.1085	826.5162	23.1762	9.9001	13.77	11.7559	0.8855	4.0326	8.3965	5.8678	0.9112	-2.2079	3.0521	-0.0253	0.9704	5.5736	14.1582	10.3691	2.1649	8145.1966	0.2662	0	0	314488.4812	10.2782	0	0	0	0	652683.5207	21.3312	0	0	47040.1398	1.5374	0	0	1191.396	0.0389	0	0	15423.7993	0.5041	0	0	148969.6168	4.8687	0	0	0	0	0	0	0	0	1871813.4215	61.1753	0	0	0	0
3	EDU_11	18	39	31.3623	5.9742	9.3996	15.0864	11.4287	1.5741	11.7609	15.1627	13.4797	0.8021	10.6263	12.6812	11.4105	0.4142	9.0573	14.0459	10.911	1.3307	7.0424	10.9295	8.5116	0.9816	5.8459	7.9228	6.574	0.5588	16.5844	30.9208	21.4565	3.8535	18.408	26.023	22.0454	2.0922	12.5685	17.3241	14.02	1.1127	10.9147	17.4317	12.9189	1.9496	9.4028	16.0029	11.6707	1.7174	6.7466	9.753	7.6583	0.7843	3.5295	5.762	4.2923	0.5973	5.0162	6.3249	5.6106	0.3195	4.3327	5.3822	4.694	0.2256	3.6094	5.7106	4.3621	0.5812	3.026	4.8917	3.7272	0.4907	2.7853	3.9423	3.1513	0.3011	75	189	147.9745	30.2411	1212.7322	1343.2933	1282.6509	25.5765	20.0178	22.1254	21.0213	0.5734	14.2222	16.4757	15.3946	0.6353	8.2277	11.1596	9.763	0.7172	16.8096	20.4721	18.8481	0.7028	159189.111	56.0099	0	0	0	0	9757.1921	3.433	53545.5793	18.8398	170.4605	0.06	0	0	0	0	0	0	0	0	0	0	61553.5518	21.6573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	EDU_12	37	78	65.5265	7.0648	12.655	18.836	16.1815	1.3028	13.8572	19.2619	16.3407	1.5172	12.2287	15.2219	13.9715	0.4196	9.67	16.5052	12.5354	1.4805	9.0559	12.3671	10.8414	0.6615	6.1895	8.8575	7.8182	0.5317	19.244	28.4632	24.4469	2.0124	21.0022	28.6397	24.5304	2.0498	14.4179	18.1443	16.3782	0.6257	14.8287	21.3593	17.7104	1.3987	13.9844	18.8448	16.8111	0.909	8.2862	13.4072	10.9848	1.2269	4.2236	6.2973	5.3967	0.4409	4.8628	6.7013	5.7078	0.4976	4.4482	5.5736	5.0614	0.173	3.1126	5.6816	4.2445	0.5914	3.7934	5.2561	4.6597	0.3091	3.1271	4.6839	3.8862	0.2852	206	411	334.5425	38.987	720.1859	1206.603	1129.3885	41.3524	10.8676	18.7337	17.7846	0.6906	11.7943	13.2893	12.5478	0.3209	5.5365	9.7297	7.3052	0.7572	11.5623	22.1002	19.8249	1.0112	160931.6246	20.4998	15124.6014	1.9266	0	0	426024.7974	54.2679	0	0	0	0	0	0	0	0	0	0	0	0	26087.4895	3.3231	4595.3937	0.5854	0	0	152276.3783	19.3973	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	EDU_13	44	75	61.8921	6.7627	7.4339	14.7371	10.1788	1.8437	8.1323	14.4256	11.5854	0.9934	8.4863	16.3076	11.7876	1.4392	10.3725	16.008	13.2855	1.3311	8.1531	12.5798	10.1917	1.0466	7.6771	10.8442	8.9168	0.4717	10.1675	21.4961	13.9329	2.9676	9.0557	17.1494	13.426	1.4986	7.6545	16.6148	11.114	1.6957	7.9825	14.2003	11.1249	1.5373	8.2117	12.9232	10.1606	0.9793	5.7251	9.7604	7.4199	0.7309	3.3788	6.3271	4.5756	0.7097	4.4276	7.8972	6.2531	0.5434	4.1922	7.5816	5.7535	0.6406	5.4678	7.9703	6.749	0.5475	4.5269	7.6192	5.8112	0.7135	4.7761	6.4816	5.5936	0.276	59	171	119.2446	27.7262	780.8983	948.2587	866.0655	28.7434	11.6262	14.495	12.9578	0.4796	5.9898	8.9233	7.4464	0.4413	-0.0465	3.9506	1.9299	0.5432	5.0113	9.6177	7.5735	1.3315	187902.5833	4.9374	0	0	1906666.6569	50.0999	0	0	741.1633	0.0195	332468.158	8.736	0	0	0	0	7497.0215	0.197	33366.006	0.8767	0	0	51224.1871	1.346	0	0	0	0	0	0	0	0	0	0	176510.8104	4.638	1109355.3766	29.1496	0	0	0	0
6	EDU_14	36	79	61.3342	8.0913	11.593	15.3989	13.1889	0.7511	9.9212	12.5469	11.3356	0.4662	9.2969	16.5322	12.24	1.1819	10.8062	14.4913	12.5254	0.6088	6.8971	10.2007	8.8311	0.4987	5.8369	9.5549	7.5065	0.6681	16.1521	21.0487	18.4985	0.7974	11.559	15.604	13.9229	0.7759	8.4024	16.795	11.8638	1.5098	9.1995	12.8259	10.841	0.5764	6.6184	9.7326	8.6376	0.4751	4.8389	8.681	6.7311	0.7323	5.2665	6.4944	5.7584	0.2207	5.0581	6.3219	5.7095	0.2053	4.1316	7.699	5.5195	0.6325	5.0897	7.0834	5.9556	0.301	3.6405	5.4707	4.6574	0.2945	3.1124	5.5886	4.256	0.4552	71	231	161.9588	34.9149	746.0423	902.6592	796.3266	26.5052	10.02	13.7766	12.311	0.778	4.469	7.9793	6.627	0.9419	-1.6477	2.9443	0.938	1.1763	7.6868	12.6517	10.2488	1.0739	0	0	0	0	0	0	0	0	0	0	624316.2967	26.5647	0	0	34904.4615	1.4852	25456.4714	1.0832	572505.4185	24.3602	0	0	70720.022	3.0091	0	0	0	0	0	0	0	0	0	0	110738.395	4.7119	911530.8526	38.7857	0	0	0	0
7	EDU_15	22	43	35.9099	3.0955	15.1219	32.7015	23.2712	2.7142	16.4645	26.4651	21.1092	2.0056	12.3818	21.7631	15.4066	1.1669	16.8873	23.8796	20.3606	1.42	8.0869	16.1935	12.3275	1.1819	6.0529	11.1203	8.3803	0.9073	23.1409	51.7152	36.6542	4.5543	25.1821	42.1469	33.4944	3.6106	14.7664	26.3247	18.6795	1.5561	21.2121	30.1423	25.9952	1.9708	10.6349	18.5259	15.1636	1.3806	7.8091	14.5723	10.9464	1.2417	5.3163	11.702	8.2302	0.9963	5.8726	9.5892	7.569	0.7373	4.4843	7.7596	5.5653	0.4171	6.155	8.6708	7.3891	0.5134	3.2027	6.086	4.7713	0.4377	2.9084	5.5552	4.0155	0.4716	114	262	185.6447	31.1743	322.8367	1311.7756	1073.217	87.3129	4.7005	14.9735	13.5019	0.6453	6.4139	10.058	8.4146	0.8346	0.54	5.5669	3.3206	1.1496	13.3941	25.3314	20.3752	2.6466	5474.5807	0.7251	0	0	0	0	0	0	0	0	22458.4049	2.9744	0	0	20169.1382	2.6712	150624.1509	19.9486	54036.5509	7.1566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47271.1962	6.2606	455027.5808	60.2636	0	0	0	0
8	EDU_16	17	72	40.9193	12.2794	3.9905	9.3222	6.5416	0.8793	3.2525	6.2433	4.5326	0.6031	4.389	8.3995	5.8706	0.7685	6.255	10.5598	7.9987	0.8262	4.2635	9.9676	7.1162	0.9745	4.7745	7.1155	5.9273	0.4716	4.4057	11.2089	7.7849	1.1418	2.8619	5.3649	3.9317	0.5082	3.5122	6.177	4.5059	0.495	3.9028	7.5941	5.7521	0.7543	3.1292	8.2374	5.7338	0.9165	3.5727	5.0008	4.25	0.293	2.2096	4.6266	3.2869	0.3953	2.0252	3.6487	2.6287	0.3056	2.5268	4.2101	3.2069	0.3097	3.8753	5.9938	4.4873	0.3578	2.8866	5.984	4.3752	0.5457	3.0957	4.8974	4.1321	0.3214	3	91	30.8622	19.8466	509.5801	676.1035	604.9334	34.7726	8.5973	11.9058	10.2394	0.6271	2.9926	6.0953	4.4184	0.7133	-2.9261	0.3092	-1.4076	0.8196	0.6196	6.3299	2.9437	1.3892	179265.2169	3.8175	0	0	366.7586	0.0078	0	0	20345.7937	0.4333	272567.4114	5.8044	0	0	0	0	779912.1528	16.6085	928080.483	19.7638	0	0	136562.3525	2.9081	0	0	419668.7319	8.937	0	0	0	0	0	0	504680.2339	10.7473	1444803.7856	30.7675	9616.2486	0.2048	0	0
9	EDU_17	61	80	69.7781	2.5688	10.8576	16.1293	14.2516	1.0472	7.9939	13.3102	10.5838	1.3562	8.9983	19.0645	13.757	2.2783	8.5582	15.0713	11.7342	0.9409	7.2988	10.5681	9.0663	0.5168	5.1015	7.4715	6.0689	0.4466	14.4698	21.0458	18.5072	1.2018	9.7575	15.6894	12.8828	1.5365	8.4228	17.5792	12.6679	2.1179	7.0734	12.4033	9.4625	0.8279	7.2463	10.6714	9.2849	0.5356	4.4264	6.9265	5.741	0.3755	4.4897	6.47	5.6915	0.3436	3.6466	5.752	4.7504	0.4656	3.8945	7.9513	5.7895	0.8654	3.9529	6.738	4.9251	0.521	3.4959	4.9496	4.2143	0.2485	2.8136	4.2245	3.4328	0.2069	201	362	303.7726	28.3802	718.5383	933.1363	826.1296	32.7812	9.0434	11.7598	10.603	0.3733	4.4147	6.4217	5.2553	0.3114	-1.3201	2.4633	-0.0975	0.5656	12.619	19.8924	17.2903	1.5068	0	0	0	0	0	0	0	0	1275.8714	0.082	223190.9767	14.3375	0	0	0	0	464704.148	29.8519	144069.3089	9.2548	0	0	12425.1014	0.7982	0	0	270494.6724	17.3762	0	0	0	0	0	0	0	0	440537.2447	28.2995	0	0	0	0
10	EDU_18	12	43	28.8076	6.8861	13.7983	17.4017	15.287	0.745	11.9148	15.2973	14.2807	0.782	10.2845	13.9247	12.2637	0.587	7.7876	14.1041	9.441	1.0867	8.5922	10.9101	9.9543	0.4544	6.8318	10.1361	8.1401	0.8654	22.8996	30.4136	26.0627	1.4267	16.1103	22.5489	20.647	1.4762	12.3867	16.4359	14.5331	0.6719	7.8748	13.6643	9.5018	0.8897	10.3969	13.7454	12.4794	0.6196	7.558	11.7741	9.1376	1.0974	5.5747	6.9375	6.1086	0.2764	5.1935	6.8534	6.3116	0.3781	4.7836	6.4043	5.6713	0.2649	3.2729	6.045	3.9787	0.4914	4.2072	5.6106	4.8985	0.3045	3.3698	5.2376	4.1188	0.4882	25	133	82.3063	24.9264	1102.3173	1197.2761	1146.3113	16.2867	18.4049	19.6086	19.0719	0.1804	12.3478	13.2034	12.8616	0.1542	5.3155	7.3577	6.6462	0.273	8.4616	13.2159	11.1675	1.0842	116800.9634	12.6111	0	0	0	0	310732.0324	33.55	524.3509	0.0566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498119.9804	53.7824	0	0	0	0	0	0	0	0
