attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	minimum	maximum	missingValueCode	missingValueCodeExplanation
edu_zoneid			character	unique zone (edu) identifier	unique zone (edu) identifier	character	NA	NA		
edu_canalditchdensity_sum_lengthm		meter	real		sum of all canals and ditches within the zone	numeric	0	21551385.04		
edu_canalditchdensity_density_mperha		metersPerHectare	real		canal and ditch density defined as the sum of all canals and ditches within the zone divided by the area of the zone	numeric	0	8.07		
edu_lakes_avgsize_ha		hectare	real		average surface area of lakes >= 4 ha in zone	numeric	11.44	35761.62		
edu_lakes_overlapping_area_ha		hectare	real		the sum of the area of lakes >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	181.87	269078.53		
edu_lakes_contributing_area_ha		hectare	real		the sum of the surface area of lakes >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	181.87	16391860.52		
edu_lakes_overlapping_area_pct		dimensionless	real		the percent of the area of lakes >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0.03	16.26		
edu_lakes_count		dimensionless	natural		count of lakes >= 4 ha in zone	numeric	10	3449		
edu_lakes_isolated_avgsize_ha		hectare	real		average surface area of isolated lakes (no inlet or outlet) >= 4 ha in zone	numeric	5.85	27.11	NA	not available
edu_lakes_isolated_overlapping_area_ha		hectare	real		the sum of the area of isolated lakes (no inlet or outlet) >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	34462.29		
edu_lakes_isolated_contributing_area_ha		hectare	real		the sum of the surface area of isolated lakes (no inlet or outlet) >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	0	34462.29		
edu_lakes_isolated_overlapping_area_pct		dimensionless	real		the percent of the area of isolated lakes (no inlet or outlet) >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	1.02		
edu_lakes_isolated_count		dimensionless	whole		count of isolated lakes (no inlet or outlet) >= 4 ha in zone	numeric	0	1733		
edu_lakes_headwater_avgsize_ha		hectare	real		average surface area of headwater lakes (no inflowing streams) >=4 ha in zone	numeric	4.21	192.31	NA	not available
edu_lakes_headwater_overlapping_area_ha		hectare	real		the sum of the area of headwater lakes (no inflowing streams) >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	18019.57		
edu_lakes_headwater_contributing_area_ha		hectare	real		the sum of the surface area of headwater lakes (no inflowing streams) >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	0	36220.61		
edu_lakes_headwater_overlapping_area_pct		dimensionless	real		the percent of the area of headwater lakes (no inflowing streams) >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	0.7		
edu_lakes_headwater_count		dimensionless	whole		count of headwater lakes (no inflowing streams) >= 4 ha in zone	numeric	0	492		
edu_lakes_drstream_avgsize_ha		hectare	real		average surface area of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >= 10 ha) >= 4 ha in zone	numeric	10.24	180.31		
edu_lakes_drstream_overlapping_area_ha		hectare	real		the sum of the area of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >=10 ha) >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	172.16	63470.02		
edu_lakes_drstream_contributing_area_ha		hectare	real		the sum of the surface area of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >= 10 ha) >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	172.16	63470.02		
edu_lakes_drstream_overlapping_area_pct		dimensionless	real		the percent of the area of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >= 10 ha) >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0.02	1.35		
edu_lakes_drstream_count		dimensionless	natural		count of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >= 10 ha) >= 4 ha in zone	numeric	5	863		
edu_lakes_drlakestream_avgsize_ha		hectare	real		average surface area of DRLakeStream lakes (drainage-lake-stream with inflowing stream(s) and at least one upstream lake >= 10 ha) >=4 ha in zone	numeric	4.6	251754.76	NA	not available
edu_lakes_drlakestream_overlapping_area_ha		hectare	real		the sum of the area of DRLakeStream lakes (drainage-lake-stream with inflowing stream(s) and at least one upstream lake  >= 10 ha) >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	195584.68		
edu_lakes_drlakestream_contributing_area_ha		hectare	real		the sum of the surface area of DRLakeStream lakes (drainage-lake-stream with inflowing stream(s) and at least one upstream lake  >= 10 ha) >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	0	16375378.34		
edu_lakes_drlakestream_overlapping_area_pct		dimensionless	real		the percent of the area of DRLakeStream lakes (drainage-lake-stream with inflowing stream(s) and at least one upstream lake >= 10 ha) >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	16.22		
edu_lakes_drlakestream_count		dimensionless	whole		count of all DRLakeStream lakes (drainage-lake-stream with inflowing stream(s) and at least one upstream lake  >= 10 ha) >= 4 ha in zone	numeric	0	753		
