edu_zoneid	edu_canopy2001_min	edu_canopy2001_max	edu_canopy2001_mean	edu_canopy2001_std	edu_damdensity_pointcount	edu_damdensity_pointsperha	edu_damdensity_pointspersqkm	edu_nlcd1992_ha_0	edu_nlcd1992_pct_0	edu_nlcd1992_ha_11	edu_nlcd1992_pct_11	edu_nlcd1992_ha_21	edu_nlcd1992_pct_21	edu_nlcd1992_ha_22	edu_nlcd1992_pct_22	edu_nlcd1992_ha_23	edu_nlcd1992_pct_23	edu_nlcd1992_ha_31	edu_nlcd1992_pct_31	edu_nlcd1992_ha_32	edu_nlcd1992_pct_32	edu_nlcd1992_ha_33	edu_nlcd1992_pct_33	edu_nlcd1992_ha_41	edu_nlcd1992_pct_41	edu_nlcd1992_ha_42	edu_nlcd1992_pct_42	edu_nlcd1992_ha_43	edu_nlcd1992_pct_43	edu_nlcd1992_ha_51	edu_nlcd1992_pct_51	edu_nlcd1992_ha_61	edu_nlcd1992_pct_61	edu_nlcd1992_ha_71	edu_nlcd1992_pct_71	edu_nlcd1992_ha_81	edu_nlcd1992_pct_81	edu_nlcd1992_ha_82	edu_nlcd1992_pct_82	edu_nlcd1992_ha_83	edu_nlcd1992_pct_83	edu_nlcd1992_ha_85	edu_nlcd1992_pct_85	edu_nlcd1992_ha_91	edu_nlcd1992_pct_91	edu_nlcd1992_ha_92	edu_nlcd1992_pct_92	edu_nlcd2001_ha_0	edu_nlcd2001_pct_0	edu_nlcd2001_ha_11	edu_nlcd2001_pct_11	edu_nlcd2001_ha_21	edu_nlcd2001_pct_21	edu_nlcd2001_ha_22	edu_nlcd2001_pct_22	edu_nlcd2001_ha_23	edu_nlcd2001_pct_23	edu_nlcd2001_ha_24	edu_nlcd2001_pct_24	edu_nlcd2001_ha_31	edu_nlcd2001_pct_31	edu_nlcd2001_ha_41	edu_nlcd2001_pct_41	edu_nlcd2001_ha_42	edu_nlcd2001_pct_42	edu_nlcd2001_ha_43	edu_nlcd2001_pct_43	edu_nlcd2001_ha_52	edu_nlcd2001_pct_52	edu_nlcd2001_ha_71	edu_nlcd2001_pct_71	edu_nlcd2001_ha_81	edu_nlcd2001_pct_81	edu_nlcd2001_ha_82	edu_nlcd2001_pct_82	edu_nlcd2001_ha_90	edu_nlcd2001_pct_90	edu_nlcd2001_ha_95	edu_nlcd2001_pct_95	edu_nlcd2006_ha_0	edu_nlcd2006_pct_0	edu_nlcd2006_ha_11	edu_nlcd2006_pct_11	edu_nlcd2006_ha_21	edu_nlcd2006_pct_21	edu_nlcd2006_ha_22	edu_nlcd2006_pct_22	edu_nlcd2006_ha_23	edu_nlcd2006_pct_23	edu_nlcd2006_ha_24	edu_nlcd2006_pct_24	edu_nlcd2006_ha_31	edu_nlcd2006_pct_31	edu_nlcd2006_ha_41	edu_nlcd2006_pct_41	edu_nlcd2006_ha_42	edu_nlcd2006_pct_42	edu_nlcd2006_ha_43	edu_nlcd2006_pct_43	edu_nlcd2006_ha_52	edu_nlcd2006_pct_52	edu_nlcd2006_ha_71	edu_nlcd2006_pct_71	edu_nlcd2006_ha_81	edu_nlcd2006_pct_81	edu_nlcd2006_ha_82	edu_nlcd2006_pct_82	edu_nlcd2006_ha_90	edu_nlcd2006_pct_90	edu_nlcd2006_ha_95	edu_nlcd2006_pct_95	edu_nlcd2011_ha_0	edu_nlcd2011_pct_0	edu_nlcd2011_ha_11	edu_nlcd2011_pct_11	edu_nlcd2011_ha_21	edu_nlcd2011_pct_21	edu_nlcd2011_ha_22	edu_nlcd2011_pct_22	edu_nlcd2011_ha_23	edu_nlcd2011_pct_23	edu_nlcd2011_ha_24	edu_nlcd2011_pct_24	edu_nlcd2011_ha_31	edu_nlcd2011_pct_31	edu_nlcd2011_ha_41	edu_nlcd2011_pct_41	edu_nlcd2011_ha_42	edu_nlcd2011_pct_42	edu_nlcd2011_ha_43	edu_nlcd2011_pct_43	edu_nlcd2011_ha_52	edu_nlcd2011_pct_52	edu_nlcd2011_ha_71	edu_nlcd2011_pct_71	edu_nlcd2011_ha_81	edu_nlcd2011_pct_81	edu_nlcd2011_ha_82	edu_nlcd2011_pct_82	edu_nlcd2011_ha_90	edu_nlcd2011_pct_90	edu_nlcd2011_ha_95	edu_nlcd2011_pct_95	edu_roaddensity_sum_lengthm	edu_roaddensity_density_mperha	edu_slope_min	edu_slope_max	edu_slope_mean	edu_slope_std	edu_tri_min	edu_tri_max	edu_tri_mean	edu_tri_std
EDU_1	0	100	53.2808	36.7654	160	0.0001	0.0121	0.0000	0.0000	10216.8900	0.7701	43171.8300	3.2540	2003.8500	0.1510	11479.1400	0.8652	0.0000	0.0000	18339.9300	1.3824	2706.1200	0.2040	762540.0300	57.4758	35287.3800	2.6598	96351.9300	7.2624	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	294283.3500	22.1813	42780.5100	3.2245	0.0000	0.0000	2160.4500	0.1628	3930.4800	0.2963	1463.6700	0.1103	0.0000	0.0000	14714.6400	1.1091	97987.7700	7.3857	44735.7600	3.3719	20904.8400	1.5757	6362.7300	0.4796	10026.8100	0.7558	817819.0200	61.6424	30958.2000	2.3334	8112.7800	0.6115	28.9800	0.0022	2608.2000	0.1966	220232.7900	16.5998	50738.4900	3.8244	845.3700	0.0637	639.1800	0.0482	0.0000	0.0000	14617.8900	1.1018	99424.8000	7.4941	46018.2600	3.4686	21496.7700	1.6203	6485.7600	0.4889	11798.5500	0.8893	813960.2700	61.3515	30832.3800	2.3240	8010.7200	0.6038	94.6800	0.0071	2900.1600	0.2186	219723.1200	16.5614	49850.1900	3.7574	831.6900	0.0627	670.3200	0.0505	0.0000	0.0000	14576.4000	1.0987	99049.4100	7.4658	45813.6900	3.4532	24089.6700	1.8157	7467.2100	0.5628	12723.5700	0.9590	807384.6900	60.8559	30577.9500	2.3048	7929.7200	0.5977	741.2400	0.0559	5873.6700	0.4427	218433.2400	16.4642	50455.9800	3.8031	880.6500	0.0664	718.4700	0.0542	49579024.5571	37.3698	0.0000	86.0993	8.9621	6.5679	0.0000	234.1966	1.2617	0.9603
EDU_10	0	100	46.4432	42.0703	234	0.0000	0.0076	0.0000	0.0000	95331.5100	3.1157	7222.3200	0.2360	1502.2800	0.0491	9662.8500	0.3158	0.0000	0.0000	630.1800	0.0206	6357.6000	0.2078	1157779.0800	37.8389	113255.1900	3.7014	223355.7900	7.2998	0.0000	0.0000	0.0000	0.0000	10829.3400	0.3539	553466.0700	18.0886	543281.7600	17.7557	0.0000	0.0000	4884.3000	0.1596	254193.7500	8.3077	78003.0000	2.5493	0.0000	0.0000	106024.6800	3.4651	115349.5800	3.7699	23037.9300	0.7529	4234.4100	0.1384	1733.0400	0.0566	184.2300	0.0060	1192710.0600	38.9806	82394.1900	2.6928	119956.8600	3.9205	51980.6700	1.6989	44437.6800	1.4523	188119.3500	6.1482	664993.0800	21.7335	386421.7500	12.6292	78177.5100	2.5550	0.0000	0.0000	105213.5100	3.4386	116372.2500	3.8033	24139.5300	0.7889	4861.5300	0.1589	1876.0500	0.0613	334.1700	0.0109	1186963.3800	38.7928	81994.7700	2.6798	118788.3900	3.8823	56134.6200	1.8346	46250.5500	1.5116	187351.4700	6.1231	664436.9700	21.7154	385880.0400	12.6115	79157.7900	2.5871	0.0000	0.0000	105816.6900	3.4583	120966.3900	3.9535	22655.2500	0.7404	6400.6200	0.2092	2183.3100	0.0714	502.5600	0.0164	1170784.8000	38.2640	82739.5200	2.7041	116586.5400	3.8103	67052.8800	2.1914	52453.3500	1.7143	186957.0900	6.1102	660490.4700	21.5864	383841.5400	12.5448	80324.0100	2.6252	48181439.7850	15.7468	0.0000	65.8706	2.7544	3.8767	0.0000	26.7074	0.3817	0.5448
EDU_11	0	97	22.1647	33.5277	4	0.1811	0.0014	0.0000	0.0000	61597.9800	21.6730	1281.4200	0.4509	1039.1400	0.3656	1245.4200	0.4382	447.8400	0.1576	17.5500	0.0062	223.5600	0.0787	17368.7400	6.1111	558.0000	0.1963	5591.6100	1.9674	0.0000	0.0000	0.0000	0.0000	1437.1200	0.5056	12078.3600	4.2497	100699.1100	35.4306	2986.3800	1.0507	1113.5700	0.3918	75711.2400	26.6387	818.0100	0.2878	0.0000	0.0000	60852.1500	21.4106	6454.0800	2.2708	1410.3000	0.4962	1420.0200	0.4996	864.4500	0.3042	877.7700	0.3088	21625.9200	7.6090	471.3300	0.1658	324.4500	0.1142	2552.4000	0.8981	716.9400	0.2523	3999.2400	1.4071	110885.9400	39.0148	68084.0100	23.9551	3676.0500	1.2934	0.0000	0.0000	59779.1700	21.0331	6547.5900	2.3037	1457.4600	0.5128	1474.5600	0.5188	879.5700	0.3095	1747.4400	0.6148	21266.3700	7.4825	467.3700	0.1644	323.7300	0.1139	2630.1600	0.9254	784.0800	0.2759	3971.7000	1.3974	108834.3000	38.2929	70479.1800	24.7978	3572.3700	1.2569	0.0000	0.0000	60398.1000	21.2508	6584.8500	2.3169	1503.4500	0.5290	1884.4200	0.6630	1059.1200	0.3726	1107.4500	0.3897	21360.9600	7.5158	492.4800	0.1733	321.2100	0.1130	2619.0000	0.9215	760.5900	0.2676	3951.4500	1.3903	108085.8600	38.0296	69417.8100	24.4244	4668.3000	1.6425	3172023.1542	11.1606	0.0000	61.6036	1.4531	3.1409	0.0000	14.0128	0.2108	0.4502
EDU_12	0	100	32.6729	38.3605	162	0.0002	0.0166	0.0000	0.0000	232884.2700	23.8270	63849.4200	6.5326	12071.5200	1.2351	11404.8000	1.1669	2212.7400	0.2264	6757.6500	0.6914	2759.5800	0.2823	106170.2100	10.8625	88643.8800	9.0694	177072.7500	18.1167	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	81968.5800	8.3864	37248.1200	3.8109	0.0000	0.0000	8311.0500	0.8503	78065.0100	7.9870	67978.6200	6.9551	1.6200	0.0002	229597.4700	23.4907	73791.6300	7.5498	51066.4500	5.2247	22564.4400	2.3086	9229.5900	0.9443	8719.7400	0.8921	117526.7700	12.0245	74125.1700	7.5839	37316.6100	3.8180	18439.9200	1.8866	1716.0300	0.1756	18564.3000	1.8994	77363.4600	7.9152	157037.9400	16.0669	80337.0600	8.2195	1.6200	0.0002	229046.8500	23.4343	75464.2800	7.7209	53273.2500	5.4505	24001.2900	2.4556	9524.9700	0.9745	9243.9900	0.9458	116504.1000	11.9198	75557.0700	7.7304	36838.8900	3.7691	16117.2000	1.6490	2268.1800	0.2321	18351.0000	1.8775	75965.5800	7.7722	154884.4200	15.8466	80355.5100	8.2214	1.6200	0.0002	229904.2800	23.5221	75254.5800	7.6995	52321.5000	5.3531	26661.5100	2.7278	10422.0900	1.0663	9358.7400	0.9575	103408.1100	10.5799	59756.9400	6.1139	35056.0800	3.5867	19891.6200	2.0352	4975.0200	0.5090	16818.4800	1.7207	75318.4800	7.7060	176613.6600	18.0698	81635.4900	8.3523	30279889.3026	30.9801	0.0000	38.7654	0.9379	1.2907	0.0000	7.3613	0.1394	0.1831
EDU_13	0	100	24.2979	37.5931	315	0.0000	0.0083	0.0000	0.0000	78501.3300	2.0627	18881.8200	0.4961	7485.5700	0.1967	30294.0900	0.7960	89.1000	0.0023	1242.0000	0.0326	362.8800	0.0095	990943.6500	26.0381	16100.2800	0.4231	34701.2100	0.9118	4.4100	0.0001	1.8900	0.0003	27971.6400	0.7350	1153626.2100	30.3128	1324578.4200	34.8048	239.1300	0.0063	11142.9900	0.2928	60357.1500	1.5860	49214.3400	1.2932	0.0000	0.0000	92699.9100	2.4358	157805.6400	4.1465	67860.8100	1.7831	15258.6900	0.4009	4595.6700	0.1208	1307.8800	0.0344	1027475.4600	26.9981	22334.9400	0.5869	3874.7700	0.1018	21246.4800	0.5583	208798.3800	5.4864	584785.3500	15.3659	1493184.6900	39.2351	64594.3500	1.6973	39915.0900	1.0488	0.0000	0.0000	91422.0900	2.4022	159643.5300	4.1948	70201.3500	1.8446	17132.4000	0.4502	5026.0500	0.1321	1513.8900	0.0398	1026562.5900	26.9741	22173.7500	0.5826	3870.9900	0.1017	21729.8700	0.5710	207005.4000	5.4393	583198.8300	15.3242	1488540.2400	39.1131	65710.1700	1.7266	42006.9600	1.1038	0.0000	0.0000	94863.6000	2.4926	161624.3400	4.2469	70142.1300	1.8431	21598.2900	0.5675	5831.6400	0.1532	1936.7100	0.0509	1024291.4400	26.9144	22662.2700	0.5955	3839.8500	0.1009	21702.9600	0.5703	200920.2300	5.2794	581283.9900	15.2739	1489955.5800	39.1502	64802.8800	1.7028	40282.2000	1.0585	73764960.0582	19.3826	0.0000	73.4744	6.5537	6.9848	0.0000	28.1506	0.9231	1.0085
EDU_14	0	100	36.4182	42.6772	135	0.0002	0.0057	0.0000	0.0000	116856.9900	4.9692	21877.2000	0.9303	6777.9000	0.2882	15659.8200	0.6659	32.4900	0.0014	490.8600	0.0209	1527.3900	0.0649	610129.7100	25.9448	74880.0900	3.1842	100146.7800	4.2586	23.4900	0.0010	15.2100	0.0006	37587.6000	1.5984	395864.8200	16.8335	658518.3900	28.0025	119.0700	0.0051	9525.1500	0.4050	244580.7600	10.4004	57029.0400	2.4251	0.0000	0.0000	117077.9400	4.9786	92369.0700	3.9279	54759.4200	2.3286	15099.0300	0.6421	7693.1100	0.3271	1206.9000	0.0513	583067.4300	24.7940	40861.1700	1.7376	51354.6300	2.1838	11759.9400	0.5001	11465.2800	0.4875	212913.0900	9.0538	665451.6300	28.2973	382585.2300	16.2688	103978.8900	4.4215	0.0000	0.0000	116891.6400	4.9706	96894.1800	4.1203	57686.9400	2.4530	17252.1000	0.7336	8109.3600	0.3448	1711.8900	0.0728	580414.0500	24.6812	40692.2400	1.7304	50842.8000	2.1620	11813.8500	0.5024	15037.4700	0.6394	210865.1400	8.9667	658390.3200	27.9970	381411.6300	16.2189	103629.1500	4.4067	0.0000	0.0000	117423.5400	4.9933	100939.0500	4.2923	55836.3600	2.3744	20385.1800	0.8668	7070.2200	0.3007	2523.9600	0.1073	572761.8000	24.3558	40539.4200	1.7239	50373.0900	2.1420	15747.8400	0.6697	17752.6800	0.7549	209803.6800	8.9216	653898.7800	27.8060	378835.0200	16.1094	107752.1400	4.5820	45554775.5866	19.3715	0.0000	63.5902	1.8417	2.5273	0.0000	19.0745	0.2548	0.3499
EDU_15	0	100	42.5036	41.6936	48	0.0001	0.0063	17.1000	0.0023	7443.5400	0.9803	42514.4700	5.5993	10144.5300	1.3361	13213.2600	1.7402	3.4200	0.0005	1302.1200	0.1715	116.0100	0.0153	186105.7800	24.5109	7653.1500	1.0080	137704.5900	18.1363	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	262979.3700	34.6355	69122.8800	9.1038	0.0000	0.0000	12445.2900	1.6391	6859.2600	0.9034	1652.9400	0.2177	34.6500	0.0046	7261.4700	0.9564	52128.4500	6.8655	43573.1400	5.7388	17145.3600	2.2581	8130.6000	1.0708	1777.5900	0.2341	259228.6200	34.1415	21861.3600	2.8792	26060.1300	3.4322	17403.5700	2.2921	7768.7100	1.0232	133853.4900	17.6291	127084.9500	16.7376	32922.0900	4.3360	3043.5300	0.4008	34.6500	0.0046	7264.2600	0.9567	53186.2200	7.0048	44488.7100	5.8593	17723.7900	2.3343	8334.9900	1.0978	1835.2800	0.2417	257500.1700	33.9138	21805.0200	2.8718	25944.9300	3.4171	17344.7100	2.2844	7750.5300	1.0208	133282.0800	17.5538	126784.0800	16.6980	32900.0400	4.3331	3098.2500	0.4081	34.6500	0.0046	7425.3600	0.9780	54406.7100	7.1656	44615.8800	5.8761	19614.9600	2.5834	8837.3700	1.1639	2361.8700	0.3111	244063.1700	32.1441	22565.7900	2.9720	20692.1700	2.7252	14545.4400	1.9157	7547.4000	0.9940	128718.3600	16.9527	124561.1700	16.4052	52919.8200	6.9698	6367.5900	0.8386	23756007.7845	31.2878	0.0000	71.7234	3.2116	4.2718	0.0000	34.7166	0.4508	0.6167
EDU_16	0	100	17.1976	32.1873	130	0.0062	0.0028	0.0000	0.0000	246919.4100	5.2575	10157.3100	0.2163	4859.1900	0.1035	19138.3200	0.4075	74.4300	0.0016	2790.4500	0.0594	6826.6800	0.1454	511688.1600	10.8950	15271.2000	0.3252	12045.7800	0.2565	14397.7500	0.3066	0.0000	0.0000	685.5300	0.0146	404798.1300	8.6191	2266986.2400	48.2694	355268.6100	7.5645	7981.0200	0.1699	474159.6900	10.0960	342477.0900	7.2921	106.5600	0.0023	256671.0000	5.4651	172306.5300	3.6688	31179.4200	0.6639	6461.2800	0.1376	2506.9500	0.0534	856.0800	0.0182	511082.1000	10.8821	40978.5300	0.8725	2137.3200	0.0455	21663.0000	0.4613	54933.1200	1.1697	312283.0800	6.6492	2467919.3400	52.5478	403479.4500	8.5910	411961.2300	8.7716	106.5600	0.0023	263046.8700	5.6009	173289.4200	3.6897	31914.9900	0.6795	7278.7500	0.1550	2684.9700	0.0572	1428.7500	0.0304	509229.0900	10.8427	40237.6500	0.8568	2155.1400	0.0459	22225.5000	0.4732	55134.9000	1.1740	311352.5700	6.6294	2453432.5800	52.2393	403148.6100	8.5840	419858.6400	8.9398	106.5600	0.0023	263730.2400	5.6154	179260.4700	3.8169	30901.0500	0.6580	9643.5000	0.2053	3095.1000	0.0659	1482.2100	0.0316	503703.1800	10.7250	39454.8300	0.8401	1942.1100	0.0414	22868.9100	0.4869	54910.8000	1.1692	306805.9500	6.5326	2454862.5900	52.2698	401424.5700	8.5473	422332.9200	8.9925	74536621.4165	15.8707	0.0000	50.3705	1.0450	1.9109	0.0000	10.8873	0.1627	0.2713
EDU_17	0	100	59.1037	31.5608	39	0.0114	0.0024	314.1000	0.0197	91503.3600	5.7444	689.3100	0.0433	1089.3600	0.0684	4042.4400	0.2538	1580.0400	0.0992	1804.7700	0.1133	12457.5300	0.7821	345447.7200	21.6864	244413.2700	15.3437	116226.1800	7.2964	0.0000	0.0000	0.0000	0.0000	24051.0600	1.5099	40291.3800	2.5294	42704.3700	2.6809	0.0000	0.0000	882.1800	0.0554	547530.4800	34.3726	117897.5700	7.4013	82.8000	0.0052	68193.4500	4.2810	36987.7500	2.3220	13173.3900	0.8270	2564.3700	0.1610	582.0300	0.0365	7179.8400	0.4507	417748.3200	26.2252	193938.7500	12.1750	58866.8400	3.6955	8817.9300	0.5536	68102.1900	4.2753	37189.0800	2.3346	21457.8000	1.3471	560423.8800	35.1821	97616.7000	6.1281	82.8000	0.0052	68357.9700	4.2913	37101.0600	2.3291	13234.5000	0.8308	2586.3300	0.1624	587.3400	0.0369	7254.5400	0.4554	413583.4800	25.9638	189559.3500	11.9001	58324.1400	3.6614	12722.4000	0.7987	73230.4800	4.5972	37205.3700	2.3357	21492.0900	1.3492	559077.3900	35.0975	98525.8800	6.1852	82.8000	0.0052	68529.2400	4.3021	37143.0900	2.3318	13369.4100	0.8393	2955.3300	0.1855	649.1700	0.0408	6935.2200	0.4354	403583.7600	25.3360	182490.8400	11.4563	57422.7900	3.6049	43496.9100	2.7306	56698.0200	3.5594	37579.5900	2.3592	24155.0100	1.5164	555476.6700	34.8715	102357.2700	6.4257	21399539.6750	13.4342	0.0000	71.6481	1.3807	2.4543	0.0000	26.2027	0.1927	0.3450
EDU_18	0	100	50.6578	40.4543	43	0.0005	0.0046	0.0000	0.0000	6195.8700	0.6690	4128.0300	0.4457	397.9800	0.0430	1599.9300	0.1727	343.0800	0.0370	374.4000	0.0404	65.0700	0.0070	492594.0300	53.1859	34039.4400	3.6753	46241.3700	4.9927	720.7200	0.0778	0.0000	0.0000	13982.7600	1.5097	303735.5100	32.7947	14560.3800	1.5721	1634.4900	0.1765	806.0400	0.0870	4285.6200	0.4627	468.9000	0.0506	0.0000	0.0000	2839.0500	0.3065	36979.2900	3.9927	5887.8900	0.6357	1276.9200	0.1379	300.0600	0.0324	978.3900	0.1056	528903.6300	57.1063	27012.6900	2.9166	14174.3700	1.5304	1894.0500	0.2045	14080.5000	1.5203	279677.8800	30.1971	7713.0000	0.8328	4381.9200	0.4731	73.9800	0.0080	0.0000	0.0000	2887.0200	0.3117	37084.8600	4.0041	6025.3200	0.6506	1348.0200	0.1455	323.7300	0.0350	1507.6800	0.1628	526751.6400	56.8740	26936.6400	2.9084	14093.2800	1.5217	1805.4900	0.1949	15836.5800	1.7099	279238.7700	30.1497	7761.2400	0.8380	4376.9700	0.4726	196.3800	0.0212	0.0000	0.0000	2954.9700	0.3191	37127.3400	4.0087	6499.5300	0.7018	1861.3800	0.2010	409.3200	0.0442	1399.1400	0.1511	524266.4700	56.6056	26831.8800	2.8971	14042.7900	1.5162	2057.0400	0.2221	16114.1400	1.7399	279941.4000	30.2256	8080.2900	0.8724	4387.9500	0.4738	199.9800	0.0216	20451276.4100	22.0814	0.0000	67.4907	6.2401	4.8182	0.0000	19.4369	0.8612	0.6793
