attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	minimum	maximum	missingValueCode	missingValueCodeExplanation
edu_zoneid			character	the unique identifier for the zone	the unique identifier for the zone	character	NA	NA		
edu_canopy2001_min		dimensionless	whole		minimum tree canopy cover within the zone in 2001	numeric	0	0		
edu_canopy2001_max		dimensionless	natural		maximum tree canopy cover within the zone in 2001	numeric	97	100		
edu_canopy2001_mean		dimensionless	real		mean tree canopy cover within the zone in 2001	numeric	0.59	76.69		
edu_canopy2001_std		dimensionless	real		standard deviation of tree canopy cover within the zone in 2001	numeric	6.3	43.17		
edu_damdensity_pointcount		dimensionless	natural		number of dams in zone	numeric	3	1384		
edu_damdensity_pointsperha		numberPerHectare	real		dam density in zone, calculated as the number of dams divided by the area of the zone	numeric	0	0.18		
edu_damdensity_pointspersqkm		numberPerKilometerSquared	real		dam density in zone, calculated as the number of dams divided by the area of the zone	numeric	0	0.06		
edu_nlcd1992_ha_0		hectare	real		area of zone with no land use/land cover data in 1992	numeric	0	1872.99		
edu_nlcd1992_pct_0		dimensionless	real		percent of zone with no land use/land cover data in 1992	numeric	0	0.21		
edu_nlcd1992_ha_11		hectare	real		area of zone classified as open water in 1992	numeric	797.76	579828.24		
edu_nlcd1992_pct_11		dimensionless	real		percent of zone classified as open water in 1992	numeric	0.44	41.59		
edu_nlcd1992_ha_21		hectare	real		area of zone classified as residential, low intensity in 1992	numeric	291.6	258645.69		
edu_nlcd1992_pct_21		dimensionless	real		percent of zone classified as residential, low intensity in 1992	numeric	0.03	22.93		
edu_nlcd1992_ha_22		hectare	real		area of zone classified as residential, high intensity in 1992	numeric	21.69	143825.13		
edu_nlcd1992_pct_22		dimensionless	real		percent of zone classified as residential, high intensity in 1992	numeric	0.01	7.22		
edu_nlcd1992_ha_23		hectare	real		area of zone classified as commercial/industrial/transportation in 1992	numeric	132.84	80186.49		
edu_nlcd1992_pct_23		dimensionless	real		percent of zone classified as commercial/industrial/transportation in 1992	numeric	0.14	5.12		
edu_nlcd1992_ha_31		hectare	real		area of zone classified as bare rock/sand/clay in 1992	numeric	0	9567.81		
edu_nlcd1992_pct_31		dimensionless	real		percent of zone classified as bare rock/sand/clay in 1992	numeric	0	3.07		
edu_nlcd1992_ha_32		hectare	real		area of zone classified as quarries/strip mines/gravel pits in 1992	numeric	17.55	24210.36		
edu_nlcd1992_pct_32		dimensionless	real		percent of zone classified as quarries/strip mines/gravel pits in 1992	numeric	0.01	1.87		
edu_nlcd1992_ha_33		hectare	real		area of zone classified as transitional (barren) in 1992	numeric	0	107454.06		
edu_nlcd1992_pct_33		dimensionless	real		percent of zone classified as transitional (barren) in 1992	numeric	0	3.34		
edu_nlcd1992_ha_41		hectare	real		area of zone classified as deciduous forest in 1992	numeric	6082.38	2108929.77		
edu_nlcd1992_pct_41		dimensionless	real		percent of zone classified as deciduous forest in 1992	numeric	1.19	63.18		
edu_nlcd1992_ha_42		hectare	real		area of zone classified as evergreen forest in 1992	numeric	4.23	1232441.01		
edu_nlcd1992_pct_42		dimensionless	real		percent of zone classified as evergreen forest in 1992	numeric	0	25.89		
edu_nlcd1992_ha_43		hectare	real		area of zone classified as mixed forest in 1992	numeric	38.97	1507413.69		
edu_nlcd1992_pct_43		dimensionless	real		percent of zone classified as mixed forest in 1992	numeric	0.01	33.44		
edu_nlcd1992_ha_51		hectare	real		area of zone classified as shrubland in 1992	numeric	0	38866.95		
edu_nlcd1992_pct_51		dimensionless	real		percent of zone classified as shrubland in 1992	numeric	0	3.02		
edu_nlcd1992_ha_61		hectare	real		area of zone classified as orchards/vineyards/other in 1992	numeric	0	1885.32		
edu_nlcd1992_pct_61		dimensionless	real		percent of zone classified as orchards/vineyards/other in 1992	numeric	0	0.08		
edu_nlcd1992_ha_71		hectare	real		area of zone classified as grasslands/herbaceous in 1992	numeric	0	244581.84		
edu_nlcd1992_pct_71		dimensionless	real		percent of zone classified as grasslands/herbaceous in 1992	numeric	0	6.38		
edu_nlcd1992_ha_81		hectare	real		area of zone classified as pasture/hay in 1992	numeric	3273.3	1314235.53		
edu_nlcd1992_pct_81		dimensionless	real		percent of zone classified as pasture/hay in 1992	numeric	0.24	55.83		
edu_nlcd1992_ha_82		hectare	real		area of zone classified as row crops in 1992	numeric	459.09	2519360.55		
edu_nlcd1992_pct_82		dimensionless	real		percent of zone classified as row crops in 1992	numeric	0.15	81.02		
edu_nlcd1992_ha_83		hectare	real		area of zone classified as small grains  in 1992	numeric	0	355268.61		
edu_nlcd1992_pct_83		dimensionless	real		percent of zone classified as small grains in 1992	numeric	0	7.56		
edu_nlcd1992_ha_85		hectare	real		area of zone classified as urban/recreational grasses in 1992	numeric	162.27	81619.2		
edu_nlcd1992_pct_85		dimensionless	real		percent of zone classified as urban/recreational grasses in 1992	numeric	0.02	6.1		
edu_nlcd1992_ha_91		hectare	real		area of zone classified as woody wetlands in 1992. The equivalent code for the 2001, 2006 and 2011 NLCD dataset is 90.	numeric	984.69	599451.93		
edu_nlcd1992_pct_91		dimensionless	real		percent of zone classified as woody wetlands in 1992. The equivalent code for the 2001, 2006 and 2011 NLCD dataset is 90.	numeric	0.09	61.73		
edu_nlcd1992_ha_92		hectare	real		area of zone classified as emergent herbaceous wetlands in 1992. The equivalent code for the 2001, 2006, and 2011 NLCD datasets is 95.	numeric	468.9	342477.09		
edu_nlcd1992_pct_92		dimensionless	real		percent of zone classified as emergent herbaceous wetlands in 1992. The equivalent code for the 2001, 2006, and 2011 NLCD datasets is 95.	numeric	0.04	11.16		
edu_nlcd2001_ha_0		hectare	real		area of zone with no land use/land cover data in 2001	numeric	0	221.04		
edu_nlcd2001_pct_0		dimensionless	real		percent of zone with no land use/land cover data in 2001	numeric	0	0.02		
edu_nlcd2001_ha_11		hectare	real		area of zone with open water in 2001	numeric	1114.47	547186.77		
edu_nlcd2001_pct_11		dimensionless	real		percent of zone with open water in 2001	numeric	0.31	40.61		
edu_nlcd2001_ha_21		hectare	real		area of zone classified as residential, low intensity in 2001	numeric	5161.05	382163.4		
edu_nlcd2001_pct_21		dimensionless	real		percent of zone classified as residential, low intensity in 2001	numeric	0.8	14.08		
edu_nlcd2001_ha_22		hectare	real		area of zone classified as residential, high intensity in 2001	numeric	1131.21	343698.3		
