attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	minimum	maximum	missingValueCode	missingValueCodeExplanation
hu12_zoneid			character	the unique identifier for the zone	the unique identifier for the zone	character	NA	NA		
hu12_canopy2001_min		dimensionless	whole		minimum tree canopy cover within the zone in 2001	numeric	0	20	NA	not available
hu12_canopy2001_max		dimensionless	natural		maximum tree canopy cover within the zone in 2001	numeric	31	100	NA	not available
hu12_canopy2001_mean		dimensionless	real		mean tree canopy cover within the zone in 2001	numeric	0	95.97	NA	not available
hu12_canopy2001_std		dimensionless	real		standard deviation of tree canopy cover within the zone in 2001	numeric	0.14	46.9	NA	not available
hu12_damdensity_pointcount		dimensionless	whole		number of dams in zone	numeric	0	49	NA	not available
hu12_damdensity_pointsperha		numberPerHectare	real		dam density in zone, calculated as the number of dams divided by the area of the zone	numeric	0	0.74	NA	not available
hu12_damdensity_pointspersqkm		numberPerKilometerSquared	real		dam density in zone, calculated as the number of dams divided by the area of the zone	numeric	0	0.35	NA	not available
hu12_nlcd1992_ha_0		hectare	real		area of zone with no land use/land cover data in 1992	numeric	0	9.36	NA	not available
hu12_nlcd1992_pct_0		dimensionless	real		percent of zone with no land use/land cover data in 1992	numeric	0	0.13	NA	not available
hu12_nlcd1992_ha_11		hectare	real		area of zone classified as open water in 1992	numeric	0	66571.02	NA	not available
hu12_nlcd1992_pct_11		dimensionless	real		percent of zone classified as open water in 1992	numeric	0	99.6	NA	not available
hu12_nlcd1992_ha_21		hectare	real		area of zone classified as residential, low intensity in 1992	numeric	0	14060.97	NA	not available
hu12_nlcd1992_pct_21		dimensionless	real		percent of zone classified as residential, low intensity in 1992	numeric	0	71.76	NA	not available
hu12_nlcd1992_ha_22		hectare	real		area of zone classified as residential, high intensity in 1992	numeric	0	13966.29	NA	not available
hu12_nlcd1992_pct_22		dimensionless	real		percent of zone classified as residential, high intensity in 1992	numeric	0	74.03	NA	not available
hu12_nlcd1992_ha_23		hectare	real		area of zone classified as commercial/industrial/transportation in 1992	numeric	0	7370.28	NA	not available
hu12_nlcd1992_pct_23		dimensionless	real		percent of zone classified as commercial/industrial/transportation in 1992	numeric	0	52.86	NA	not available
hu12_nlcd1992_ha_31		hectare	real		area of zone classified as bare rock/sand/clay in 1992	numeric	0	1641.06	NA	not available
hu12_nlcd1992_pct_31		dimensionless	real		percent of zone classified as bare rock/sand/clay in 1992	numeric	0	52.01	NA	not available
hu12_nlcd1992_ha_32		hectare	real		area of zone classified as quarries/strip mines/gravel pits in 1992	numeric	0	3162.33	NA	not available
hu12_nlcd1992_pct_32		dimensionless	real		percent of zone classified as quarries/strip mines/gravel pits in 1992	numeric	0	51.15	NA	not available
hu12_nlcd1992_ha_33		hectare	real		area of zone classified as transitional (barren) in 1992	numeric	0	4446	NA	not available
hu12_nlcd1992_pct_33		dimensionless	real		percent of zone classified as transitional (barren) in 1992	numeric	0	29.48	NA	not available
hu12_nlcd1992_ha_41		hectare	real		area of zone classified as deciduous forest in 1992	numeric	0.09	36024.21	NA	not available
hu12_nlcd1992_pct_41		dimensionless	real		percent of zone classified as deciduous forest in 1992	numeric	0	97.59	NA	not available
hu12_nlcd1992_ha_42		hectare	real		area of zone classified as evergreen forest in 1992	numeric	0	15331.59	NA	not available
hu12_nlcd1992_pct_42		dimensionless	real		percent of zone classified as evergreen forest in 1992	numeric	0	65.56	NA	not available
hu12_nlcd1992_ha_43		hectare	real		area of zone classified as mixed forest in 1992	numeric	0	14939.28	NA	not available
hu12_nlcd1992_pct_43		dimensionless	real		percent of zone classified as mixed forest in 1992	numeric	0	71.73	NA	not available
hu12_nlcd1992_ha_51		hectare	real		area of zone classified as shrubland in 1992	numeric	0	1898.73	NA	not available
hu12_nlcd1992_pct_51		dimensionless	real		percent of zone classified as shrubland in 1992	numeric	0	26.61	NA	not available
hu12_nlcd1992_ha_61		hectare	real		area of zone classified as orchards/vineyards/other in 1992	numeric	0	291.6	NA	not available
hu12_nlcd1992_pct_61		dimensionless	real		percent of zone classified as orchards/vineyards/other in 1992	numeric	0	6.17	NA	not available
hu12_nlcd1992_ha_71		hectare	real		area of zone classified as grasslands/herbaceous in 1992	numeric	0	5146.74	NA	not available
hu12_nlcd1992_pct_71		dimensionless	real		percent of zone classified as grasslands/herbaceous in 1992	numeric	0	45.11	NA	not available
hu12_nlcd1992_ha_81		hectare	real		area of zone classified as pasture/hay in 1992	numeric	0	11838.87	NA	not available
hu12_nlcd1992_pct_81		dimensionless	real		percent of zone classified as pasture/hay in 1992	numeric	0	84.8	NA	not available
hu12_nlcd1992_ha_82		hectare	real		area of zone classified as row crops in 1992	numeric	0	20201.67	NA	not available
hu12_nlcd1992_pct_82		dimensionless	real		percent of zone classified as row crops in 1992	numeric	0	99.05	NA	not available
hu12_nlcd1992_ha_83		hectare	real		area of zone classified as small grains  in 1992	numeric	0	4925.88	NA	not available
hu12_nlcd1992_pct_83		dimensionless	real		percent of zone classified as small grains in 1992	numeric	0	49.46	NA	not available
hu12_nlcd1992_ha_85		hectare	real		area of zone classified as urban/recreational grasses in 1992	numeric	0	4472.1	NA	not available
hu12_nlcd1992_pct_85		dimensionless	real		percent of zone classified as urban/recreational grasses in 1992	numeric	0	31.38	NA	not available
hu12_nlcd1992_ha_91		hectare	real		area of zone classified as woody wetlands in 1992. The equivalent code for the 2001, 2006 and 2011 NLCD dataset is 90.	numeric	0	48474.09	NA	not available
hu12_nlcd1992_pct_91		dimensionless	real		percent of zone classified as woody wetlands in 1992. The equivalent code for the 2001, 2006 and 2011 NLCD dataset is 90.	numeric	0	98.86	NA	not available
hu12_nlcd1992_ha_92		hectare	real		area of zone classified as emergent herbaceous wetlands in 1992. The equivalent code for the 2001, 2006, and 2011 NLCD datasets is 95.	numeric	0	13566.96	NA	not available
hu12_nlcd1992_pct_92		dimensionless	real		percent of zone classified as emergent herbaceous wetlands in 1992. The equivalent code for the 2001, 2006, and 2011 NLCD datasets is 95.	numeric	0	59.35	NA	not available
hu12_nlcd2001_ha_0		hectare	real		area of zone with no land use/land cover data in 2001	numeric	0	1.35	NA	not available
