hu4_states	hu4	hu4_name	hu4_ha	hu4_pct_in_nwi	hu4_ha_in_nwi	hu4_lat	hu4_long	hu4_zoneid
CN,ME	0101	St. John	1890275.027443590100000	99.986982487800475	1890028.952957269700000	46.708706328586160	-68.838761125742593	HU4_1
MA,CT,RI	0109	Massachusetts-Rhode Island Coastal	1149780.197007790000000	99.999999999977206	1149780.219090885700000	41.927852846732740	-71.123100596101054	HU4_10
CT	0110	Connecticut Coastal	1177296.343006300000000	99.999999999779178	1177296.343008967100000	41.698235135876814	-72.811955598500049	HU4_11
MA,NY,NJ	0202	Upper Hudson	3280477.012168990000000	99.999999999992966	3280477.012109769000000	42.760221742634037	-74.122903372959357	HU4_12
NJ,NY,CT	0203	Lower Hudson-Long Island	1571657.489841080000000	99.999932348468207	1571656.662888983300000	40.830681073956335	-73.728693664293772	HU4_13
DE,NJ,PA	0204	Delaware-Mid Atlantic Coastal	3996561.496685709800000	97.485633193993252	3791418.206035723900000	40.564911445550671	-75.105877487612062	HU4_16
NY,CN	0414	Southeastern Lake Ontario	1756117.935565630000000	100.000000000000030	1756117.595779108800000	43.053835858928217	-76.471439638027135	HU4_17
PA,NY	0205	Susquehanna	7122313.743962810400000	98.976587712450510	7049423.110073820700000	41.259818173557413	-76.903215619416216	HU4_18
ME,CN	0102	Penobscot	2231315.108437050100000	99.995744628991744	2231220.157461207400000	45.581091344648300	-68.896451271173120	HU4_2
MD,VA,DC,WV	0207	Potomac	1500777.363153370100000	27.335107536118336	410239.106063631540000	39.540781841068551	-78.197023514323604	HU4_20
MD,PA,WV	0502	Monongahela	837751.903379900960000	81.521628212255365	682948.991938714990000	39.934602670441372	-79.667416240852972	HU4_21
PA,NY	0501	Allegheny	3037082.709916200000000	99.999999999992937	3037082.710133838900000	41.384107671264232	-79.187399084642081	HU4_22
NY,CN	0413	Southwestern Lake Ontario	911206.139350999960000	100.000000000022710	911206.139332126240000	42.786749111486309	-78.018957082563105	HU4_23
MI	0402	Southern Lake Superior-Lake Superior	1864593.054346849900000	100.000000000000880	1864593.055387516000000	46.630538666666880	-88.006711615673410	HU4_24
MN	0701	Mississippi Headwaters	5208655.521027379700000	100.000000000000000	5208655.518209032700000	46.242897412400374	-94.244654863877827	HU4_25
MN,CN	0903	Rainy	2926256.847280969800000	99.990693980863895	2925983.712317254900000	48.164444899154049	-93.249674112255420	HU4_26
WI	0705	Chippewa	2470307.887528929900000	99.999999999998508	2470307.887817672900000	45.414872273199073	-91.098088176228913	HU4_27
MN,CN	0401	Western Lake Superior	2368813.000603320100000	99.994564133662038	2368684.217810235500000	47.053486825047116	-91.629165822639152	HU4_28
MN,WI	0703	St. Croix	1999384.118548410000000	100.000000000019060	1999384.118441444400000	45.856369822081646	-92.506030237221907	HU4_29
ME,CN	0105	Maine Coastal	1992147.249309130000000	99.989141936197697	1991930.947855660900000	44.561810992528017	-68.321930978137857	HU4_3
MI	0406	Northeastern Lake Michigan-Lake Michigan	2913004.989034059900000	99.999999999999986	2913004.986644086000000	44.618102116453997	-85.641003362787927	HU4_30
MI,CN	0407	Northwestern Lake Huron	1830250.589426460000000	99.994936914230721	1830157.753838771500000	45.248928738143654	-84.223651744279522	HU4_31
WI,MI	0403	Northwestern Lake Michigan	4847042.265713220500000	100.000000000000400	4847042.265373120100000	45.100234375196656	-88.233231805764575	HU4_32
WI,MI	0707	Wisconsin	3090691.100549039900000	100.000000000004310	3090691.100220691900000	44.420987528975857	-89.909297073193528	HU4_33
IL,WI	0709	Rock	2827592.803432220100000	100.000000000000090	2827592.803619738200000	42.494911591715791	-89.290521612626733	HU4_34
IL,WI,IN	0404	Southwestern Lake Michigan	514722.402056374010000	100.000000000011700	514722.402154068110000	42.640558884095555	-87.672622377102499	HU4_35
IL	0712	Upper Illinois	2830975.332216150100000	100.000000000002880	2830975.330440586900000	41.541220381913426	-87.794508659957245	HU4_36
IN,MI	0405	Southeastern Lake Michigan	3348668.875644729900000	99.999999999997385	3348668.875154545500000	42.414793553106655	-85.314569397646423	HU4_37
IL,IN	0512	Wabash	8535348.579837849400000	100.000000000002910	8535348.579540833800000	39.628250451328029	-86.811846408061555	HU4_38
MI,CN	0409	St. Clair-Detroit	1021624.133565529900000	99.975013365193561	1021368.977806206600000	42.687956729112038	-83.157115773213974	HU4_39
CN,ME	0103	Kennebec	1526477.137904339900000	99.989642452373388	1526319.032257053500000	45.054408719281440	-69.932946010333865	HU4_4
CN,MI	0408	Southwestern Lake Huron-Lake Huron	2366449.675824069900000	99.999999999999957	2366449.678309208200000	43.573944158778282	-83.886381335901021	HU4_40
IN,MI,OH	0410	Western Lake Erie	3074719.453877879800000	99.999999999991587	3074719.453373748300000	41.285224864330090	-83.912337699384835	HU4_41
CN,MI,NY,OH,PA	0412	Lake Erie	759275.084072184050000	99.995395701994454	759240.133257965320000	42.569465816056947	-79.016969618710391	HU4_42
OH	0411	Southern Lake Erie	787182.761370670980000	99.999999999983189	787182.761301273950000	41.418969080724942	-81.429061812858862	HU4_43
OH	0504	Muskingum	2084941.700659370000000	100.000000000000000	2084941.700622114600000	40.350607106170365	-81.860840617982319	HU4_44
OH	0506	Scioto	1686672.858801550000000	100.000000000000030	1686672.858772685800000	39.784504474288688	-83.146697394119798	HU4_45
IN	0508	Great Miami	1390028.146821399900000	99.999999999993193	1390028.146809441700000	39.878645744990607	-84.484459311711134	HU4_46
OH,PA	0503	Upper Ohio	2870547.201630160200000	78.962364203367201	2266651.935952896700000	40.181073942394043	-80.966177381044275	HU4_47
IN,OH,KY	0509	Middle Ohio	2003375.688770490000000	76.670687255960814	1536001.908875853100000	38.975922048037248	-83.620776455044364	HU4_48
IL,KY,IN	0514	Lower Ohio	2263328.487231859900000	66.973026371137763	1515819.584464599100000	37.925165210984439	-87.244260720707814	HU4_49
CN,ME,NY	0415	Northeastern Lake Ontario-Lake Ontario-St. Lawrence	4195330.498955779700000	99.990163420105361	4194671.830878066800000	44.294277662706136	-74.049176785979029	HU4_5
IL	0713	Lower Illinois	4635376.244819750100000	100.000000000000000	4635376.244396094200000	40.303501817126723	-89.674060489040599	HU4_50
IL	0714	Upper Mississippi-Kaskaskia-Meramec	4426195.966137779900000	99.999849096486741	4426189.286795457800000	38.286827813385337	-89.846601737320455	HU4_51
AR,TN,KY	0801	Lower Mississippi-Hatchie	284215.895492165990000	14.686335577945050	41740.900117578167000	36.007401094320812	-89.669251406587620	HU4_52
IA,MN	0702	Minnesota	4405294.000796450300000	90.102456079946862	3969278.090801689800000	44.681422049718329	-95.208228103403414	HU4_53
CN,ND,MN	0902	Red	5206758.059850229900000	87.895269656682231	4576493.691975615000000	47.569455362662069	-96.134434340735609	HU4_54
MN,WI	0704	Upper Mississippi-Black-Root	2787250.838361510100000	100.000000000000160	2787250.839334298400000	44.249020726553290	-91.895873194278693	HU4_55
IA,MN	0710	Des Moines	3744020.003922860100000	100.000000000002050	3744020.003886306700000	42.217404700237758	-94.098709902333894	HU4_56
IA	0708	Upper Mississippi-Iowa-Skunk-Wapsipinicon	5940274.040251970300000	100.000000000001380	5940274.040110467900000	42.068132076749102	-92.188977848762448	HU4_57
IA,MN,SD,NE	1017	Missouri-Big Sioux	1320324.026221890000000	54.642442081551266	721457.291417781030000	43.550485319251010	-96.441009157932527	HU4_58
IA	0706	Upper Mississippi-Maquoketa-Plum	2225654.258248679800000	99.999999999992596	2225654.257766048400000	42.816684393819578	-91.147851506116396	HU4_59
ME,CN	0104	Androscoggin	913414.926327827970000	99.991215350912881	913334.685988049370000	44.582616406322622	-70.690963794587930	HU4_6
IL,MO,IA	0711	Upper Mississippi-Salt	2611028.324232069800000	99.999999999994486	2611028.324056648600000	39.700070886764642	-91.599506805410599	HU4_60
IA	1023	Missouri-Little Sioux	2425923.292024789800000	85.758166108580596	2080427.326068722200000	42.427781035078766	-95.744077013041860	HU4_61
MO,IA	1028	Chariton-Grand	2838225.719545850100000	99.999999999998096	2838225.719472800400000	40.206230793629111	-93.518781968850163	HU4_62
IA,KS,NE	1024	Missouri-Nishnabotna	2795053.728312380100000	86.564569002475423	2419526.213235931900000	40.619914424312121	-95.080567723388469	HU4_63
MO,KS	1030	Lower Missouri	2679772.652818270000000	98.467449702405347	2638703.788979099100000	38.911633389797771	-92.872554454168679	HU4_64
MO,KS	1029	Gasconade-Osage	4256729.658875240000000	87.071077844870004	3706380.394894020600000	37.951546399481330	-93.388135338221204	HU4_65
AR	0802	Lower Mississippi-St. Francis	2116228.511403080100000	57.037264872388072	1207038.860948815700000	36.312156256104956	-90.151168126791092	HU4_66
AR,MO	1101	Upper White	4203287.600496370300000	65.378652114721433	2748052.777618494800000	36.681822959549962	-92.168548974959080	HU4_67
AR,MO,OK,KS	1107	Neosho-Verdigris	1171928.450044130000000	64.314211815285972	753716.545589682060000	36.952012321455335	-94.404363330576871	HU4_68
CT,MA,NH,CN,VT	0108	Connecticut	2887725.317300209800000	99.995666953651082	2887600.185092597700000	43.238780580730385	-72.325755763737789	HU4_7
ME	0106	Saco	1245404.891289199900000	99.999999418745062	1245404.958280507900000	43.647112078822829	-70.753703074861363	HU4_8
MA,NH	0107	Merrimack	1296697.284804560000000	99.999999999993022	1296697.284706075200000	43.150561237705567	-71.595393950224008	HU4_9
