attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	minimum	maximum	missingValueCode	missingValueCodeExplanation
hu4_zoneid			character	unique zone (HU4) identifier	unique zone (HU4) identifier	character	NA	NA		
hu4_canalditchdensity_sum_lengthm		meter	real		sum of all canals and ditches within the zone	numeric	0	18330326.3		
hu4_canalditchdensity_density_mperha		metersPerHectare	real		canal and ditch density defined as the sum of all canals and ditches within the zone divided by the area of the zone	numeric	0	7.75		
hu4_lakes_avgsize_ha		hectare	real		average surface area of lakes >= 4 ha in zone	numeric	14.8	29391.11		
hu4_lakes_overlapping_area_ha		hectare	real		the sum of the area of lakes >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	2246.28	409319.21		
hu4_lakes_contributing_area_ha		hectare	real		the sum of the surface area of lakes >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	2246.28	10623965.66		
hu4_lakes_overlapping_area_pct		dimensionless	real		the percent of the area of lakes >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0.15	10.64		
hu4_lakes_count		dimensionless	natural		count of lakes >= 4 ha in zone	numeric	66	5152		
hu4_lakes_isolated_avgsize_ha		hectare	real		average surface area of isolated lakes (no inlet or outlet) >= 4 ha in zone	numeric	5.89	20.8		
hu4_lakes_isolated_overlapping_area_ha		hectare	real		the sum of the area of isolated lakes (no inlet or outlet) >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	17.66	44265.24		
hu4_lakes_isolated_contributing_area_ha		hectare	real		the sum of the surface area of isolated lakes (no inlet or outlet) >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	17.66	44280.76		
hu4_lakes_isolated_overlapping_area_pct		dimensionless	real		the percent of the area of isolated lakes (no inlet or outlet) >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	0.91		
hu4_lakes_isolated_count		dimensionless	natural		count of isolated lakes (no inlet or outlet) >= 4 ha in zone	numeric	3	2498		
hu4_lakes_headwater_avgsize_ha		hectare	real		average surface area of headwater lakes (no inflowing streams) >=4 ha in zone	numeric	5.8	212.39		
hu4_lakes_headwater_overlapping_area_ha		hectare	real		the sum of the area of headwater lakes (no inflowing streams) >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	23.18	28114.07		
hu4_lakes_headwater_contributing_area_ha		hectare	real		the sum of the surface area of headwater lakes (no inflowing streams) >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	23.18	40820.32		
hu4_lakes_headwater_overlapping_area_pct		dimensionless	real		the percent of the area of headwater lakes (no inflowing streams) >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0	0.54		
hu4_lakes_headwater_count		dimensionless	natural		count of headwater lakes (no inflowing streams) >= 4 ha in zone	numeric	4	693		
hu4_lakes_drstream_avgsize_ha		hectare	real		average surface area of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >= 10 ha) >= 4 ha in zone	numeric	12.53	162.77		
hu4_lakes_drstream_overlapping_area_ha		hectare	real		the sum of the area of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >=10 ha) >= 4 ha that intersect the zone boundary, divided by the area of the zone. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	662.22	65433.53		
hu4_lakes_drstream_contributing_area_ha		hectare	real		the sum of the surface area of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >= 10 ha) >= 4 ha that are within or intersect the zone boundary; but the intersecting lakes are not clipped to the zone boundary	numeric	662.22	65433.53		
hu4_lakes_drstream_overlapping_area_pct		dimensionless	real		the percent of the area of DRStream lakes (drainage lakes with inflowing stream(s), with or without outflows, and no upstream lakes >= 10 ha) >= 4 ha that intersect the zone boundary. It only includes the portion of each lake that is inside the zone (i.e., the lakes are clipped to the zone boundary)	numeric	0.04	1.26		
