hu8_zoneid	hu8_baseflowindex_min	hu8_baseflowindex_max	hu8_baseflowindex_mean	hu8_baseflowindex_std	hu8_dep_no3_1985_min	hu8_dep_no3_1985_max	hu8_dep_no3_1985_mean	hu8_dep_no3_1985_std	hu8_dep_no3_1990_min	hu8_dep_no3_1990_max	hu8_dep_no3_1990_mean	hu8_dep_no3_1990_std	hu8_dep_no3_1995_min	hu8_dep_no3_1995_max	hu8_dep_no3_1995_mean	hu8_dep_no3_1995_std	hu8_dep_no3_2000_min	hu8_dep_no3_2000_max	hu8_dep_no3_2000_mean	hu8_dep_no3_2000_std	hu8_dep_no3_2005_min	hu8_dep_no3_2005_max	hu8_dep_no3_2005_mean	hu8_dep_no3_2005_std	hu8_dep_no3_2010_min	hu8_dep_no3_2010_max	hu8_dep_no3_2010_mean	hu8_dep_no3_2010_std	hu8_dep_so4_1985_min	hu8_dep_so4_1985_max	hu8_dep_so4_1985_mean	hu8_dep_so4_1985_std	hu8_dep_so4_1990_min	hu8_dep_so4_1990_max	hu8_dep_so4_1990_mean	hu8_dep_so4_1990_std	hu8_dep_so4_1995_min	hu8_dep_so4_1995_max	hu8_dep_so4_1995_mean	hu8_dep_so4_1995_std	hu8_dep_so4_2000_min	hu8_dep_so4_2000_max	hu8_dep_so4_2000_mean	hu8_dep_so4_2000_std	hu8_dep_so4_2005_min	hu8_dep_so4_2005_max	hu8_dep_so4_2005_mean	hu8_dep_so4_2005_std	hu8_dep_so4_2010_min	hu8_dep_so4_2010_max	hu8_dep_so4_2010_mean	hu8_dep_so4_2010_std	hu8_dep_totaln_1985_min	hu8_dep_totaln_1985_max	hu8_dep_totaln_1985_mean	hu8_dep_totaln_1985_std	hu8_dep_totaln_1990_min	hu8_dep_totaln_1990_max	hu8_dep_totaln_1990_mean	hu8_dep_totaln_1990_std	hu8_dep_totaln_1995_min	hu8_dep_totaln_1995_max	hu8_dep_totaln_1995_mean	hu8_dep_totaln_1995_std	hu8_dep_totaln_2000_min	hu8_dep_totaln_2000_max	hu8_dep_totaln_2000_mean	hu8_dep_totaln_2000_std	hu8_dep_totaln_2005_min	hu8_dep_totaln_2005_max	hu8_dep_totaln_2005_mean	hu8_dep_totaln_2005_std	hu8_dep_totaln_2010_min	hu8_dep_totaln_2010_max	hu8_dep_totaln_2010_mean	hu8_dep_totaln_2010_std	hu8_groundwaterrecharge_min	hu8_groundwaterrecharge_max	hu8_groundwaterrecharge_mean	hu8_groundwaterrecharge_std	hu8_prism_ppt_30yr_normal_800mm2_annual_min	hu8_prism_ppt_30yr_normal_800mm2_annual_max	hu8_prism_ppt_30yr_normal_800mm2_annual_mean	hu8_prism_ppt_30yr_normal_800mm2_annual_std	hu8_prism_tmax_30yr_normal_800mm2_annual_min	hu8_prism_tmax_30yr_normal_800mm2_annual_max	hu8_prism_tmax_30yr_normal_800mm2_annual_mean	hu8_prism_tmax_30yr_normal_800mm2_annual_std	hu8_prism_tmean_30yr_normal_800mm2_annual_min	hu8_prism_tmean_30yr_normal_800mm2_annual_max	hu8_prism_tmean_30yr_normal_800mm2_annual_mean	hu8_prism_tmean_30yr_normal_800mm2_annual_std	hu8_prism_tmin_30yr_normal_800mm2_annual_min	hu8_prism_tmin_30yr_normal_800mm2_annual_max	hu8_prism_tmin_30yr_normal_800mm2_annual_mean	hu8_prism_tmin_30yr_normal_800mm2_annual_std	hu8_runoff_min	hu8_runoff_max	hu8_runoff_mean	hu8_runoff_std	hu8_surficialgeology_alluv_ha	hu8_surficialgeology_alluv_pct	hu8_surficialgeology_beach_ha	hu8_surficialgeology_beach_pct	hu8_surficialgeology_colluv_ha	hu8_surficialgeology_colluv_pct	hu8_surficialgeology_dec_resid_ha	hu8_surficialgeology_dec_resid_pct	hu8_surficialgeology_eolian_ha	hu8_surficialgeology_eolian_pct	hu8_surficialgeology_gf_out_ha	hu8_surficialgeology_gf_out_pct	hu8_surficialgeology_grus_ha	hu8_surficialgeology_grus_pct	hu8_surficialgeology_ice_ha	hu8_surficialgeology_ice_pct	hu8_surficialgeology_lac_ha	hu8_surficialgeology_lac_pct	hu8_surficialgeology_lac_clay_ha	hu8_surficialgeology_lac_clay_pct	hu8_surficialgeology_marine_ha	hu8_surficialgeology_marine_pct	hu8_surficialgeology_open_water_ha	hu8_surficialgeology_open_water_pct	hu8_surficialgeology_other_ha	hu8_surficialgeology_other_pct	hu8_surficialgeology_peat_mrsh_ha	hu8_surficialgeology_peat_mrsh_pct	hu8_surficialgeology_saprol_ha	hu8_surficialgeology_saprol_pct	hu8_surficialgeology_solif_ha	hu8_surficialgeology_solif_pct	hu8_surficialgeology_solut_ha	hu8_surficialgeology_solut_pct	hu8_surficialgeology_till_clay_ha	hu8_surficialgeology_till_clay_pct	hu8_surficialgeology_till_loam_ha	hu8_surficialgeology_till_loam_pct	hu8_surficialgeology_till_oth_ha	hu8_surficialgeology_till_oth_pct	hu8_surficialgeology_till_sand_ha	hu8_surficialgeology_till_sand_pct
1	HU8_10	45	50	47.0504	1.2166	7.3065	16.0265	9.7525	1.3226	9.4678	18.0192	11.819	1.2609	7.4779	13.2821	9.0236	1.1663	6.5918	14.1837	8.6821	1.3704	6.344	10.5793	7.489	0.7564	3.6734	5.5408	4.26	0.3528	11.5264	25.2222	15.3383	2.0091	11.9124	22.7902	15.1352	1.8045	7.7542	14.0417	9.4344	1.2926	7.0199	15.2765	9.296	1.5009	8.5414	13.6183	9.9178	0.9176	3.9599	5.8422	4.5836	0.3454	2.581	5.6236	3.42	0.4459	3.4488	6.5495	4.2616	0.4236	2.5724	4.6064	3.114	0.4149	2.2748	4.8655	2.9909	0.4666	2.319	4.0221	2.777	0.3026	1.5785	2.4043	1.8357	0.1582	267	363	285.2186	13.089	975.8458	1621.9049	1112.2787	79.0285	5.8059	10.9088	9.2828	0.678	1.4376	4.8913	3.8018	0.4036	-3.5913	-0.4184	-1.6842	0.4208	23.0121	30.8706	23.8754	0.8399	0	0	0	0	0	0	0	0	0	0	5776.5798	1.4066	0	0	703.6855	0.1713	0	0	27.6743	0.0067	0	0	37651.0789	9.1678	0	0	9503.5153	2.314	0	0	0	0	0	0	0	0	119232.5577	29.0323	0	0	237794.6795	57.9013
2	HU8_100	44	59	50.0571	3.4784	15.6379	23.1998	17.6145	1.4323	18.8546	27.7648	21.8038	1.6799	13.3803	18.7442	14.899	0.9956	15.616	20.9019	18.1634	0.9797	10.5493	14.5621	11.9688	0.6518	7.8331	10.0011	8.5539	0.4472	24.1897	36.0991	27.2838	2.2732	28.5803	42.6418	33.3463	2.7049	16.1475	22.5685	17.7798	1.2239	20.7223	27.6501	23.9498	1.2249	13.9475	20.7731	16.8388	1.2158	9.5405	12.2272	10.4565	0.6177	5.2573	7.7815	5.9155	0.4725	6.5829	9.6652	7.599	0.5713	4.6471	6.5501	5.2432	0.3435	5.5584	7.4916	6.5129	0.37	3.8838	6.1119	4.8771	0.4326	3.687	5.2369	4.2425	0.2982	224	330	262.7649	20.1674	1028.7529	1324.4934	1142.379	56.3193	13.1863	16.8178	15.2281	0.7884	7.5394	11.3229	9.4975	0.6842	1.3316	5.8365	3.7619	0.6919	18.9486	24.9765	20.8974	0.8288	0	0	0	0	61380.8713	16.3654	283799.9642	75.6667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5316.94	1.4176	0	0	0	0	0	0	0	0	22300.5398	5.9458	2267.6311	0.6046	0	0	0	0	0	0
3	HU8_101	43	67	52.0582	2.4251	15.1677	20.3907	16.4223	0.8925	17.1164	24.5875	19.1368	1.2136	13.165	18.1731	14.6449	0.6962	15.2649	19.8089	17.1389	0.8235	10.2621	14.3262	12.0545	0.8994	7.7279	11.0528	8.687	0.4824	23.5179	31.7604	25.4523	1.3782	26.3494	37.8025	29.2167	1.8304	15.7984	21.9644	17.494	0.864	20.493	26.3273	22.8588	0.9782	16.0866	23.7644	18.3888	1.2328	8.9415	12.5249	10.1516	0.5488	5.0761	6.817	5.5033	0.3003	6.0154	8.6438	6.7056	0.4179	4.6663	6.4811	5.1957	0.2335	5.8079	7.2087	6.3245	0.2435	4.3458	6.4386	5.3542	0.5276	4.0848	5.6903	4.6799	0.3133	177	353	264.3093	31.2143	1010.4521	1315.1199	1109.1779	59.294	13.1937	17.1939	16.3043	0.6685	8.6357	11.8618	10.841	0.6391	2.7724	6.6428	5.3726	0.6639	15.8315	26.1521	20.0687	1.8818	0	0	0	0	202051.8249	41.57	185261.2172	38.1155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5835.3561	1.2006	0	0	0	0	0	0	0	0	92904.0194	19.114	0	0	0	0	0	0	0	0
4	HU8_102	46	66	56.0081	3.6827	13.0144	19.7123	16.409	0.9402	16.0677	23.1521	18.3665	0.8616	12.5414	16.6641	14.7203	0.7586	13.8363	17.9895	16.0365	0.6693	11.8599	14.7885	13.2459	0.7019	7.656	10.7705	8.6187	0.4432	19.8746	30.5821	25.1118	1.4048	24.3699	35.5766	27.8618	1.325	15.0577	20.0963	17.6464	0.9956	18.8135	23.924	21.6836	0.8026	18.4931	23.0324	19.8573	0.6717	8.7228	12.1814	9.9158	0.527	4.338	6.5876	5.4769	0.3156	5.7004	8.1603	6.4881	0.3089	4.5881	6.0621	5.3484	0.281	5.0229	6.8383	5.885	0.291	5.3587	7.508	6.3553	0.5249	4.001	6.776	5.4327	0.6276	186	294	247.7677	18.5799	1033.6173	1230.951	1115.5667	40.2976	15.1139	18.8897	17.1861	0.4924	9.7946	13.1645	11.5651	0.3718	4.4616	7.6107	5.9391	0.3181	15.739	21.4256	17.6473	0.9557	790.0235	0.1227	0	0	72698.9878	11.2937	144196.3116	22.4007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11250.3367	1.7477	0	0	0	0	266038.9928	41.3287	0	0	148739.6325	23.1065	0	0	0	0	0	0	0	0
5	HU8_104	37	62	49.0675	3.7086	13.9665	19.8516	15.692	1.1807	15.9853	21.3415	17.6104	0.9367	11.8145	15.8282	13.2143	0.8608	13.8404	17.598	15.3712	0.767	10.7502	13.4061	11.8663	0.5264	7.1403	10.9652	8.0885	0.7354	20.7681	30.8374	23.8203	2.0031	23.8332	32.7737	26.6867	1.5879	14.3082	19.1754	16.0243	1.0329	19.6074	23.7061	21.1897	0.7818	17.2565	23.2802	19.2978	1.2	8.1116	12.3844	9.1378	0.7994	4.6007	6.6229	5.1985	0.4034	5.7049	7.545	6.2753	0.3234	4.3706	5.6999	4.8506	0.2897	4.9612	6.8572	5.7108	0.4174	4.637	6.1934	5.178	0.3244	3.5127	5.6686	4.0557	0.3896	145	251	191.3593	16.1556	1012.5355	1254.8245	1084.3689	39.1038	15.3602	18.8779	17.6239	0.6973	10.1735	12.6808	11.862	0.485	4.7313	7.319	6.0953	0.4087	14.6356	16.5341	15.4494	0.3609	0	0	0	0	36199.8506	14.4165	80070.8672	31.888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118231.9748	47.0856	0	0	16597.4369	6.6099	0	0	0	0	0	0	0	0
6	HU8_105	32	42	39.494	1.8941	13.9137	26.8577	17.9445	2.7738	10.7101	20.1238	15.1104	2.0076	12.5702	21.8907	15.0687	1.8199	10.6865	18.6295	13.7259	1.2575	6.1874	13.5799	7.9673	1.1543	5.0177	11.9071	6.4616	1.1945	23.7218	52.0908	31.9174	5.899	18.4064	35.0733	25.4656	3.4311	15.4022	25.939	18.3989	2.1171	14.8172	25.9171	18.8518	1.7117	9.8216	20.7548	12.745	1.692	5.8751	13.5072	7.5214	1.3438	4.7234	8.9904	6.0719	0.9246	3.8459	7.024	5.3828	0.6884	4.485	7.9682	5.4544	0.6696	3.949	6.8707	5.0273	0.4522	2.51	5.258	3.1087	0.4589	2.1275	4.6236	2.644	0.4477	125	305	224.7202	42.812	904.1271	1440.3684	1050.976	106.2486	12.3879	18.6192	15.8247	1.6026	7.1944	12.258	9.9134	1.2213	1.5555	5.9303	3.9971	0.9067	15.6324	29.6639	22.4678	3.5701	11763.3119	3.3816	0	0	326973.642	93.9946	9127.4376	2.6238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	HU8_106	33	41	37.2418	2.2547	16.2457	28.5202	21.0959	2.2145	15.2695	24.9769	18.6269	1.2765	13.0671	20.4973	15.7074	1.5053	13.5063	22.8268	17.4176	1.4656	7.3074	13.2915	10.4001	1.2824	5.47	11.1537	7.6001	0.9929	28.2749	50.7292	37.2034	4.8	25.4495	42.8627	31.5814	2.3417	16.6134	24.6334	19.4409	1.669	18.6775	30.8884	23.8235	1.9867	11.9983	20.5807	16.384	1.868	6.348	12.7472	9.1173	1.1393	5.6501	9.7852	7.2027	0.729	5.4514	8.8723	6.6339	0.4445	4.7178	7.4606	5.6719	0.5569	4.9664	8.2551	6.3377	0.5252	2.7472	5.1726	4.0435	0.5355	2.1529	4.3442	3.1554	0.3967	154	313	241.859	41.2968	947.2286	1501.2831	1166.1172	101.6892	12.588	17.295	14.8837	1.0499	7.6865	11.2928	9.0729	0.8796	1.5831	5.4653	3.257	0.8419	17.9176	30.1753	25.5655	3.3781	0	0	0	0	449241.8852	98.4956	0	0	0	0	0	0	0	0	0	0	3466.5313	0.76	0	0	0	0	3394.9692	0.7443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	HU8_107	37	59	47.9073	3.6455	14.975	24.6107	16.8217	1.6333	14.7468	21.8031	17.6967	1.0868	10.5783	18.2087	12.3235	1.3402	14.1596	22.2963	16.5386	1.3804	8.0874	12.0625	9.6179	0.6438	6.2055	8.8842	7.3618	0.5223	22.6744	38.0204	25.3361	2.6998	22.7199	33.3625	26.8491	1.7138	12.6153	21.9158	14.5763	1.6571	17.7166	28.3516	20.711	1.7825	10.6428	15.8005	13.0756	0.91	7.9937	11.4846	9.4884	0.6961	5.2805	8.6441	5.9326	0.5688	5.2649	7.8251	6.3312	0.3942	3.8905	6.6124	4.5156	0.4748	5.1856	8.0362	6.0537	0.4781	3.2057	4.6997	3.8543	0.2477	3.0029	4.2126	3.5501	0.242	129	188	156.5914	13.8231	801.6312	1130.1721	892.016	49.5748	11.2983	14.7057	13.7254	0.573	6.7802	9.2917	8.4747	0.5771	1.3859	4.4689	3.219	0.6543	10.4563	17.8846	13.1781	1.8656	7734.6626	2.7988	0	0	0	0	0	0	0	0	6437.3098	2.3294	0	0	7907.4253	2.8614	8267.5765	2.9917	56016.1097	20.2698	0	0	1576.9509	0.5706	0	0	0	0	0	0	0	0	0	0	0	0	188412.1242	68.1783	0	0	0	0
9	HU8_108	38	73	54.9817	6.4935	12.6578	22.4723	18.0253	1.9681	15.6378	27.0748	21.861	2.487	9.5715	18.1897	13.4825	1.9773	13.7645	21.925	18.1021	1.5991	8.1062	12.9267	10.8017	1.1778	6.244	9.133	7.6302	0.5922	19.1664	32.2491	26.1098	2.4991	24.4183	39.3436	32.0836	3.2171	11.789	19.9042	15.5524	2.0608	17.2893	27.8127	22.9558	1.9954	11.2139	21.1999	16.6366	2.2225	8.0659	12.3482	10.142	0.8324	4.4729	8.092	6.4803	0.7124	5.5801	9.8711	7.9601	0.9261	3.5196	6.7417	5.0542	0.7522	4.8885	8.6126	7.0475	0.7059	3.227	5.9651	4.7765	0.6161	2.9554	5.1893	4.1463	0.4181	114	351	213.3024	62.7762	804.0353	1130.6591	939.5797	80.5021	11.4129	15.3799	13.7029	0.6953	6.5538	9.8225	8.4667	0.7052	1.0464	4.695	3.2255	0.771	9.5302	22.0051	15.1378	3.2329	1597.8256	0.1783	0	0	0	0	0	0	0	0	36104.4616	4.029	0	0	62846.2343	7.0132	29704.0723	3.3148	74949.2647	8.3638	0	0	53466.9478	5.9666	0	0	11749.6623	1.3112	0	0	0	0	0	0	45704.3199	5.1003	579987.8618	64.7228	0	0	0	0
10	HU8_109	34	48	39.6542	3.007	13.3263	24.2912	17.5504	2.2334	16.3609	27.1048	19.127	1.8294	11.0511	17.1483	13.8664	1.1257	14.6905	22.438	17.9602	1.53	8.7869	12.8866	10.6149	0.7783	6.5784	9.3442	7.3867	0.5055	20.355	36.5697	26.3234	3.2548	24.3967	40.3556	28.289	2.601	12.3687	19.6333	15.8999	1.2183	18.6238	28.5231	22.4054	1.7441	12.0658	17.6582	14.5197	1.0374	7.6204	11.3242	8.8114	0.5965	4.6347	8.2864	6.0198	0.7291	5.7499	9.4513	6.6805	0.6161	3.9161	6.1176	4.973	0.3971	5.2342	7.9771	6.391	0.5345	3.4736	5.1374	4.1977	0.3035	3.0395	4.431	3.4328	0.2251	130	259	187.9633	22.8372	880.535	1411.4159	1047.4254	95.5041	11.4326	15.4924	13.7354	0.7271	5.9339	9.971	8.0679	0.5105	0.4331	4.4463	2.3955	0.4113	14.84	24.6495	18.8487	1.2689	19751.2267	3.8046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499391.7482	96.1954	0	0	0	0
