attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	minimum	maximum	missingValueCode	missingValueCodeExplanation
iws_nhdid			character	the "Permanent_identifier" from the NHD, but is called the NHDID in LAGOS-NE	the "Permanent_identifier" from the NHD, but is called the NHDID in LAGOS-NE	character	NA	NA		
iws_canopy2001_min		dimensionless	whole		minimum tree canopy cover within the zone in 2001	numeric	0	93	NA	not available
iws_canopy2001_max		dimensionless	whole		maximum tree canopy cover within the zone in 2001	numeric	0	100	NA	not available
iws_canopy2001_mean		dimensionless	real		mean tree canopy cover within the zone in 2001	numeric	0	98.63	NA	not available
iws_canopy2001_std		dimensionless	real		standard deviation of tree canopy cover within the zone in 2001	numeric	0	49.61	NA	not available
iws_damdensity_pointcount		dimensionless	whole		number of dams in zone	numeric	0	493	NA	not available
iws_damdensity_pointsperha		numberPerHectare	real		dam density in zone, calculated as the number of dams divided by the area of the zone	numeric	0	0.54	NA	not available
iws_damdensity_pointspersqkm		numberPerKilometerSquared	real		dam density in zone, calculated as the number of dams divided by the area of the zone	numeric	0	53.55	NA	not available
iws_nlcd1992_ha_0		hectare	real		area of zone with no land use/land cover data in 1992	numeric	0	108.18	NA	not available
iws_nlcd1992_pct_0		dimensionless	real		percent of zone with no land use/land cover data in 1992	numeric	0	87.48	NA	not available
iws_nlcd1992_ha_11		hectare	real		area of zone classified as open water in 1992	numeric	0	149058.99	NA	not available
iws_nlcd1992_pct_11		dimensionless	real		percent of zone classified as open water in 1992	numeric	0	100	NA	not available
iws_nlcd1992_ha_21		hectare	real		area of zone classified as residential, low intensity in 1992	numeric	0	76854.87	NA	not available
iws_nlcd1992_pct_21		dimensionless	real		percent of zone classified as residential, low intensity in 1992	numeric	0	100	NA	not available
iws_nlcd1992_ha_22		hectare	real		area of zone classified as residential, high intensity in 1992	numeric	0	34164.54	NA	not available
iws_nlcd1992_pct_22		dimensionless	real		percent of zone classified as residential, high intensity in 1992	numeric	0	82.54	NA	not available
iws_nlcd1992_ha_23		hectare	real		area of zone classified as commercial/industrial/transportation in 1992	numeric	0	57159.54	NA	not available
iws_nlcd1992_pct_23		dimensionless	real		percent of zone classified as commercial/industrial/transportation in 1992	numeric	0	100	NA	not available
iws_nlcd1992_ha_31		hectare	real		area of zone classified as bare rock/sand/clay in 1992	numeric	0	2904.93	NA	not available
iws_nlcd1992_pct_31		dimensionless	real		percent of zone classified as bare rock/sand/clay in 1992	numeric	0	73	NA	not available
iws_nlcd1992_ha_32		hectare	real		area of zone classified as quarries/strip mines/gravel pits in 1992	numeric	0	4806.81	NA	not available
iws_nlcd1992_pct_32		dimensionless	real		percent of zone classified as quarries/strip mines/gravel pits in 1992	numeric	0	100	NA	not available
iws_nlcd1992_ha_33		hectare	real		area of zone classified as transitional (barren) in 1992	numeric	0	13016.88	NA	not available
iws_nlcd1992_pct_33		dimensionless	real		percent of zone classified as transitional (barren) in 1992	numeric	0	96.36	NA	not available
iws_nlcd1992_ha_41		hectare	real		area of zone classified as deciduous forest in 1992	numeric	0	935160.75	NA	not available
iws_nlcd1992_pct_41		dimensionless	real		percent of zone classified as deciduous forest in 1992	numeric	0	100	NA	not available
iws_nlcd1992_ha_42		hectare	real		area of zone classified as evergreen forest in 1992	numeric	0	187078.41	NA	not available
iws_nlcd1992_pct_42		dimensionless	real		percent of zone classified as evergreen forest in 1992	numeric	0	99.23	NA	not available
iws_nlcd1992_ha_43		hectare	real		area of zone classified as mixed forest in 1992	numeric	0	277011.54	NA	not available
iws_nlcd1992_pct_43		dimensionless	real		percent of zone classified as mixed forest in 1992	numeric	0	89.77	NA	not available
iws_nlcd1992_ha_51		hectare	real		area of zone classified as shrubland in 1992	numeric	0	8200.08	NA	not available
iws_nlcd1992_pct_51		dimensionless	real		percent of zone classified as shrubland in 1992	numeric	0	93.51	NA	not available
iws_nlcd1992_ha_61		hectare	real		area of zone classified as orchards/vineyards/other in 1992	numeric	0	441.81	NA	not available
iws_nlcd1992_pct_61		dimensionless	real		percent of zone classified as orchards/vineyards/other in 1992	numeric	0	4.37	NA	not available
iws_nlcd1992_ha_71		hectare	real		area of zone classified as grasslands/herbaceous in 1992	numeric	0	137473.38	NA	not available
iws_nlcd1992_pct_71		dimensionless	real		percent of zone classified as grasslands/herbaceous in 1992	numeric	0	90.11	NA	not available
iws_nlcd1992_ha_81		hectare	real		area of zone classified as pasture/hay in 1992	numeric	0	915880.77	NA	not available
iws_nlcd1992_pct_81		dimensionless	real		percent of zone classified as pasture/hay in 1992	numeric	0	100	NA	not available
iws_nlcd1992_ha_82		hectare	real		area of zone classified as row crops in 1992	numeric	0	2281597.74	NA	not available
iws_nlcd1992_pct_82		dimensionless	real		percent of zone classified as row crops in 1992	numeric	0	100	NA	not available
iws_nlcd1992_ha_83		hectare	real		area of zone classified as small grains  in 1992	numeric	0	58251.33	NA	not available
iws_nlcd1992_pct_83		dimensionless	real		percent of zone classified as small grains in 1992	numeric	0	92.31	NA	not available
iws_nlcd1992_ha_85		hectare	real		area of zone classified as urban/recreational grasses in 1992	numeric	0	21361.77	NA	not available
iws_nlcd1992_pct_85		dimensionless	real		percent of zone classified as urban/recreational grasses in 1992	numeric	0	100	NA	not available
iws_nlcd1992_ha_91		hectare	real		area of zone classified as woody wetlands in 1992. The equivalent code for the 2001, 2006 and 2011 NLCD dataset is 90.	numeric	0	184764.96	NA	not available
iws_nlcd1992_pct_91		dimensionless	real		percent of zone classified as woody wetlands in 1992. The equivalent code for the 2001, 2006 and 2011 NLCD dataset is 90.	numeric	0	100	NA	not available
iws_nlcd1992_ha_92		hectare	real		area of zone classified as emergent herbaceous wetlands in 1992. The equivalent code for the 2001, 2006, and 2011 NLCD datasets is 95.	numeric	0	79826.31	NA	not available
iws_nlcd1992_pct_92		dimensionless	real		percent of zone classified as emergent herbaceous wetlands in 1992. The equivalent code for the 2001, 2006, and 2011 NLCD datasets is 95.	numeric	0	100	NA	not available
iws_nlcd2001_ha_0		hectare	real		area of zone with no land use/land cover data in 2001	numeric	0	234.9	NA	not available
iws_nlcd2001_pct_0		dimensionless	real		percent of zone with no land use/land cover data in 2001	numeric	0	100	NA	not available
iws_nlcd2001_ha_11		hectare	real		area of zone with open water in 2001	numeric	0	145582.29	NA	not available
iws_nlcd2001_pct_11		dimensionless	real		percent of zone with open water in 2001	numeric	0	100	NA	not available
iws_nlcd2001_ha_21		hectare	real		area of zone classified as residential, low intensity in 2001	numeric	0	188568.18	NA	not available
iws_nlcd2001_pct_21		dimensionless	real		percent of zone classified as residential, low intensity in 2001	numeric	0	100	NA	not available
iws_nlcd2001_ha_22		hectare	real		area of zone classified as residential, high intensity in 2001	numeric	0	101257.2	NA	not available
iws_nlcd2001_pct_22		dimensionless	real		percent of zone classified as residential, high intensity in 2001	numeric	0	100	NA	not available
iws_nlcd2001_ha_23		hectare	real		area of zone classified as commercial/industrial/transportation in 2001	numeric	0	44839.8	NA	not available
iws_nlcd2001_pct_23		dimensionless	real		percent of zone classified as commercial/industrial/transportation in 2001	numeric	0	100	NA	not available
iws_nlcd2001_ha_24		hectare	real		area of zone classified as developed, high Intensity in 2001. Note, this variable was not measured in 1992.	numeric	0	30607.2	NA	not available
iws_nlcd2001_pct_24		dimensionless	real		percent of zone classified as developed, high Intensity 2001. Note, this variable was not measured in 1992.	numeric	0	83.51	NA	not available
iws_nlcd2001_ha_31		hectare	real		area of zone classified as bare rock/sand/clay in 2001	numeric	0	4710.15	NA	not available
iws_nlcd2001_pct_31		dimensionless	real		percent of zone classified as bare rock/sand/clay in 2001	numeric	0	100	NA	not available
iws_nlcd2001_ha_41		hectare	real		area of zone classified as deciduous forest in 2001.	numeric	0	915367.32	NA	not available
iws_nlcd2001_pct_41		dimensionless	real		percent of zone classified as deciduous forest in 2001	numeric	0	100	NA	not available
iws_nlcd2001_ha_42		hectare	real		area of zone classified as evergreen forest in 2001	numeric	0	236238.39	NA	not available
iws_nlcd2001_pct_42		dimensionless	real		percent of zone classified as evergreen forest in 2001	numeric	0	98.84	NA	not available
iws_nlcd2001_ha_43		hectare	real		area of zone classified as mixed forest in 2001	numeric	0	235572.57	NA	not available
iws_nlcd2001_pct_43		dimensionless	real		percent of zone classified as mixed forest in 2001	numeric	0	87.38	NA	not available
iws_nlcd2001_ha_52		hectare	real		area of zone classified as scrub/shrub. Note, this variable not measured in 1992.	numeric	0	33300.99	NA	not available
iws_nlcd2001_pct_52		dimensionless	real		percent of zone classified as scrub/shrub. Note, this variable not measured in 1992.	numeric	0	79.74	NA	not available
iws_nlcd2001_ha_71		hectare	real		area of zone classified as grasslands/herbaceous in 2001	numeric	0	146460.33	NA	not available
iws_nlcd2001_pct_71		dimensionless	real		percent of zone classified as grasslands/herbaceous in 2001	numeric	0	99.42	NA	not available
iws_nlcd2001_ha_81		hectare	real		area of zone classified as pasture/hay in 2001	numeric	0	751526.19	NA	not available
iws_nlcd2001_pct_81		dimensionless	real		percent of zone classified as pasture/hay in 2001	numeric	0	100	NA	not available
iws_nlcd2001_ha_82		hectare	real		area of zone classified as row crops in 2001	numeric	0	2285680.14	NA	not available
iws_nlcd2001_pct_82		dimensionless	real		percent of zone classified as row crops in 2001	numeric	0	100	NA	not available
iws_nlcd2001_ha_90		hectare	real		area of zone classified as woody wetlands in 2001. The equivalent code for the 1992 NLCD dataset is 91.	numeric	0	197139.24	NA	not available
iws_nlcd2001_pct_90		dimensionless	real		percent of zone classified as woody wetlands in 2001. The equivalent code for the 1992 NLCD dataset is 91.	numeric	0	100	NA	not available
iws_nlcd2001_ha_95		hectare	real		area of zone classified as emergent herbaceous wetlands in 2001. The equivalent code for the 1992 NLCD datasets is 92.	numeric	0	83925.36	NA	not available
iws_nlcd2001_pct_95		dimensionless	real		percent of zone classified as emergent herbaceous wetlands in 2001. The equivalent code for the 1992 NLCD datasets is 92.	numeric	0	100	NA	not available
iws_nlcd2006_ha_0		hectare	real		area of zone with no land use/land cover data in 2006	numeric	0	234.9	NA	not available
iws_nlcd2006_pct_0		dimensionless	real		percent of zone with no land use/land cover data in 2006	numeric	0	100	NA	not available
iws_nlcd2006_ha_11		hectare	real		area of zone with open water in 2006	numeric	0	145495.98	NA	not available
iws_nlcd2006_pct_11		dimensionless	real		percent of zone with open water in 2006	numeric	0	100	NA	not available
iws_nlcd2006_ha_21		hectare	real		area of zone classified as residential, low intensity in 2006	numeric	0	189858.78	NA	not available
iws_nlcd2006_pct_21		dimensionless	real		percent of zone classified as residential, low intensity in 2006	numeric	0	100	NA	not available
iws_nlcd2006_ha_22		hectare	real		area of zone classified as residential, high intensity in 2006	numeric	0	101929.41	NA	not available
iws_nlcd2006_pct_22		dimensionless	real		percent of zone classified as residential, high intensity in 2006	numeric	0	100	NA	not available
iws_nlcd2006_ha_23		hectare	real		area of zone classified as commercial/industrial/transportation in 2006	numeric	0	45257.49	NA	not available
iws_nlcd2006_pct_23		dimensionless	real		percent of zone classified as commercial/industrial/transportation in 2006	numeric	0	100	NA	not available
iws_nlcd2006_ha_24		hectare	real		area of zone classified as developed, high Intensity in 2006. Note, this variable was not measured in 1992.	numeric	0	30723.03	NA	not available
iws_nlcd2006_pct_24		dimensionless	real		percent of zone classified as developed, high Intensity 2006. Note, this variable was not measured in 1992.	numeric	0	83.51	NA	not available
iws_nlcd2006_ha_31		hectare	real		area of zone classified as bare rock/sand/clay in 2006	numeric	0	4683.87	NA	not available
iws_nlcd2006_pct_31		dimensionless	real		percent of zone classified as bare rock/sand/clay in 2006	numeric	0	100	NA	not available
iws_nlcd2006_ha_41		hectare	real		area of zone classified as deciduous forest in 2006.	numeric	0	911340.09	NA	not available
iws_nlcd2006_pct_41		dimensionless	real		percent of zone classified as deciduous forest in 2006	numeric	0	100	NA	not available
iws_nlcd2006_ha_42		hectare	real		area of zone classified as evergreen forest in 2006	numeric	0	234936.54	NA	not available
iws_nlcd2006_pct_42		dimensionless	real		percent of zone classified as evergreen forest in 2006	numeric	0	98.84	NA	not available
iws_nlcd2006_ha_43		hectare	real		area of zone classified as mixed forest in 2006	numeric	0	234615.33	NA	not available
iws_nlcd2006_pct_43		dimensionless	real		percent of zone classified as mixed forest in 2006	numeric	0	87.38	NA	not available
iws_nlcd2006_ha_52		hectare	real		area of zone classified as scrub/shrub. Note, this variable not measured in 1992.	numeric	0	33020.46	NA	not available
iws_nlcd2006_pct_52		dimensionless	real		percent of zone classified as scrub/shrub. Note, this variable not measured in 1992.	numeric	0	79.74	NA	not available
iws_nlcd2006_ha_71		hectare	real		area of zone classified as grasslands/herbaceous in 2006	numeric	0	144567	NA	not available
iws_nlcd2006_pct_71		dimensionless	real		percent of zone classified as grasslands/herbaceous in 2006	numeric	0	100	NA	not available
iws_nlcd2006_ha_81		hectare	real		area of zone classified as pasture/hay in 2006	numeric	0	749034.27	NA	not available
iws_nlcd2006_pct_81		dimensionless	real		percent of zone classified as pasture/hay in 2006	numeric	0	100	NA	not available
iws_nlcd2006_ha_82		hectare	real		area of zone classified as row crops in 2006	numeric	0	2283096.33	NA	not available
iws_nlcd2006_pct_82		dimensionless	real		percent of zone classified as row crops in 2006	numeric	0	100	NA	not available
iws_nlcd2006_ha_90		hectare	real		area of zone classified as woody wetlands in 2006. The equivalent code for the 1992 NLCD is 91.	numeric	0	198099.18	NA	not available
iws_nlcd2006_pct_90		dimensionless	real		percent of zone classified as woody wetlands in 2006. The equivalent code for the 1992 NLCD is 91.	numeric	0	100	NA	not available
iws_nlcd2006_ha_95		hectare	real		area of zone classified as emergent herbaceous wetlands in 2006. The equivalent code for the 1992 NLCD is 92.	numeric	0	83176.11	NA	not available
iws_nlcd2006_pct_95		dimensionless	real		percent of zone classified as emergent herbaceous wetlands in 2006. The equivalent code for the 1992 NLCD is 92.	numeric	0	100	NA	not available
iws_nlcd2011_ha_0		hectare	real		area of zone with no land use/land cover data in 2011	numeric	0	234.9	NA	not available
iws_nlcd2011_pct_0		dimensionless	real		percent of zone with no land use/land cover data in 2011	numeric	0	100	NA	not available
iws_nlcd2011_ha_11		hectare	real		area of zone with open water in 2011	numeric	0	145631.34	NA	not available
iws_nlcd2011_pct_11		dimensionless	real		percent of zone with open water in 2011	numeric	0	100	NA	not available
iws_nlcd2011_ha_21		hectare	real		area of zone classified as residential, low intensity in 2011	numeric	0	175355.19	NA	not available
iws_nlcd2011_pct_21		dimensionless	real		percent of zone classified as residential, low intensity in 2011	numeric	0	100	NA	not available
iws_nlcd2011_ha_22		hectare	real		area of zone classified as residential, high intensity in 2011	numeric	0	104683.77	NA	not available
iws_nlcd2011_pct_22		dimensionless	real		percent of zone classified as residential, high intensity in 2011	numeric	0	100	NA	not available
iws_nlcd2011_ha_23		hectare	real		area of zone classified as commercial/industrial/transportation in 2011	numeric	0	47322.81	NA	not available
iws_nlcd2011_pct_23		dimensionless	real		percent of zone classified as commercial/industrial/transportation in 2011	numeric	0	100	NA	not available
iws_nlcd2011_ha_24		hectare	real		area of zone classified as developed, high Intensity in 2011. Note, this variable was not measured in 1992.	numeric	0	31407.12	NA	not available
iws_nlcd2011_pct_24		dimensionless	real		percent of zone classified as developed, high Intensity 2011. Note, this variable was not measured in 1992.	numeric	0	83.51	NA	not available
iws_nlcd2011_ha_31		hectare	real		area of zone classified as bare rock/sand/clay in 2011	numeric	0	4639.41	NA	not available
iws_nlcd2011_pct_31		dimensionless	real		percent of zone classified as bare rock/sand/clay in 2011	numeric	0	100	NA	not available
