state	state_name	state_zoneid	state_lat	state_long	state_pct_in_nwi	state_ha_in_nwi	state_ha
ME	Maine	State_1	45.3816566	-69.2306747	100.000000000000000	8412288.4072	8412288.4072
CT	Connecticut	State_10	41.6217079	-72.7264252	100.000000000000000	1287792.5780	1287792.5780
IL	Illinois	State_11	40.0648003	-89.1982880	100.000000000000000	14592002.8326	14592002.8326
IN	Indiana	State_12	39.9081306	-86.2755356	100.000000000000000	9371663.9287	9371663.9287
IA	Iowa	State_13	42.0745621	-93.4998322	100.000000000000000	14573560.9629	14573560.9629
MN	Minnesota	State_14	46.3165245	-94.3092880	100.000000000000000	21854347.1261	21854347.1261
MO	Missouri	State_15	38.3677635	-92.4774857	100.000000000000000	18053698.9479	18053698.9479
NH	New Hampshire	State_16	43.6868401	-71.5782623	100.000000000000000	2398016.2588	2398016.2588
VT	Vermont	State_17	44.0747032	-72.6623306	100.000000000000000	2491334.3206	2491334.3206
MA	Massachusetts	State_2	42.2576218	-71.8124008	100.000000000000000	2101261.7394	2101261.7394
MI	Michigan	State_3	44.3469276	-85.4384689	100.000000000000000	15048876.8125	15048876.8125
NJ	New Jersey	State_4	40.1954880	-74.6705475	100.000000000000000	1959853.2189	1959853.2189
NY	New York	State_5	42.9540176	-75.5175171	100.000000000000000	12607036.9464	12607036.9464
OH	Ohio	State_6	40.2903976	-82.7895432	100.000000000000000	10691659.9300	10691659.9300
PA	Pennsylvania	State_7	40.8737679	-77.7998810	100.000000000000000	11729329.3095	11729329.3095
RI	Rhode Island	State_8	41.6765785	-71.5560837	100.000000000000000	280909.3653	280909.3653
WI	Wisconsin	State_9	44.6373329	-90.0118408	100.000000000000000	14529517.1118	14529517.1118
